name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus
Chris Wood,Burnley,Brighton,2021-08-14,True,FW,90,0,0.1089031770825386,0,0.0936984494328498,2,3,1,4.1,0
Chris Wood,Burnley,Brentford,2021-10-30,True,FW,90,1,0.6986454725265503,0,0.0,6,5,0,11.3,0
Chris Wood,Burnley,Chelsea,2021-11-06,False,FW,60,0,0.0,0,0.0,2,0,0,1.0,0
Chris Wood,Burnley,Crystal Palace,2021-11-20,True,FW,79,1,0.0613675042986869,0,0.0,6,1,0,4.8,0
Chris Wood,Burnley,Wolverhampton,2021-12-01,False,FW,58,0,0.0670530349016189,0,0.01710638217628,1,1,1,1.7,0
Chris Wood,Burnley,Newcastle United,2021-12-04,False,FW,90,0,0.0,0,0.0406026430428028,2,0,1,1.7,0
Chris Wood,Burnley,West Ham,2021-12-12,True,FW,59,0,0.0790296643972396,0,0.0,1,1,0,0.8,0
Chris Wood,Burnley,Liverpool,2021-08-21,False,FW,74,0,0.0701984390616417,0,0.0,2,1,0,4.0,0
Chris Wood,Burnley,Manchester United,2021-12-30,False,FW,90,0,0.3822281658649444,0,0.08137197047472,2,3,1,5.8,0
Chris Wood,Burnley,Leicester City,2022-01-02,False,FW,83,0,0.6860382556915283,0,0.0,2,2,0,4.3,0
Chris Wood,Newcastle,Watford,2022-01-15,True,FW,90,0,0.2717116177082062,0,0.0,2,3,0,4.6,0
Chris Wood,Newcastle,Leicester City,2022-01-22,False,FW,90,0,0.1770917326211929,0,0.1473052203655243,2,3,2,7.7,0
Chris Wood,Newcastle,Everton,2022-02-08,True,FW,90,0,0.4201485514640808,0,0.0,2,2,0,4.7,0
Chris Wood,Newcastle,Aston Villa,2022-02-13,True,FW,90,0,0.0879233703017234,0,0.0203435942530632,2,2,1,2.2,0
Chris Wood,Newcastle,West Ham,2022-02-19,False,FW,90,0,0.0,0,0.0494849644601345,2,0,2,3.6,0
Chris Wood,Newcastle,Brentford,2022-02-26,False,FW,90,0,0.528387188911438,0,0.1048396006226539,2,4,2,11.2,0
Chris Wood,Newcastle,Brighton,2022-03-05,True,FW,90,0,0.0,0,0.5051829814910889,2,0,1,2.8,0
Chris Wood,Newcastle,Southampton,2022-03-10,False,FW,90,1,0.2949599921703338,0,0.0,8,1,0,6.0,2
Chris Wood,Newcastle,Chelsea,2022-03-13,False,FW,90,0,0.0,0,0.0,2,0,0,0.7,0
Chris Wood,Newcastle,Everton,2022-03-17,False,FW,90,0,0.1520567685365677,0,0.0716305449604988,2,2,1,4.3,0
Chris Wood,Burnley,Leicester City,2021-08-29,True,FW,90,1,1.3420056104660034,0,0.0753931179642677,9,3,3,13.7,3
Chris Wood,Newcastle,Tottenham,2022-04-03,False,FW,69,0,0.0747883021831512,0,0.0,2,1,0,0.7,0
Chris Wood,Newcastle,Wolverhampton,2022-04-08,True,FW,90,1,0.7611688375473022,0,0.0786703824996948,9,1,1,6.7,3
Chris Wood,Newcastle,Leeds United,2022-04-17,True,FW,68,0,0.077850729227066,0,0.0,2,1,0,1.4,0
Chris Wood,Newcastle,Crystal Palace,2022-04-20,True,FW,90,0,0.0,0,0.0,2,0,0,1.0,0
Chris Wood,Newcastle,Liverpool,2022-04-30,True,Sub,23,0,0.0,0,0.0,1,0,0,0.0,0
Chris Wood,Newcastle,Manchester City,2022-05-08,False,FW,67,0,0.4019955098628998,0,0.0,2,1,0,2.1,0
Chris Wood,Newcastle,Burnley,2022-05-22,False,Sub,18,0,0.0,0,0.0,1,0,0,0.0,0
Chris Wood,Burnley,Everton,2021-09-13,False,FW,85,0,0.535163164138794,0,0.0,2,3,0,5.3,0
Chris Wood,Burnley,Arsenal,2021-09-18,True,FW,81,0,0.0414312593638896,0,0.0657713785767555,2,1,1,1.9,0
Chris Wood,Burnley,Leeds United,2021-09-25,False,FW,90,0,0.089387908577919,0,0.0,2,1,0,2.9,0
Chris Wood,Burnley,Norwich,2021-10-02,True,FW,79,0,0.1650420427322387,0,0.014598567970097,1,3,1,4.5,0
Chris Wood,Burnley,Manchester City,2021-10-16,False,FW,81,0,0.530659556388855,0,0.0,2,1,0,0.4,0
Chris Wood,Burnley,Southampton,2021-10-23,False,FW,90,0,0.1082340031862258,0,0.0,2,1,0,2.2,0
