name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus
Mbwana Ally Samatta,Aston Villa,Watford,False,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,West Ham,True,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Southampton,False,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Brighton,True,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Crystal Palace,False,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Manchester City,True,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Leeds United,True,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Liverpool,False,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Norwich,False,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Chelsea,True,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Newcastle United,True,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Brentford,False,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Manchester United,True,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Everton,False,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Leicester City,True,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Newcastle United,False,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Watford,True,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Brighton,False,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Southampton,True,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Leicester City,False,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,West Ham,False,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Brentford,True,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Arsenal,True,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Wolverhampton,False,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Tottenham,True,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Leeds United,False,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Norwich,True,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Burnley,False,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Liverpool,True,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Crystal Palace,True,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Burnley,True,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Manchester City,False,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Chelsea,False,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Everton,True,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Manchester United,False,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Tottenham,False,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Wolverhampton,True,0,0,0.0,0
Mbwana Ally Samatta,Aston Villa,Arsenal,False,0,0,0.0,0
