name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,form,xG&A_form,minutes_per_game
Rodrigo Moreno,Leeds,Manchester United,,False,,45,,,,,1,,,0.5,0,0.0,0.0,45.0
Rodrigo Moreno,Leeds,Norwich,,False,,87,,,,,6,,,7.8,1,1.0,0.0,66.0
Rodrigo Moreno,Leeds,Leeds United,,True,,90,,,,,2,,,8.4,0,3.5,0.0,74.0
Rodrigo Moreno,Leeds,Tottenham,,False,,0,,,,,0,,,0.0,0,3.0,0.0,55.5
Rodrigo Moreno,Leeds,Brighton,,False,,90,,,,,2,,,3.3,0,2.25,0.0,62.4
Rodrigo Moreno,Leeds,Crystal Palace,2021-11-30,True,DMC,45,0.0,0.07,0.0,0.04,1,1.0,1.0,5.5,0,2.2,0.0,59.5
Rodrigo Moreno,Leeds,Brentford,2021-12-05,True,DMC,0,0.0,0.01,0.0,0.02,0,1.0,1.0,0.0,0,2.2,0.01,51.0
Rodrigo Moreno,Leeds,Chelsea,2021-12-11,False,Sub,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.02,44.62
Rodrigo Moreno,Leeds,Manchester City,,False,,0,,,,,0,,,0.0,0,0.6,0.02,39.67
Rodrigo Moreno,Leeds,Arsenal,2021-12-18,True,Sub,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.6,0.02,35.7
Rodrigo Moreno,Leeds,Everton,,True,,0,,,,,0,,,0.0,0,0.2,0.02,32.45
Rodrigo Moreno,Leeds,Burnley,,True,,0,,,,,0,,,0.0,0,0.0,0.0,29.75
Rodrigo Moreno,Leeds,West Ham,,False,,25,,,,,1,,,2.8,0,0.0,0.0,29.38
Rodrigo Moreno,Leeds,Newcastle United,,True,,90,,,,,1,,,5.5,0,0.2,0.0,33.71
Rodrigo Moreno,Leeds,Aston Villa,2022-02-09,False,Sub,90,0.0,0.03,0.0,0.0,7,1.0,0.0,9.0,0,0.4,0.0,37.47
Rodrigo Moreno,Leeds,Everton,,False,,90,,,,,2,,,3.0,0,1.8,0.01,40.75
Rodrigo Moreno,Leeds,Manchester United,,True,,90,,,,,7,,,6.8,1,2.2,0.01,43.65
Rodrigo Moreno,Leeds,Liverpool,2022-02-23,False,MC,45,0.0,0.0,0.0,0.0,1,0.0,0.0,0.4,0,3.6,0.01,43.72
Rodrigo Moreno,Leeds,Tottenham,,True,,45,,,,,0,,,5.6,0,3.6,0.01,43.79
Rodrigo Moreno,Leeds,Leeds United,,False,,62,,,,,2,,,3.5,0,3.4,0.01,44.7
Rodrigo Moreno,Leeds,Aston Villa,,True,,45,,,,,1,,,0.3,0,2.4,0.0,44.71
Rodrigo Moreno,Leeds,Norwich,,True,,59,,,,,8,,,6.9,3,2.2,0.0,45.36
Rodrigo Moreno,Leeds,Burnley,,False,,72,,,,,1,,,3.7,0,2.4,0.0,46.52
Rodrigo Moreno,Leeds,Wolverhampton,,False,,90,,,,,5,,,9.5,0,2.4,0.0,48.33
Rodrigo Moreno,Leeds,Southampton,,True,,90,,,,,2,,,6.3,0,3.4,0.0,50.0
Rodrigo Moreno,Leeds,Watford,2022-04-09,False,MC,90,0.0,0.0,0.0,0.0,9,0.0,0.0,5.8,3,3.4,0.0,51.54
Rodrigo Moreno,Leeds,Crystal Palace,,False,,73,,,,,2,,,3.0,0,5.0,0.0,52.33
Rodrigo Moreno,Leeds,Manchester City,,True,,82,,,,,2,,,1.4,0,3.8,0.0,53.39
Rodrigo Moreno,Leeds,Arsenal,,False,,30,,,,,1,,,2.2,0,4.0,0.0,52.59
Rodrigo Moreno,Leeds,Chelsea,,True,,90,,,,,2,,,0.3,0,3.2,0.0,53.83
Rodrigo Moreno,Leeds,Brighton,2022-05-15,True,MC,90,0.0,0.1,0.0,0.05,1,3.0,2.0,8.8,0,3.2,0.0,55.0
Rodrigo Moreno,Leeds,Brentford,2022-05-22,False,MC,90,0.0,0.0,2.0,1.32,2,0.0,3.0,0.0,0,1.6,0.02,56.09
Rodrigo Moreno,Leeds,Liverpool,,True,,45,,,,,1,,,3.9,0,1.6,0.42,55.76
Rodrigo Moreno,Leeds,Newcastle United,,False,,90,,,,,1,,,7.3,0,1.4,0.42,56.76
Rodrigo Moreno,Leeds,West Ham,,True,,90,,,,,2,,,7.9,0,1.4,0.42,57.71
Rodrigo Moreno,Leeds,Watford,,True,,90,,,,,2,,,7.7,0,1.4,0.42,58.61
Rodrigo Moreno,Leeds,Southampton,,False,,63,,,,,2,,,0.2,0,1.6,0.4,58.73
Rodrigo Moreno,Leeds,Wolverhampton,,True,,90,,,,,8,,,16.3,3,1.6,0.0,59.55
