name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus
Halil Dervişoğlu,Brentford,Arsenal,True,0,0,0.0,0
Halil Dervişoğlu,Brentford,Burnley,False,0,0,0.0,0
Halil Dervişoğlu,Brentford,Norwich,True,0,0,0.0,0
Halil Dervişoğlu,Brentford,Newcastle United,False,0,0,0.0,0
Halil Dervişoğlu,Brentford,Everton,True,0,0,0.0,0
Halil Dervişoğlu,Brentford,Tottenham,False,0,0,0.0,0
Halil Dervişoğlu,Brentford,Leicester City,False,0,0,0.0,0
Halil Dervişoğlu,Brentford,Watford,True,0,0,0.0,0
Halil Dervişoğlu,Brentford,Brighton,False,0,0,0.0,0
Halil Dervişoğlu,Brentford,Crystal Palace,False,0,0,0.0,0
Halil Dervişoğlu,Brentford,Manchester City,True,0,0,0.0,0
Halil Dervişoğlu,Brentford,Aston Villa,True,0,0,0.0,0
Halil Dervişoğlu,Brentford,Southampton,False,0,0,0.0,0
Halil Dervişoğlu,Brentford,Liverpool,False,0,0,0.0,0
Halil Dervişoğlu,Brentford,Manchester United,True,0,0,0.0,0
Halil Dervişoğlu,Brentford,Wolverhampton,True,0,0,0.0,0
Halil Dervişoğlu,Brentford,Manchester City,False,0,0,0.0,0
Halil Dervişoğlu,Brentford,Crystal Palace,True,0,0,0.0,0
Halil Dervişoğlu,Brentford,Arsenal,False,0,0,0.0,0
Halil Dervişoğlu,Brentford,Newcastle United,True,0,0,0.0,0
Halil Dervişoğlu,Brentford,Norwich,False,0,0,0.0,0
Halil Dervişoğlu,Brentford,Burnley,True,0,0,0.0,0
Halil Dervişoğlu,Brentford,Aston Villa,False,0,0,0.0,0
Halil Dervişoğlu,Brentford,Leeds United,False,0,0,0.0,0
Halil Dervişoğlu,Brentford,Chelsea,False,0,0,0.0,0
Halil Dervişoğlu,Brentford,West Ham,True,0,0,0.0,0
Halil Dervişoğlu,Brentford,Watford,False,0,0,0.0,0
Halil Dervişoğlu,Brentford,Tottenham,True,0,0,0.0,0
Halil Dervişoğlu,Brentford,Manchester United,False,0,0,0.0,0
Halil Dervişoğlu,Brentford,Southampton,True,0,0,0.0,0
Halil Dervişoğlu,Brentford,Everton,False,0,0,0.0,0
Halil Dervişoğlu,Brentford,Leicester City,True,0,0,0.0,0
Halil Dervişoğlu,Brentford,Brighton,True,0,0,0.0,0
Halil Dervişoğlu,Brentford,Wolverhampton,False,0,0,0.0,0
Halil Dervişoğlu,Brentford,Liverpool,True,0,0,0.0,0
Halil Dervişoğlu,Brentford,West Ham,False,0,0,0.0,0
Halil Dervişoğlu,Brentford,Chelsea,True,0,0,0.0,0
Halil Dervişoğlu,Brentford,Leeds United,True,0,0,0.0,0
