name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus
Richarlison de Andrade,Everton,Southampton,True,88,11,13.0,3
Richarlison de Andrade,Everton,Wolverhampton,False,90,2,6.2,0
Richarlison de Andrade,Everton,Tottenham,True,90,1,1.6,0
Richarlison de Andrade,Everton,Manchester City,False,90,1,0.4,0
Richarlison de Andrade,Everton,Brentford,False,0,0,0.0,0
Richarlison de Andrade,Everton,Liverpool,True,90,5,4.8,0
Richarlison de Andrade,Everton,Arsenal,True,90,9,14.0,3
Richarlison de Andrade,Everton,Crystal Palace,False,57,1,0.0,0
Richarlison de Andrade,Everton,Chelsea,False,0,0,0.0,0
Richarlison de Andrade,Everton,Leicester City,False,90,2,7.9,0
Richarlison de Andrade,Everton,Brighton,True,0,0,0.0,0
Richarlison de Andrade,Everton,Norwich,False,36,7,9.8,2
Richarlison de Andrade,Everton,Aston Villa,True,90,2,3.7,0
Richarlison de Andrade,Everton,Newcastle United,False,90,2,4.0,0
Richarlison de Andrade,Everton,Leicester City,True,85,5,9.8,0
Richarlison de Andrade,Everton,Southampton,False,90,2,2.7,0
Richarlison de Andrade,Everton,Manchester City,True,90,2,5.6,0
Richarlison de Andrade,Everton,Tottenham,False,90,2,1.9,0
Richarlison de Andrade,Everton,Wolverhampton,True,90,2,3.2,0
Richarlison de Andrade,Everton,Newcastle United,True,87,1,1.1,0
Richarlison de Andrade,Everton,Brighton,False,90,1,3.6,0
Richarlison de Andrade,Everton,West Ham,False,90,4,10.5,0
Richarlison de Andrade,Everton,Burnley,False,90,13,25.0,3
Richarlison de Andrade,Everton,Manchester United,True,90,2,4.3,0
Richarlison de Andrade,Everton,Leeds United,True,90,7,7.6,2
Richarlison de Andrade,Everton,Liverpool,False,90,1,6.1,0
Richarlison de Andrade,Everton,Chelsea,True,79,8,8.0,2
Richarlison de Andrade,Everton,Leeds United,False,90,5,8.0,0
Richarlison de Andrade,Everton,Watford,False,90,2,8.9,0
Richarlison de Andrade,Everton,Brentford,True,90,12,13.1,3
Richarlison de Andrade,Everton,Crystal Palace,True,90,7,8.5,1
Richarlison de Andrade,Everton,Arsenal,False,0,0,0.0,0
Richarlison de Andrade,Everton,Burnley,True,80,2,2.9,0
Richarlison de Andrade,Everton,Aston Villa,False,0,0,0.0,0
Richarlison de Andrade,Everton,Norwich,True,0,0,0.0,0
Richarlison de Andrade,Everton,Manchester United,False,0,0,0.0,0
Richarlison de Andrade,Everton,West Ham,True,0,0,0.0,0
Richarlison de Andrade,Everton,Watford,True,30,4,7.7,0
