name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus
Stipe Perica,Watford,Aston Villa,True,0,0,0.0,0
Stipe Perica,Watford,Southampton,True,0,0,0.0,0
Stipe Perica,Watford,Arsenal,False,0,0,0.0,0
Stipe Perica,Watford,Manchester United,True,0,0,0.0,0
Stipe Perica,Watford,Leeds United,False,0,0,0.0,0
Stipe Perica,Watford,Chelsea,True,0,0,0.0,0
Stipe Perica,Watford,Manchester City,True,0,0,0.0,0
Stipe Perica,Watford,Brentford,False,0,0,0.0,0
Stipe Perica,Watford,Brighton,False,0,0,0.0,0
Stipe Perica,Watford,West Ham,True,0,0,0.0,0
Stipe Perica,Watford,Tottenham,True,0,0,0.0,0
Stipe Perica,Watford,Newcastle United,False,0,0,0.0,0
Stipe Perica,Watford,Norwich,True,0,0,0.0,0
Stipe Perica,Watford,Burnley,False,0,0,0.0,0
Stipe Perica,Watford,West Ham,False,0,0,0.0,0
Stipe Perica,Watford,Brighton,True,0,0,0.0,0
Stipe Perica,Watford,Aston Villa,False,0,0,0.0,0
Stipe Perica,Watford,Crystal Palace,True,0,0,0.0,0
Stipe Perica,Watford,Manchester United,False,0,0,0.0,0
Stipe Perica,Watford,Arsenal,True,0,0,0.0,0
Stipe Perica,Watford,Wolverhampton,False,0,0,0.0,0
Stipe Perica,Watford,Southampton,False,0,0,0.0,0
Stipe Perica,Watford,Tottenham,False,0,0,0.0,0
Stipe Perica,Watford,Liverpool,False,0,0,0.0,0
Stipe Perica,Watford,Leicester City,True,0,0,0.0,0
Stipe Perica,Watford,Brentford,True,0,0,0.0,0
Stipe Perica,Watford,Manchester City,False,0,0,0.0,0
Stipe Perica,Watford,Burnley,True,0,0,0.0,0
Stipe Perica,Watford,Crystal Palace,False,0,0,0.0,0
Stipe Perica,Watford,Everton,True,0,0,0.0,0
Stipe Perica,Watford,Leeds United,True,0,0,0.0,0
Stipe Perica,Watford,Chelsea,False,0,0,0.0,0
Stipe Perica,Watford,Wolverhampton,True,0,0,0.0,0
Stipe Perica,Watford,Norwich,False,0,0,0.0,0
Stipe Perica,Watford,Newcastle United,True,0,0,0.0,0
Stipe Perica,Watford,Leicester City,False,0,0,0.0,0
Stipe Perica,Watford,Liverpool,True,0,0,0.0,0
Stipe Perica,Watford,Everton,False,0,0,0.0,0
