name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus
Adedapo Awokoya-Mebude,Watford,Aston Villa,True,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Southampton,True,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Arsenal,False,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Manchester United,True,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Leeds United,False,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Chelsea,True,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Manchester City,True,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Brentford,False,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Brighton,False,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,West Ham,True,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Tottenham,True,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Newcastle United,False,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Norwich,True,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Burnley,False,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,West Ham,False,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Brighton,True,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Aston Villa,False,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Crystal Palace,True,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Manchester United,False,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Arsenal,True,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Wolverhampton,False,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Southampton,False,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Tottenham,False,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Liverpool,False,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Leicester City,True,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Brentford,True,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Manchester City,False,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Burnley,True,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Crystal Palace,False,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Everton,True,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Leeds United,True,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Chelsea,False,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Wolverhampton,True,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Norwich,False,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Newcastle United,True,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Leicester City,False,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Liverpool,True,0,0,0.0,0
Adedapo Awokoya-Mebude,Watford,Everton,False,0,0,0.0,0
