name,position,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,starts,total_points,was_home
Illan Meslier,GK,Leeds,0,0,0.0,1,2022-08-06,90,Wolverhampton,0,0,5,0,3,True
Illan Meslier,GK,Leeds,0,0,0.0,2,2022-10-09,90,Crystal Palace,0,0,3,0,2,False
Illan Meslier,GK,Leeds,0,0,0.0,1,2022-10-16,90,Arsenal,0,0,3,0,3,True
Illan Meslier,GK,Leeds,0,0,0.0,2,2022-10-20,90,Leeds United,0,0,0,0,1,False
Illan Meslier,GK,Leeds,0,0,0.0,3,2022-10-23,90,Fulham,0,0,1,0,1,True
Illan Meslier,GK,Leeds,2,0,0.0,1,2022-10-29,90,Liverpool,0,0,9,0,7,False
Illan Meslier,GK,Leeds,0,0,0.0,3,2022-11-05,90,Bournemouth,0,0,2,0,1,True
Illan Meslier,GK,Leeds,0,0,1.8606,4,2022-11-12,90,Tottenham,0,0,3,1,1,False
Illan Meslier,GK,Leeds,0,0,4.1993,3,2022-12-28,90,Manchester City,0,0,6,1,3,True
Illan Meslier,GK,Leeds,2,1,2.0081,0,2022-12-31,90,Newcastle United,0,0,5,1,8,False
Illan Meslier,GK,Leeds,0,0,1.4233,2,2023-01-04,90,West Ham,0,0,0,1,1,True
Illan Meslier,GK,Leeds,0,0,0.0,2,2022-08-13,90,Southampton,0,0,2,0,1,False
Illan Meslier,GK,Leeds,0,0,1.2765,2,2023-01-13,90,Aston Villa,0,0,3,1,1,False
Illan Meslier,GK,Leeds,0,1,0.2886,0,2023-01-22,90,Brentford,0,0,0,1,6,True
Illan Meslier,GK,Leeds,0,0,0.27,1,2023-02-05,90,Nottingham Forest,0,0,1,1,2,False
Illan Meslier,GK,Leeds,0,0,2.19,2,2023-02-08,90,Manchester United,0,0,5,1,2,False
Illan Meslier,GK,Leeds,0,0,1.12,2,2023-02-12,90,Manchester United,0,0,3,1,2,True
Illan Meslier,GK,Leeds,0,0,1.52,1,2023-02-18,90,Everton,0,0,3,1,3,False
Illan Meslier,GK,Leeds,0,1,0.37,0,2023-02-25,90,Southampton,0,0,2,1,6,True
Illan Meslier,GK,Leeds,0,0,1.52,1,2023-03-04,90,Chelsea,0,0,2,1,2,False
Illan Meslier,GK,Leeds,0,0,1.63,2,2023-03-11,90,Brighton,0,0,2,1,1,True
Illan Meslier,GK,Leeds,0,0,2.86,2,2023-03-18,90,Wolverhampton,0,0,6,1,2,False
Illan Meslier,GK,Leeds,0,0,3.41,4,2023-04-01,90,Arsenal,0,0,1,1,0,False
Illan Meslier,GK,Leeds,0,0,0.79,1,2023-04-04,90,Nottingham Forest,0,0,0,1,2,True
Illan Meslier,GK,Leeds,0,1,0.0,0,2022-08-21,90,Chelsea,0,0,3,0,7,True
Illan Meslier,GK,Leeds,0,0,3.03,5,2023-04-09,90,Crystal Palace,0,0,2,1,0,True
Illan Meslier,GK,Leeds,0,0,2.47,6,2023-04-17,90,Liverpool,0,0,1,1,-1,True
Illan Meslier,GK,Leeds,1,0,1.68,2,2023-04-22,90,Fulham,0,0,3,1,3,False
Illan Meslier,GK,Leeds,0,0,2.1,1,2023-04-25,90,Leeds United,0,0,2,1,2,True
Illan Meslier,GK,Leeds,0,0,1.98,4,2023-04-30,90,Bournemouth,0,0,3,1,1,False
Illan Meslier,GK,Leeds,0,0,0.0,0,2023-05-06,0,Manchester City,0,0,0,0,0,False
Illan Meslier,GK,Leeds,0,0,0.0,0,2023-05-13,0,Newcastle United,0,0,0,0,0,True
Illan Meslier,GK,Leeds,0,0,0.0,0,2023-05-21,0,West Ham,0,0,0,0,0,False
Illan Meslier,GK,Leeds,0,0,0.0,0,2023-05-28,0,Tottenham,0,0,0,0,0,True
Illan Meslier,GK,Leeds,0,0,0.0,1,2022-08-27,90,Brighton,0,0,3,0,3,False
Illan Meslier,GK,Leeds,0,0,0.0,1,2022-08-30,90,Everton,0,0,1,0,2,True
Illan Meslier,GK,Leeds,0,0,0.0,5,2022-09-03,90,Brentford,0,0,3,0,1,False
Illan Meslier,GK,Leeds,3,1,0.0,0,2022-10-02,90,Aston Villa,0,0,6,0,11,True
