name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,starts,total_points,was_home
Roberto Firmino,FWD,Liverpool,0,11.9,2022-10-19,80,West Ham,0,2,True
Roberto Firmino,FWD,Liverpool,0,1.8,2022-08-06,50,Fulham,0,1,False
Roberto Firmino,FWD,Liverpool,0,0.0,2022-08-15,0,Crystal Palace,0,0,True
Roberto Firmino,FWD,Liverpool,0,13.9,2022-10-29,90,Leicester City,0,2,True
Roberto Firmino,FWD,Liverpool,0,1.6,2022-10-22,75,Nottingham Forest,0,2,False
Roberto Firmino,FWD,Liverpool,0,4.7,2022-10-16,71,Manchester City,0,2,True
Roberto Firmino,FWD,Liverpool,1,6.1,2022-10-09,48,Arsenal,0,6,False
Roberto Firmino,FWD,Liverpool,0,3.8,2022-11-06,73,Tottenham,0,2,False
Roberto Firmino,FWD,Liverpool,0,8.2,2022-11-12,74,Southampton,1,6,True
Roberto Firmino,FWD,Liverpool,0,0.0,2022-12-26,0,Aston Villa,0,0,False
Roberto Firmino,FWD,Liverpool,0,0.0,2022-12-30,0,Leeds United,0,0,True
Roberto Firmino,FWD,Liverpool,0,0.0,2023-01-02,0,Brentford,0,0,False
Roberto Firmino,FWD,Liverpool,0,0.0,2023-01-21,0,Chelsea,0,0,True
Roberto Firmino,FWD,Liverpool,0,0.0,2023-02-04,0,Wolverhampton,0,0,False
Roberto Firmino,FWD,Liverpool,0,0.0,2023-01-14,0,Brighton,0,0,False
Roberto Firmino,FWD,Liverpool,0,5.7,2022-08-22,90,Manchester United,0,2,False
Roberto Firmino,FWD,Liverpool,0,0.2,2023-02-25,19,Crystal Palace,0,1,False
Roberto Firmino,FWD,Liverpool,0,0.0,2023-03-01,1,Wolverhampton,0,1,True
Roberto Firmino,FWD,Liverpool,0,9.6,2023-03-05,11,Manchester United,0,8,True
Roberto Firmino,FWD,Liverpool,0,1.3,2023-02-13,10,Everton,0,1,True
Roberto Firmino,FWD,Liverpool,0,2.3,2023-02-18,31,Newcastle United,0,1,False
Roberto Firmino,FWD,Liverpool,0,1.1,2023-03-11,24,Bournemouth,0,1,False
Roberto Firmino,FWD,Liverpool,1,7.0,2023-04-09,12,Arsenal,0,6,True
Roberto Firmino,FWD,Liverpool,0,0.2,2023-04-01,20,Manchester City,0,1,False
Roberto Firmino,FWD,Liverpool,0,1.5,2023-04-04,64,Chelsea,1,2,False
Roberto Firmino,FWD,Liverpool,0,3.9,2023-04-17,8,Leicester City,0,1,False
Roberto Firmino,FWD,Liverpool,0,0.0,2023-04-22,0,Nottingham Forest,0,0,True
Roberto Firmino,FWD,Liverpool,0,0.0,2023-04-26,0,West Ham,0,0,False
Roberto Firmino,FWD,Liverpool,3,30.4,2022-08-27,68,Bournemouth,0,22,True
Roberto Firmino,FWD,Liverpool,0,0.0,2023-05-06,0,Brentford,0,0,True
Roberto Firmino,FWD,Liverpool,0,0.0,2023-05-15,0,Leeds United,0,0,False
Roberto Firmino,FWD,Liverpool,0,0.0,2023-05-28,56,Southampton,1,5,False
Roberto Firmino,FWD,Liverpool,2,7.1,2023-05-20,18,Aston Villa,0,7,True
Roberto Firmino,FWD,Liverpool,0,0.0,2023-04-30,0,Tottenham,0,0,True
Roberto Firmino,FWD,Liverpool,0,0.0,2023-05-03,0,Fulham,0,0,True
Roberto Firmino,FWD,Liverpool,3,15.1,2022-08-31,90,Newcastle United,0,9,True
Roberto Firmino,FWD,Liverpool,0,8.1,2022-09-03,45,Everton,0,1,False
Roberto Firmino,FWD,Liverpool,2,17.3,2022-10-01,74,Brighton,0,12,True
