name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,starts,total_points,was_home
Brenden Aaronson,MID,Leeds,0,0,2,4.7,2022-10-20,90,Leeds United,0,2,False
Brenden Aaronson,MID,Leeds,0,0,1,2.2,2022-08-06,84,Wolverhampton,0,2,True
Brenden Aaronson,MID,Leeds,0,0,1,3.9,2022-10-29,90,Liverpool,0,2,False
Brenden Aaronson,MID,Leeds,0,0,2,5.5,2022-08-13,90,Southampton,0,1,False
Brenden Aaronson,MID,Leeds,0,0,3,10.8,2022-10-23,90,Fulham,0,2,True
Brenden Aaronson,MID,Leeds,0,0,1,7.8,2022-10-16,90,Arsenal,0,2,True
Brenden Aaronson,MID,Leeds,0,0,4,7.6,2022-11-12,90,Tottenham,1,5,False
Brenden Aaronson,MID,Leeds,0,0,3,4.8,2022-11-05,85,Bournemouth,0,2,True
Brenden Aaronson,MID,Leeds,0,0,3,1.7,2022-12-28,82,Manchester City,1,2,True
Brenden Aaronson,MID,Leeds,0,0,1,1.8,2022-10-09,75,Crystal Palace,0,5,False
Brenden Aaronson,MID,Leeds,0,1,0,3.5,2022-12-31,90,Newcastle United,1,3,False
Brenden Aaronson,MID,Leeds,0,0,2,0.6,2023-01-04,62,West Ham,1,2,True
Brenden Aaronson,MID,Leeds,0,1,0,2.9,2023-01-22,69,Brentford,1,3,True
Brenden Aaronson,MID,Leeds,0,0,2,2.9,2023-03-18,80,Wolverhampton,1,2,False
Brenden Aaronson,MID,Leeds,0,0,2,3.4,2023-01-13,76,Aston Villa,1,2,False
Brenden Aaronson,MID,Leeds,0,0,0,0.0,2023-02-05,0,Nottingham Forest,0,0,False
Brenden Aaronson,MID,Leeds,0,0,1,0.4,2023-02-08,27,Manchester United,0,1,False
Brenden Aaronson,MID,Leeds,0,1,0,4.4,2023-02-25,74,Southampton,1,3,True
Brenden Aaronson,MID,Leeds,0,0,2,0.6,2023-02-12,17,Manchester United,0,1,True
Brenden Aaronson,MID,Leeds,0,0,1,1.7,2023-03-04,67,Chelsea,1,2,False
Brenden Aaronson,MID,Leeds,0,1,0,11.5,2022-08-21,82,Chelsea,0,8,True
Brenden Aaronson,MID,Leeds,0,0,1,0.7,2023-02-18,29,Everton,0,1,False
Brenden Aaronson,MID,Leeds,0,0,2,5.9,2023-03-11,83,Brighton,1,2,True
Brenden Aaronson,MID,Leeds,0,0,3,11.0,2023-04-09,59,Crystal Palace,1,4,True
Brenden Aaronson,MID,Leeds,0,0,3,6.4,2023-04-01,64,Arsenal,1,2,False
Brenden Aaronson,MID,Leeds,0,0,1,6.5,2023-04-04,73,Nottingham Forest,1,2,True
Brenden Aaronson,MID,Leeds,0,0,4,3.3,2023-04-17,65,Liverpool,1,2,True
Brenden Aaronson,MID,Leeds,0,0,1,2.0,2023-04-22,64,Fulham,1,2,False
Brenden Aaronson,MID,Leeds,0,0,1,2.4,2023-04-25,22,Leeds United,0,1,True
Brenden Aaronson,MID,Leeds,0,0,0,0.0,2023-05-06,10,Manchester City,0,1,False
Brenden Aaronson,MID,Leeds,0,0,1,2.0,2022-08-27,81,Brighton,0,1,False
Brenden Aaronson,MID,Leeds,0,0,0,0.0,2023-05-13,3,Newcastle United,0,1,True
Brenden Aaronson,MID,Leeds,0,0,0,0.0,2023-04-30,0,Bournemouth,0,0,False
Brenden Aaronson,MID,Leeds,0,0,2,1.2,2023-05-21,28,West Ham,0,1,False
Brenden Aaronson,MID,Leeds,0,0,2,0.0,2023-05-28,31,Tottenham,0,1,True
Brenden Aaronson,MID,Leeds,0,0,1,9.5,2022-08-30,75,Everton,0,5,True
Brenden Aaronson,MID,Leeds,0,0,5,3.8,2022-09-03,90,Brentford,0,2,False
Brenden Aaronson,MID,Leeds,0,1,0,3.7,2022-10-02,78,Aston Villa,0,3,True
