name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,starts,total_points,was_home
Dominic Solanke,FWD,Bournemouth,0,3.0,2022-10-19,90,Southampton,0,2,True
Dominic Solanke,FWD,Bournemouth,0,1.4,2022-10-29,88,Tottenham,0,2,True
Dominic Solanke,FWD,Bournemouth,0,4.8,2022-08-06,90,Aston Villa,0,2,True
Dominic Solanke,FWD,Bournemouth,0,0.0,2022-08-13,0,Manchester City,0,0,False
Dominic Solanke,FWD,Bournemouth,0,6.4,2022-10-24,44,West Ham,0,1,False
Dominic Solanke,FWD,Bournemouth,3,11.0,2022-10-15,88,Fulham,0,12,False
Dominic Solanke,FWD,Bournemouth,0,8.8,2022-11-12,90,Everton,1,5,True
Dominic Solanke,FWD,Bournemouth,0,6.7,2022-11-05,90,Leicester City,0,6,False
Dominic Solanke,FWD,Bournemouth,0,1.0,2022-12-27,90,Chelsea,1,2,False
Dominic Solanke,FWD,Bournemouth,0,5.5,2022-10-08,90,Leeds United,0,8,True
Dominic Solanke,FWD,Bournemouth,0,6.1,2022-12-31,90,Crystal Palace,1,1,True
Dominic Solanke,FWD,Bournemouth,0,4.9,2023-01-03,90,Manchester United,1,2,False
Dominic Solanke,FWD,Bournemouth,0,0.0,2023-01-21,0,Nottingham Forest,0,0,True
Dominic Solanke,FWD,Bournemouth,0,0.0,2023-01-14,0,Brentford,0,0,False
Dominic Solanke,FWD,Bournemouth,0,0.0,2023-02-04,0,Brighton,0,0,False
Dominic Solanke,FWD,Bournemouth,0,6.2,2023-03-18,90,Aston Villa,1,2,False
Dominic Solanke,FWD,Bournemouth,0,3.1,2023-02-25,90,Manchester City,1,5,True
Dominic Solanke,FWD,Bournemouth,0,5.5,2023-02-11,90,Newcastle United,1,2,True
Dominic Solanke,FWD,Bournemouth,0,3.2,2023-03-04,90,Arsenal,1,2,False
Dominic Solanke,FWD,Bournemouth,0,0.0,2022-08-20,0,Arsenal,0,0,True
Dominic Solanke,FWD,Bournemouth,0,5.1,2023-02-18,90,Wolverhampton,1,5,False
Dominic Solanke,FWD,Bournemouth,0,2.4,2023-03-11,87,Liverpool,1,2,True
Dominic Solanke,FWD,Bournemouth,0,11.4,2023-04-08,87,Leeds United,1,2,False
Dominic Solanke,FWD,Bournemouth,3,11.7,2023-04-01,89,Fulham,1,9,True
Dominic Solanke,FWD,Bournemouth,0,8.3,2023-04-04,90,Brighton,1,2,True
Dominic Solanke,FWD,Bournemouth,3,11.6,2023-04-15,90,Tottenham,1,15,False
Dominic Solanke,FWD,Bournemouth,0,8.0,2023-04-23,90,West Ham,1,2,True
Dominic Solanke,FWD,Bournemouth,0,0.0,2023-04-27,90,Southampton,1,5,False
Dominic Solanke,FWD,Bournemouth,0,1.9,2023-05-06,89,Chelsea,1,2,True
Dominic Solanke,FWD,Bournemouth,0,0.3,2022-08-27,45,Liverpool,0,1,False
Dominic Solanke,FWD,Bournemouth,0,3.0,2023-05-13,90,Crystal Palace,1,2,False
Dominic Solanke,FWD,Bournemouth,2,10.4,2023-04-30,88,Leicester City,1,8,True
Dominic Solanke,FWD,Bournemouth,0,5.6,2023-05-20,90,Manchester United,1,2,True
Dominic Solanke,FWD,Bournemouth,0,0.0,2023-05-28,90,Everton,1,1,False
Dominic Solanke,FWD,Bournemouth,0,6.2,2022-08-31,90,Wolverhampton,0,2,True
Dominic Solanke,FWD,Bournemouth,3,8.8,2022-09-03,90,Nottingham Forest,0,12,False
Dominic Solanke,FWD,Bournemouth,0,2.0,2022-09-17,90,Newcastle United,0,2,False
Dominic Solanke,FWD,Bournemouth,0,3.6,2022-10-01,90,Brentford,0,2,True
