name,position,team,xP,assists,bonus,clean_sheets,expected_assists,expected_goals,fixture,goals_conceded,goals_scored,ict_index,minutes,opponent_team,penalties_missed,red_cards,starts,total_points,was_home,yellow_cards
Marcus Rashford,MID,Man Utd,2.8,0,0,0,0.0,0.0,9,2,0,5.0,90,Brighton,0,0,0,2,True,0
Marcus Rashford,MID,Man Utd,1.5,0,0,0,0.0,0.0,96,1,0,3.5,90,Everton,0,0,0,2,False,0
Marcus Rashford,MID,Man Utd,1.3,0,0,0,0.0,0.0,107,0,0,2.0,18,Newcastle United,0,0,0,1,True,0
Marcus Rashford,MID,Man Utd,0.0,0,0,1,0.0,0.0,119,0,0,9.1,90,Tottenham,0,0,0,3,True,0
Marcus Rashford,MID,Man Utd,1.5,0,0,1,0.0,0.0,122,0,0,5.7,80,Chelsea,0,0,0,3,False,0
Marcus Rashford,MID,Man Utd,3.0,0,0,1,0.0,0.0,139,0,1,13.3,90,West Ham,0,0,0,8,True,0
Marcus Rashford,MID,Man Utd,3.4,0,0,0,0.0,0.0,141,3,0,2.0,90,Aston Villa,0,0,0,2,False,0
Marcus Rashford,MID,Man Utd,4.0,0,0,0,0.05866,0.4139,153,1,0,0.0,90,Fulham,0,0,1,2,False,0
Marcus Rashford,MID,Man Utd,14.5,1,3,1,0.08118,0.4149,169,0,1,12.6,85,Nottingham Forest,0,0,1,14,True,0
Marcus Rashford,MID,Man Utd,9.5,0,0,0,0.37826,0.2769,180,0,1,10.4,45,Wolverhampton,0,0,0,5,False,1
Marcus Rashford,MID,Man Utd,9.0,0,0,1,0.07691,0.5477,189,0,1,12.0,90,Bournemouth,0,0,1,8,True,0
Marcus Rashford,MID,Man Utd,2.0,0,0,0,0.0,0.0,13,4,0,7.7,90,Brentford,0,0,0,1,False,1
Marcus Rashford,MID,Man Utd,14.6,0,3,0,0.06613,1.2343,196,1,1,11.5,90,Manchester City,0,0,1,10,True,0
Marcus Rashford,MID,Man Utd,14.6,0,0,0,0.03692,0.663,63,1,0,5.3,90,Crystal Palace,0,0,1,2,False,0
Marcus Rashford,MID,Man Utd,7.2,0,0,0,0.00753,0.1256,201,3,1,7.1,90,Arsenal,0,0,1,7,False,0
Marcus Rashford,MID,Man Utd,15.6,1,2,0,0.07,0.78,216,1,1,10.2,90,Crystal Palace,0,0,1,12,True,0
Marcus Rashford,MID,Man Utd,15.6,0,1,0,0.03,0.2,76,2,1,11.4,90,Leicester City,0,0,1,8,True,0
Marcus Rashford,MID,Man Utd,7.4,0,0,1,0.03,0.21,225,0,1,7.3,90,Leicester City,0,0,1,8,False,0
Marcus Rashford,MID,Man Utd,10.8,0,2,1,0.01,1.08,236,0,2,14.1,68,Leeds United,0,0,1,15,True,0
Marcus Rashford,MID,Man Utd,7.7,0,0,0,0.01,0.64,256,6,0,3.3,84,Liverpool,0,0,1,2,False,0
Marcus Rashford,MID,Man Utd,7.2,0,0,1,0.02,0.15,267,0,0,3.8,90,Southampton,0,0,1,3,True,0
Marcus Rashford,MID,Man Utd,7.1,0,0,0,0.02,0.0,288,2,0,0.5,90,Newcastle United,0,0,1,2,False,0
Marcus Rashford,MID,Man Utd,7.1,0,2,1,0.09,0.26,247,0,1,14.5,90,Brentford,0,0,1,10,True,0
Marcus Rashford,MID,Man Utd,3.8,0,3,0,0.0,0.0,27,1,1,11.3,85,Liverpool,0,0,0,10,True,0
Marcus Rashford,MID,Man Utd,6.0,1,0,1,0.11,0.87,297,0,0,11.0,80,Everton,0,0,1,6,True,0
Marcus Rashford,MID,Man Utd,0.0,0,0,0,0.0,0.0,306,0,0,0.0,0,Nottingham Forest,0,0,0,0,False,0
Marcus Rashford,MID,Man Utd,6.0,1,2,0,0.06,0.7,325,2,1,0.0,90,Tottenham,0,0,1,12,False,0
Marcus Rashford,MID,Man Utd,12.0,1,0,1,0.12,0.46,339,0,0,6.7,85,Aston Villa,0,0,1,6,True,0
Marcus Rashford,MID,Man Utd,12.0,0,0,0,0.08,0.36,274,1,0,7.7,90,Brighton,0,0,1,2,False,0
Marcus Rashford,MID,Man Utd,4.4,0,0,0,0.06,0.2,349,1,0,7.0,90,West Ham,0,0,1,2,False,0
Marcus Rashford,MID,Man Utd,0.0,0,0,0,0.0,0.0,359,0,0,0.0,0,Wolverhampton,0,0,0,0,True,0
Marcus Rashford,MID,Man Utd,4.6,0,0,0,0.0,0.0,361,0,0,0.0,0,Bournemouth,0,0,0,0,False,0
Marcus Rashford,MID,Man Utd,4.6,0,0,0,0.14,1.07,319,1,1,14.7,61,Chelsea,0,0,0,7,True,0
Marcus Rashford,MID,Man Utd,2.7,0,0,0,0.04,0.82,379,1,0,0.0,76,Fulham,0,0,1,2,True,0
Marcus Rashford,MID,Man Utd,4.5,0,0,1,0.0,0.0,39,0,0,2.6,90,Southampton,0,0,0,3,False,0
Marcus Rashford,MID,Man Utd,4.9,1,0,1,0.0,0.0,46,0,0,7.6,86,Leeds United,0,0,0,6,False,0
Marcus Rashford,MID,Man Utd,7.6,1,3,0,0.0,0.0,56,1,2,13.3,79,Arsenal,0,0,0,18,True,0
Marcus Rashford,MID,Man Utd,6.4,0,0,0,0.0,0.0,88,4,0,0.3,58,Manchester City,0,0,0,1,False,0
