name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,starts,total_points,was_home
Neal Maupay,FWD,Brighton,0,0.0,2022-08-13,0,Newcastle United,0,0,True
Neal Maupay,FWD,Brighton,0,0.0,2022-08-07,0,Manchester United,0,0,False
Neal Maupay,FWD,Everton,0,0.3,2022-10-19,17,Newcastle United,0,1,False
Neal Maupay,FWD,Everton,0,0.0,2022-10-29,4,Fulham,0,1,False
Neal Maupay,FWD,Everton,0,0.1,2022-10-22,12,Crystal Palace,0,1,True
Neal Maupay,FWD,Everton,0,0.8,2022-10-09,83,Manchester United,0,2,True
Neal Maupay,FWD,Everton,0,0.0,2022-10-15,65,Tottenham,0,1,False
Neal Maupay,FWD,Everton,0,4.4,2022-11-05,29,Leeds United,0,1,True
Neal Maupay,FWD,Everton,0,4.5,2022-11-12,73,Bournemouth,1,2,False
Neal Maupay,FWD,Everton,0,2.3,2022-12-26,82,Wolverhampton,1,2,True
Neal Maupay,FWD,Everton,0,0.0,2022-12-31,20,Manchester City,0,0,False
Neal Maupay,FWD,Everton,0,0.2,2023-01-03,26,Brighton,0,1,True
Neal Maupay,FWD,Everton,0,0.0,2023-03-18,0,Chelsea,0,0,False
Neal Maupay,FWD,Everton,0,0.0,2023-01-21,0,West Ham,0,0,False
Neal Maupay,FWD,Brighton,0,0.0,2022-08-21,0,West Ham,0,0,False
Neal Maupay,FWD,Everton,0,1.0,2023-02-04,28,Arsenal,0,0,True
Neal Maupay,FWD,Everton,0,6.0,2023-02-25,75,Aston Villa,1,2,True
Neal Maupay,FWD,Everton,0,6.0,2023-03-01,60,Arsenal,1,2,False
Neal Maupay,FWD,Everton,0,0.0,2023-01-14,0,Southampton,0,0,True
Neal Maupay,FWD,Everton,0,0.0,2023-03-05,1,Nottingham Forest,0,1,False
Neal Maupay,FWD,Everton,0,4.3,2023-02-18,80,Leicester City,1,2,True
Neal Maupay,FWD,Everton,0,0.0,2023-02-13,12,Liverpool,0,1,False
Neal Maupay,FWD,Everton,0,0.1,2023-03-11,4,Brentford,0,1,True
Neal Maupay,FWD,Everton,0,0.6,2023-04-08,20,Manchester United,0,1,False
Neal Maupay,FWD,Everton,0,0.0,2023-04-03,0,Tottenham,0,0,True
Neal Maupay,FWD,Everton,0,0.0,2023-04-22,1,Crystal Palace,0,1,False
Neal Maupay,FWD,Everton,0,5.7,2023-04-15,73,Fulham,1,2,True
Neal Maupay,FWD,Everton,0,0.0,2023-04-27,17,Newcastle United,0,0,True
Neal Maupay,FWD,Everton,0,0.0,2022-08-27,0,Brentford,0,0,False
Neal Maupay,FWD,Everton,0,0.0,2023-05-08,3,Brighton,0,1,False
Neal Maupay,FWD,Everton,0,0.0,2022-08-30,0,Leicester City,0,0,False
Neal Maupay,FWD,Everton,0,1.0,2023-05-14,45,Manchester City,0,1,True
Neal Maupay,FWD,Everton,0,0.0,2023-05-28,0,Bournemouth,0,0,True
Neal Maupay,FWD,Everton,0,10.3,2022-09-03,90,Liverpool,0,2,True
Neal Maupay,FWD,Everton,0,0.6,2023-05-20,8,Wolverhampton,0,1,False
Neal Maupay,FWD,Everton,0,0.0,2023-05-01,0,Leeds United,0,0,False
Neal Maupay,FWD,Everton,3,6.4,2022-09-18,88,West Ham,0,9,True
Neal Maupay,FWD,Everton,0,7.6,2022-10-01,88,Southampton,0,2,False
