name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,starts,total_points,was_home
Sam Surridge,FWD,Nott'm Forest,0,0.0,2023-03-17,11,Newcastle United,0,1,True
Sam Surridge,FWD,Nott'm Forest,0,1.4,2022-08-06,62,Newcastle United,0,2,False
Sam Surridge,FWD,Nott'm Forest,0,0.0,2022-10-18,0,Brighton,0,0,False
Sam Surridge,FWD,Nott'm Forest,0,0.2,2022-08-14,18,West Ham,0,0,True
Sam Surridge,FWD,Nott'm Forest,0,0.0,2022-10-22,0,Liverpool,0,0,True
Sam Surridge,FWD,Nott'm Forest,0,1.0,2022-10-10,19,Aston Villa,0,1,True
Sam Surridge,FWD,Nott'm Forest,0,0.2,2022-11-05,1,Brentford,0,1,True
Sam Surridge,FWD,Nott'm Forest,0,0.0,2022-08-20,0,Everton,0,0,False
Sam Surridge,FWD,Nott'm Forest,0,0.8,2022-11-12,9,Crystal Palace,0,1,True
Sam Surridge,FWD,Nott'm Forest,0,2.3,2022-12-27,28,Manchester United,0,1,False
Sam Surridge,FWD,Nott'm Forest,0,0.0,2022-10-15,1,Wolverhampton,0,1,False
Sam Surridge,FWD,Nott'm Forest,0,0.2,2023-01-01,8,Chelsea,0,1,True
Sam Surridge,FWD,Nott'm Forest,0,0.0,2022-10-30,0,Arsenal,0,0,False
Sam Surridge,FWD,Nott'm Forest,3,7.3,2023-01-21,15,Bournemouth,0,8,False
Sam Surridge,FWD,Nott'm Forest,0,0.0,2023-02-25,4,West Ham,0,1,False
Sam Surridge,FWD,Nott'm Forest,0,0.0,2023-04-08,0,Aston Villa,0,0,False
Sam Surridge,FWD,Nott'm Forest,0,0.0,2023-02-18,0,Manchester City,0,0,True
Sam Surridge,FWD,Nott'm Forest,0,0.0,2023-03-05,0,Everton,0,0,True
Sam Surridge,FWD,Nott'm Forest,0,0.3,2023-01-04,19,Southampton,0,1,False
Sam Surridge,FWD,Nott'm Forest,0,0.1,2023-02-05,17,Leicester City,0,0,True
Sam Surridge,FWD,Nott'm Forest,0,0.0,2023-02-11,0,Fulham,0,0,False
Sam Surridge,FWD,Nott'm Forest,0,1.0,2023-01-14,35,Leeds United,0,1,True
Sam Surridge,FWD,Nott'm Forest,0,0.0,2023-03-11,0,Tottenham,0,0,False
Sam Surridge,FWD,Nott'm Forest,0,0.0,2023-04-01,0,Wolverhampton,0,0,True
Sam Surridge,FWD,Nott'm Forest,0,0.0,2023-04-04,0,Leicester City,0,0,False
Sam Surridge,FWD,Nott'm Forest,0,0.7,2022-09-16,20,Fulham,0,1,True
Sam Surridge,FWD,Nott'm Forest,0,0.0,2023-04-22,3,Liverpool,0,1,False
Sam Surridge,FWD,Nott'm Forest,0,0.2,2023-04-16,25,Manchester United,0,1,True
Sam Surridge,FWD,Nott'm Forest,0,0.0,2022-08-31,0,Manchester City,0,0,False
Sam Surridge,FWD,Nott'm Forest,0,0.0,2023-04-26,0,Brighton,0,0,True
Sam Surridge,FWD,Nott'm Forest,0,0.0,2022-08-28,1,Tottenham,0,1,True
Sam Surridge,FWD,Nott'm Forest,0,0.0,2022-09-03,0,Bournemouth,0,0,True
Sam Surridge,FWD,Nott'm Forest,0,0.0,2022-10-03,0,Leeds United,0,0,False
Sam Surridge,FWD,Nott'm Forest,0,0.0,2023-05-08,9,Southampton,0,1,True
Sam Surridge,FWD,Nott'm Forest,0,0.0,2023-05-28,1,Crystal Palace,0,1,False
Sam Surridge,FWD,Nott'm Forest,0,0.0,2023-05-13,0,Chelsea,0,0,False
Sam Surridge,FWD,Nott'm Forest,0,0.0,2023-04-29,0,Brentford,0,0,False
Sam Surridge,FWD,Nott'm Forest,0,0.0,2023-05-20,0,Arsenal,0,0,True
