name,position,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,starts,total_points,was_home
Joel Robles,GK,Leeds,0,0,0.0,0,2023-03-18,0,Wolverhampton,0,0,0,0,0,False
Joel Robles,GK,Leeds,0,0,0.0,0,2022-10-20,0,Leeds United,0,0,0,0,0,False
Joel Robles,GK,Leeds,0,0,0.0,0,2022-08-13,0,Southampton,0,0,0,0,0,False
Joel Robles,GK,Leeds,0,0,0.0,0,2022-08-21,0,Chelsea,0,0,0,0,0,True
Joel Robles,GK,Leeds,0,0,0.0,0,2022-10-23,0,Fulham,0,0,0,0,0,True
Joel Robles,GK,Leeds,0,0,0.0,0,2022-10-09,0,Crystal Palace,0,0,0,0,0,False
Joel Robles,GK,Leeds,0,0,0.0,0,2022-11-05,0,Bournemouth,0,0,0,0,0,True
Joel Robles,GK,Leeds,0,0,0.0,0,2022-12-28,0,Manchester City,0,0,0,0,0,True
Joel Robles,GK,Leeds,0,0,0.0,0,2022-11-12,0,Tottenham,0,0,0,0,0,False
Joel Robles,GK,Leeds,0,0,0.0,0,2022-10-29,0,Liverpool,0,0,0,0,0,False
Joel Robles,GK,Leeds,0,0,0.0,0,2022-10-16,0,Arsenal,0,0,0,0,0,True
Joel Robles,GK,Leeds,0,0,0.0,0,2022-12-31,0,Newcastle United,0,0,0,0,0,False
Joel Robles,GK,Leeds,0,0,0.0,0,2023-01-22,0,Brentford,0,0,0,0,0,True
Joel Robles,GK,Leeds,0,0,0.0,0,2023-02-25,0,Southampton,0,0,0,0,0,True
Joel Robles,GK,Leeds,0,0,0.0,0,2023-02-18,0,Everton,0,0,0,0,0,False
Joel Robles,GK,Leeds,0,0,0.0,0,2023-01-04,0,West Ham,0,0,0,0,0,True
Joel Robles,GK,Leeds,0,0,0.0,0,2023-04-09,0,Crystal Palace,0,0,0,0,0,True
Joel Robles,GK,Leeds,0,0,0.0,0,2023-03-04,0,Chelsea,0,0,0,0,0,False
Joel Robles,GK,Leeds,0,0,0.0,0,2023-02-05,0,Nottingham Forest,0,0,0,0,0,False
Joel Robles,GK,Leeds,0,0,0.0,0,2023-02-08,0,Manchester United,0,0,0,0,0,False
Joel Robles,GK,Leeds,0,0,0.0,0,2023-02-12,0,Manchester United,0,0,0,0,0,True
Joel Robles,GK,Leeds,0,0,0.0,0,2023-01-13,0,Aston Villa,0,0,0,0,0,False
Joel Robles,GK,Leeds,0,0,0.0,0,2023-03-11,0,Brighton,0,0,0,0,0,True
Joel Robles,GK,Leeds,0,0,0.0,0,2023-04-01,0,Arsenal,0,0,0,0,0,False
Joel Robles,GK,Leeds,0,0,0.0,0,2023-04-04,0,Nottingham Forest,0,0,0,0,0,True
Joel Robles,GK,Leeds,0,0,0.0,0,2023-04-22,0,Fulham,0,0,0,0,0,False
Joel Robles,GK,Leeds,0,0,0.0,0,2023-04-17,0,Liverpool,0,0,0,0,0,True
Joel Robles,GK,Leeds,0,0,0.0,0,2022-08-30,0,Everton,0,0,0,0,0,True
Joel Robles,GK,Leeds,0,0,0.0,0,2022-08-27,0,Brighton,0,0,0,0,0,False
Joel Robles,GK,Leeds,0,0,0.0,0,2022-09-03,0,Brentford,0,0,0,0,0,False
Joel Robles,GK,Leeds,0,0,0.0,0,2023-04-25,0,Leeds United,0,0,0,0,0,True
Joel Robles,GK,Leeds,0,0,0.0,0,2022-10-02,0,Aston Villa,0,0,0,0,0,True
Joel Robles,GK,Leeds,0,0,2.47,2,2023-05-06,90,Manchester City,0,0,4,1,2,False
Joel Robles,GK,Leeds,0,0,2.12,4,2023-05-28,90,Tottenham,0,0,3,1,1,True
Joel Robles,GK,Leeds,0,0,2.42,2,2023-05-13,90,Newcastle United,0,0,3,1,1,True
Joel Robles,GK,Leeds,0,0,2.15,3,2023-05-21,90,West Ham,0,0,6,1,3,False
Joel Robles,GK,Leeds,0,0,0.0,0,2023-04-30,0,Bournemouth,0,0,0,0,0,False
