name,position,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,starts,total_points,was_home
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2023-03-18,0,Leeds United,0,0,0,True
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2022-11-05,0,Nottingham Forest,0,0,0,False
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2022-12-26,0,Tottenham,0,0,0,True
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2022-08-07,0,Leeds United,0,0,0,False
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2022-08-13,0,Manchester United,0,0,0,True
Kristoffer Ajer,DEF,Brentford,0,0,0.0,5,1.6,2022-10-08,90,Newcastle United,0,0,0,False
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2022-11-12,0,Manchester City,0,0,0,False
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2022-10-19,0,Chelsea,0,0,0,True
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2022-08-20,0,Fulham,0,0,0,False
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2023-02-18,0,Crystal Palace,0,0,0,True
Kristoffer Ajer,DEF,Brentford,0,1,0.0,0,2.3,2022-10-14,90,Brighton,0,0,6,True
Kristoffer Ajer,DEF,Brentford,0,0,0.0,1,1.4,2022-10-29,82,Wolverhampton,0,0,2,True
Kristoffer Ajer,DEF,Brentford,0,1,0.5014,0,1.1,2023-01-22,90,Leicester City,0,1,6,False
Kristoffer Ajer,DEF,Brentford,0,0,0.0,4,1.5,2022-10-23,90,Aston Villa,0,0,0,False
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2022-12-30,0,West Ham,0,0,0,False
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2023-02-04,0,Southampton,0,0,0,True
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2023-03-06,0,Fulham,0,0,0,True
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2023-01-02,0,Liverpool,0,0,0,True
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2023-04-08,0,Newcastle United,0,0,0,True
Kristoffer Ajer,DEF,Brentford,0,0,1.68,1,1.9,2023-02-11,90,Arsenal,0,1,2,False
Kristoffer Ajer,DEF,Brentford,0,1,0.4525,0,2.9,2023-01-14,81,Bournemouth,0,1,6,True
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2023-03-11,0,Everton,0,0,0,False
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2023-03-15,0,Southampton,0,0,0,False
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2023-04-01,0,Brighton,0,0,0,False
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2023-04-05,0,Manchester United,0,0,0,False
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2023-04-15,0,Wolverhampton,0,0,0,False
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2023-04-22,0,Aston Villa,0,0,0,True
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2023-04-26,0,Chelsea,0,0,0,False
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2023-04-29,0,Nottingham Forest,0,0,0,True
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2023-05-06,0,Liverpool,0,0,0,False
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2023-05-14,0,West Ham,0,0,0,True
Kristoffer Ajer,DEF,Brentford,0,0,0.0,3,0.7,2022-09-18,90,Arsenal,0,0,1,True
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2023-05-28,0,Manchester City,0,0,0,True
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2022-08-27,0,Everton,0,0,0,True
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2022-08-30,0,Crystal Palace,0,0,0,False
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2022-09-03,0,Leicester City,0,0,0,True
Kristoffer Ajer,DEF,Brentford,0,0,0.0,0,0.0,2023-05-20,0,Tottenham,0,0,0,False
Kristoffer Ajer,DEF,Brentford,0,1,0.0,0,1.7,2022-10-01,60,Bournemouth,0,0,6,False
