name,position,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,starts,total_points,was_home
Ben Chilwell,DEF,Chelsea,0,0,1.43,2,10.9,2023-03-18,90,Everton,0,1,1,True
Ben Chilwell,DEF,Chelsea,0,0,0.0,0,0.0,2022-10-19,0,Brentford,0,0,0,False
Ben Chilwell,DEF,Chelsea,0,1,0.0,0,1.0,2022-08-06,64,Everton,0,0,9,False
Ben Chilwell,DEF,Chelsea,0,0,0.0,1,1.9,2022-10-22,90,Manchester United,0,0,2,True
Ben Chilwell,DEF,Chelsea,0,0,0.0,0,0.0,2022-08-14,0,Tottenham,0,0,0,True
Ben Chilwell,DEF,Chelsea,0,0,0.0,0,0.0,2022-10-08,0,Wolverhampton,0,0,0,True
Ben Chilwell,DEF,Chelsea,0,0,0.0,0,0.0,2022-11-06,0,Arsenal,0,0,0,True
Ben Chilwell,DEF,Chelsea,0,0,0.0,0,0.0,2022-11-12,0,Newcastle United,0,0,0,False
Ben Chilwell,DEF,Chelsea,0,0,0.0,0,0.5,2022-08-21,13,Leicester City,0,0,1,False
Ben Chilwell,DEF,Chelsea,0,0,0.0,0,0.0,2022-12-27,0,Bournemouth,0,0,0,True
Ben Chilwell,DEF,Chelsea,0,1,0.0,0,0.6,2022-10-16,90,Aston Villa,0,0,5,False
Ben Chilwell,DEF,Chelsea,0,0,0.0,1,0.6,2022-10-29,26,Brighton,0,0,1,False
Ben Chilwell,DEF,Chelsea,0,0,0.0,0,0.0,2023-01-01,0,Nottingham Forest,0,0,0,False
Ben Chilwell,DEF,Chelsea,0,0,0.0,0,0.0,2023-01-21,0,Liverpool,0,0,0,False
Ben Chilwell,DEF,Chelsea,0,0,0.71,2,3.9,2023-02-26,90,Tottenham,0,1,1,False
Ben Chilwell,DEF,Chelsea,0,0,0.83,1,1.3,2023-02-18,83,Southampton,0,1,2,True
Ben Chilwell,DEF,Chelsea,0,0,0.0,0,0.3,2023-04-08,22,Wolverhampton,0,0,0,False
Ben Chilwell,DEF,Chelsea,0,0,0.0,0,0.0,2023-01-05,0,Manchester City,0,0,0,True
Ben Chilwell,DEF,Chelsea,0,0,0.0,0,0.0,2023-01-12,0,Fulham,0,0,0,False
Ben Chilwell,DEF,Chelsea,1,1,0.94,0,8.2,2023-03-04,90,Leicester City,0,1,10,True
Ben Chilwell,DEF,Chelsea,0,0,0.09,0,1.6,2023-02-03,6,Fulham,0,0,1,True
Ben Chilwell,DEF,Chelsea,0,0,0.14,0,2.7,2023-02-11,23,West Ham,0,0,1,False
Ben Chilwell,DEF,Chelsea,0,0,0.0,0,0.0,2023-01-15,0,Crystal Palace,0,0,0,True
Ben Chilwell,DEF,Chelsea,0,0,2.08,1,9.9,2023-03-11,72,Leeds United,0,1,8,False
Ben Chilwell,DEF,Chelsea,0,0,0.81,2,5.7,2023-04-01,90,Aston Villa,0,1,0,True
Ben Chilwell,DEF,Chelsea,3,1,0.35,0,5.0,2023-04-04,77,Liverpool,0,1,9,True
Ben Chilwell,DEF,Chelsea,0,0,2.28,2,4.4,2023-04-15,90,Brighton,0,1,1,True
Ben Chilwell,DEF,Chelsea,0,0,1.05,2,4.6,2023-04-26,90,Brentford,0,1,1,True
Ben Chilwell,DEF,Chelsea,0,0,0.0,0,1.4,2022-08-30,23,Southampton,0,0,1,False
Ben Chilwell,DEF,Chelsea,0,0,0.0,0,0.3,2022-08-27,1,Leeds United,0,0,1,True
Ben Chilwell,DEF,Chelsea,0,0,0.0,0,9.4,2022-09-03,18,West Ham,0,0,10,True
Ben Chilwell,DEF,Chelsea,0,0,0.8,1,3.3,2023-05-06,74,Bournemouth,0,1,2,False
Ben Chilwell,DEF,Chelsea,0,0,0.0,1,2.6,2022-10-01,90,Crystal Palace,0,0,2,False
Ben Chilwell,DEF,Chelsea,0,0,0.0,0,0.0,2023-05-28,0,Newcastle United,0,0,0,True
Ben Chilwell,DEF,Chelsea,0,0,0.0,0,0.0,2023-05-13,0,Nottingham Forest,0,0,0,True
Ben Chilwell,DEF,Chelsea,0,0,2.11,3,4.1,2023-05-02,90,Arsenal,0,1,1,False
Ben Chilwell,DEF,Chelsea,0,0,0.0,0,0.0,2023-05-21,0,Manchester City,0,0,0,False
Ben Chilwell,DEF,Chelsea,0,0,0.0,0,0.0,2023-05-25,0,Manchester United,0,0,0,False
