name,position,team,xP,assists,bonus,expected_assists,expected_goals,fixture,goals_scored,ict_index,minutes,opponent_team,penalties_missed,red_cards,starts,total_points,was_home,yellow_cards
Anthony Martial,FWD,Man Utd,0.0,0,0,0.0,0.0,9,0,0.0,0,Brighton,0,0,0,0,True,0
Anthony Martial,FWD,Man Utd,7.0,1,0,0.0,0.0,96,0,3.3,28,Everton,0,0,0,4,False,0
Anthony Martial,FWD,Man Utd,3.5,0,0,0.0,0.0,107,0,0.0,0,Newcastle United,0,0,0,0,True,0
Anthony Martial,FWD,Man Utd,0.0,0,0,0.0,0.0,119,0,0.0,0,Tottenham,0,0,0,0,True,0
Anthony Martial,FWD,Man Utd,0.0,0,0,0.0,0.0,122,0,0.0,0,Chelsea,0,0,0,0,False,0
Anthony Martial,FWD,Man Utd,0.0,0,0,0.0,0.0,139,0,0.0,0,West Ham,0,0,0,0,True,0
Anthony Martial,FWD,Man Utd,0.2,0,0,0.0,0.0,141,0,0.4,25,Aston Villa,0,0,0,1,False,0
Anthony Martial,FWD,Man Utd,1.0,0,0,0.03802,0.48,153,0,0.0,71,Fulham,0,0,1,2,False,0
Anthony Martial,FWD,Man Utd,6.5,0,0,0.00993,0.5217,169,1,7.6,64,Nottingham Forest,0,0,1,6,True,0
Anthony Martial,FWD,Man Utd,4.0,0,0,0.31389,0.6266,180,0,4.9,80,Wolverhampton,0,0,1,2,False,0
Anthony Martial,FWD,Man Utd,3.3,0,0,0.02196,0.2674,189,0,0.9,68,Bournemouth,0,0,1,2,True,0
Anthony Martial,FWD,Man Utd,0.0,0,0,0.0,0.0,13,0,0.0,0,Brentford,0,0,0,0,False,0
Anthony Martial,FWD,Man Utd,2.6,0,0,0.02733,0.0376,196,0,0.7,45,Manchester City,0,0,1,1,True,0
Anthony Martial,FWD,Man Utd,2.6,0,0,0.0,0.0,63,0,0.0,0,Crystal Palace,0,0,0,0,False,0
Anthony Martial,FWD,Man Utd,0.7,0,0,0.0,0.0,201,0,0.0,0,Arsenal,0,0,0,0,False,0
Anthony Martial,FWD,Man Utd,0.4,0,0,0.0,0.0,216,0,0.0,0,Crystal Palace,0,0,0,0,True,0
Anthony Martial,FWD,Man Utd,0.4,0,0,0.0,0.0,76,0,0.0,0,Leicester City,0,0,0,0,True,0
Anthony Martial,FWD,Man Utd,0.0,0,0,0.0,0.0,225,0,0.0,0,Leicester City,0,0,0,0,False,0
Anthony Martial,FWD,Man Utd,0.0,0,0,0.0,0.0,236,0,0.0,0,Leeds United,0,0,0,0,True,0
Anthony Martial,FWD,Man Utd,-0.2,0,0,0.0,0.0,256,0,0.0,0,Liverpool,0,0,0,0,False,0
Anthony Martial,FWD,Man Utd,0.2,0,0,0.0,0.0,267,0,0.0,0,Southampton,0,0,0,0,True,0
Anthony Martial,FWD,Man Utd,0.7,0,0,0.01,0.08,288,0,0.7,28,Newcastle United,0,0,0,1,False,0
Anthony Martial,FWD,Man Utd,0.7,0,0,0.02,0.0,247,0,0.4,19,Brentford,0,0,0,1,True,0
Anthony Martial,FWD,Man Utd,0.6,1,0,0.0,0.0,27,0,5.4,45,Liverpool,0,0,0,4,True,0
Anthony Martial,FWD,Man Utd,2.3,0,0,0.16,0.14,297,1,7.0,30,Everton,0,0,0,5,True,0
Anthony Martial,FWD,Man Utd,3.0,1,0,0.05,0.76,306,0,4.5,71,Nottingham Forest,0,0,1,5,False,0
Anthony Martial,FWD,Man Utd,2.6,0,0,0.01,0.0,325,0,0.0,29,Tottenham,0,0,0,1,False,0
Anthony Martial,FWD,Man Utd,5.0,0,0,0.05,0.0,339,0,1.8,4,Aston Villa,0,0,0,1,True,0
Anthony Martial,FWD,Man Utd,5.0,0,0,0.04,0.11,274,0,4.3,83,Brighton,0,0,1,2,False,0
Anthony Martial,FWD,Man Utd,2.0,0,0,0.16,0.25,349,0,3.7,33,West Ham,0,0,0,1,False,0
Anthony Martial,FWD,Man Utd,0.0,0,2,0.05,0.51,359,1,10.2,68,Wolverhampton,0,0,1,8,True,0
Anthony Martial,FWD,Man Utd,7.1,0,0,0.04,0.16,361,0,2.8,56,Bournemouth,0,0,1,1,False,0
Anthony Martial,FWD,Man Utd,7.1,0,1,0.01,0.81,319,1,8.7,69,Chelsea,0,0,1,7,True,0
Anthony Martial,FWD,Man Utd,3.0,0,0,0.07,0.0,379,0,0.0,23,Fulham,0,0,0,1,True,0
Anthony Martial,FWD,Man Utd,0.0,0,0,0.0,0.0,39,0,0.0,0,Southampton,0,0,0,0,False,0
Anthony Martial,FWD,Man Utd,0.7,0,0,0.0,0.0,46,0,0.0,0,Leeds United,0,0,0,0,False,0
Anthony Martial,FWD,Man Utd,0.0,0,0,0.0,0.0,56,0,0.0,0,Arsenal,0,0,0,0,True,0
Anthony Martial,FWD,Man Utd,3.0,0,1,0.0,0.0,88,2,12.1,31,Manchester City,0,0,0,10,False,0
