Name,assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
Aaron_Connolly_127,0,0,0,0,0.0,233425,45,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2023/24,45,0,0.0,0,0
Aaron_Cresswell_530,0,0,71,0,77.2,55459,42,0.44,0.44,0.0,5.94,11,0,13.9,58.8,431,0,0,0,0,0,2023/24,45,4,2.0,10,1
Aaron_Hickey_104,0,0,87,2,28.4,472713,43,0.13,0.33,0.2,10.2,12,0,12.9,66.6,713,0,0,0,0,0,2023/24,45,9,37.0,17,5
Aaron_Ramsdale_17,0,0,90,2,0.0,225321,45,0.01,0.01,0.0,5.81,5,0,7.3,73.2,540,0,0,0,0,9,2023/24,50,6,0.0,20,0
Aaron_Ramsey_675,0,0,62,0,28.0,447715,50,0.48,0.82,0.35,11.33,17,0,12.7,51.2,522,0,0,0,0,0,2023/24,50,5,53.0,18,1
Aaron_Wan-Bissaka_401,2,5,323,3,196.5,214590,44,1.47,1.58,0.11,38.57,34,0,65.5,397.8,1778,0,0,0,0,0,2023/24,45,20,60.0,47,4
Abdoulaye_Doucouré_249,3,7,335,12,456.5,121599,55,1.51,10.21,8.7,42.26,36,7,161.0,462.4,2632,0,0,0,0,0,2023/24,55,32,687.0,116,7
Abdul Rahman_Baba_190,0,0,0,0,0.0,118335,40,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2023/24,40,0,0.0,0,0
Adam_Davies_479,0,0,0,0,0.0,102549,40,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2023/24,40,0,0.0,0,0
Adam_Lallana_138,1,0,95,2,248.7,39155,49,1.6,2.43,0.83,12.13,13,0,45.8,83.0,839,0,0,0,0,0,2023/24,50,13,130.0,30,2
Adam_Smith_84,3,4,378,8,296.5,54469,44,1.5,1.55,0.05,33.02,33,0,66.1,336.4,2148,0,0,0,0,0,2023/24,45,25,27.0,80,6
