Name,assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
Aaron_Connolly_127,0,0,12,0,13.1,233425,53,0.0,0.0,0.0,0.0,1,0,3.1,2.4,154,0,0,0,0,0,2021/22,55,0,18.0,5,0
Aaron_Cresswell_530,4,17,578,7,545.7,55459,54,0.0,0.0,0.0,0.0,38,2,132.4,589.2,2726,0,0,0,0,0,2021/22,55,0,187.0,115,3
Aaron_Ramsdale_17,0,14,641,12,1.0,225321,51,0.0,0.0,0.0,0.0,39,0,69.0,690.2,3060,0,0,0,0,90,2021/22,45,0,0.0,135,1
Aaron_Ramsey_675,0,0,0,0,0.0,447715,44,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2021/22,45,0,0.0,0,0
Aaron_Wan-Bissaka_401,0,3,329,3,237.0,214590,51,0.0,0.0,0.0,0.0,35,0,73.3,371.8,1793,0,0,0,0,0,2021/22,55,0,123.0,41,2
Abdoulaye_Doucouré_249,5,8,387,5,285.8,121599,53,0.0,0.0,0.0,0.0,47,2,121.1,481.8,2536,0,0,0,0,0,2021/22,55,0,441.0,90,6
Adam_Lallana_138,1,0,240,6,162.9,39155,53,0.0,0.0,0.0,0.0,20,0,54.6,209.4,1559,0,0,0,0,0,2021/22,55,0,173.0,44,4
Adam_Webster_153,0,6,266,4,51.4,110735,43,0.0,0.0,0.0,0.0,20,2,58.9,416.8,1429,0,0,0,0,0,2021/22,45,0,120.0,59,5
Adama_Traoré_662,1,0,168,5,271.1,159533,56,0.0,0.0,0.0,0.0,10,1,76.6,192.0,1069,0,0,0,0,0,2021/22,60,0,300.0,44,0
Adrián_San Miguel del Castillo_289,0,0,0,0,0.0,60706,43,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2021/22,45,0,0.0,0,0
Albert_Sambi Lokonga_21,0,0,173,7,263.4,437742,48,0.0,0.0,0.0,0.0,11,0,56.3,192.4,1129,0,0,0,0,0,2021/22,50,0,108.0,32,5
Alejandro_Garnacho_382,0,0,5,0,0.3,493105,45,0.0,0.0,0.0,0.0,0,0,0.0,0.0,12,0,0,0,0,0,2021/22,45,0,0.0,2,0
Alex_Iwobi_256,2,6,312,6,501.4,153133,58,0.0,0.0,0.0,0.0,38,2,122.7,370.0,2029,0,0,0,0,0,2021/22,60,0,357.0,78,1
Alex_Telles_370,4,6,345,5,455.6,152590,49,0.0,0.0,0.0,0.0,26,0,95.9,399.6,1658,0,0,0,0,0,2021/22,50,0,103.0,67,1
Alexis_Mac Allister_304,2,8,398,6,490.7,243016,51,0.0,0.0,0.0,0.0,29,5,154.9,509.6,2112,0,1,0,0,0,2021/22,55,0,550.0,93,4
Alisson_Ramses Becker_291,1,15,782,20,10.0,116535,61,0.0,0.0,0.0,0.0,24,0,73.1,721.4,3240,1,0,0,0,75,2021/22,60,0,0.0,176,0
Allan_Saint-Maximin_426,7,15,394,9,671.5,170137,67,0.0,0.0,0.0,0.0,54,5,211.3,575.8,2804,0,0,0,0,0,2021/22,65,0,862.0,116,6
Alphonse_Areola_524,0,0,11,0,0.0,84182,47,0.0,0.0,0.0,0.0,1,0,2.0,20.4,90,0,0,0,0,2,2021/22,50,0,0.0,2,0
Amad_Diallo_371,0,0,0,0,0.0,493250,50,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2021/22,50,0,0.0,0,0
Andi_Zeqiri_155,0,0,0,0,0.0,204676,45,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2021/22,45,0,0.0,0,0
Andreas_Hoelgebaum Pereira_267,0,0,0,0,0.0,156689,50,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2021/22,50,0,0.0,0,0
