Name,assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
Aaron_Cresswell_530,1,8,439,6,635.3,55459,47,2.85,3.21,0.36,32.82,32,0,114.2,421.4,2235,0,0,0,0,0,2022/23,50,24,81.0,74,3
Aaron_Hickey_104,3,2,310,5,120.7,472713,49,0.58,0.96,0.38,28.13,30,0,45.1,227.4,1918,0,0,0,0,0,2022/23,50,23,102.0,63,7
Aaron_Ramsdale_17,0,9,664,14,0.0,225321,48,0.02,0.02,0.0,42.31,43,0,76.5,764.8,3420,0,0,0,0,94,2022/23,50,38,0.0,143,1
Aaron_Wan-Bissaka_401,0,3,308,8,221.9,214590,43,0.91,2.1,1.19,19.17,10,0,65.5,290.4,1432,0,0,0,0,0,2022/23,45,16,143.0,67,2
Abdoulaye_Doucouré_249,2,10,263,4,284.1,121599,53,1.52,4.13,2.61,32.1,27,5,89.7,360.4,1527,0,0,0,1,0,2022/23,55,17,255.0,76,6
Adam_Lallana_138,1,4,146,5,186.7,39155,48,1.22,2.1,0.88,10.59,10,2,48.5,144.2,717,0,0,0,0,0,2022/23,50,12,152.0,47,0
Adam_Smith_84,1,5,400,7,276.9,54469,43,1.57,2.07,0.5,54.01,58,0,78.3,416.6,2940,0,0,0,0,0,2022/23,45,34,88.0,74,11
Adam_Webster_153,0,3,405,9,104.3,110735,45,0.45,2.17,1.72,25.8,27,0,59.2,361.8,1983,1,0,0,0,0,2022/23,45,23,126.0,75,2
Adama_Traoré_662,4,0,228,2,388.2,159533,53,3.22,4.6,1.38,29.49,30,2,91.7,270.2,1477,0,0,0,0,0,2022/23,55,12,261.0,66,2
Adrián_San Miguel del Castillo_289,0,0,0,0,0.0,60706,38,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2022/23,40,0,0.0,0,0
Albert_Sambi Lokonga_21,0,0,129,2,57.2,437742,43,0.18,0.35,0.17,8.12,8,0,17.6,98.4,728,0,0,0,0,0,2022/23,45,8,20.0,23,2
Alejandro_Garnacho_382,2,0,81,0,61.7,493105,41,0.95,3.92,2.97,8.02,13,3,50.7,157.6,557,0,0,0,0,0,2022/23,45,5,287.0,39,3
Aleksandar_Mitrović_278,2,14,324,7,228.3,128389,66,1.31,16.62,15.31,35.7,30,14,197.1,584.8,2010,0,4,0,0,0,2022/23,65,23,1171.0,107,7
Alex_Iwobi_256,8,9,563,9,946.0,153133,49,4.31,6.87,2.56,66.42,56,2,201.3,693.4,3379,0,0,0,0,0,2022/23,55,38,373.0,126,2
Alex_Mighten_456,0,0,1,0,0.3,244930,49,0.0,0.0,0.0,0.23,0,0,0.0,0.0,7,0,0,0,0,0,2022/23,50,0,0.0,1,0
Alex_Telles_370,0,0,0,0,0.0,152590,50,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2022/23,50,0,0.0,0,0
Alexander_Isak_415,2,18,353,4,246.1,219168,70,1.37,9.48,8.11,18.67,20,10,145.2,483.4,1520,0,0,0,0,0,2022/23,70,17,724.0,100,3
Alexandre_Moreno Lopera_32,3,5,278,7,321.1,106468,45,2.57,3.16,0.59,17.83,10,0,72.3,254.4,1325,0,0,0,0,0,2022/23,45,14,151.0,72,3
Alexis_Mac Allister_304,2,18,567,10,746.4,243016,56,4.27,16.32,12.05,40.48,45,10,221.3,750.8,2882,1,0,0,0,0,2022/23,55,31,714.0,140,8
Alfie_Gilchrist_716,0,0,0,0,0.0,514280,40,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2022/23,40,0,0.0,0,0
Alisson_Ramses Becker_291,1,15,824,14,10.1,116535,55,0.02,0.02,0.0,50.02,43,0,97.6,966.4,3330,0,0,1,0,107,2022/23,55,37,0.0,162,1
Allan_Saint-Maximin_426,6,4,240,4,397.4,170137,61,2.59,4.19,1.6,13.91,14,1,106.5,284.8,1109,0,0,0,0,0,2022/23,65,12,381.0,66,1
Alphonse_Areola_524,0,0,42,0,0.0,84182,43,0.0,0.0,0.0,7.63,7,0,6.8,69.4,307,0,0,0,0,9,2022/23,45,2,0.0,7,0
Amad_Diallo_371,0,0,0,0,0.0,493250,44,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2022/23,45,0,0.0,0,0
Amadou_Onana_261,3,2,300,9,316.6,449871,47,1.66,4.61,2.95,47.89,37,1,96.0,358.2,2486,0,0,0,0,0,2022/23,50,29,287.0,77,9
Andreas_Hoelgebaum Pereira_267,10,9,360,8,965.0,156689,43,4.26,11.42,7.16,47.49,40,4,189.3,440.6,2696,0,0,0,0,0,2022/23,45,33,495.0,123,8
Andrew_Robertson_307,8,10,633,9,862.1,122798,68,6.69,7.93,1.24,36.59,34,0,162.3,549.2,2579,0,0,0,0,0,2022/23,70,29,211.0,121,3
Andrey_Nascimento dos Santos_186,0,0,0,0,0.0,532605,45,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2022/23,45,0,0.0,0,0
Andros_Townsend_727,0,0,0,0,0.0,60252,54,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2022/23,55,0,0.0,0,0
André_Tavares Gomes_244,0,0,0,0,0.0,120250,45,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2022/23,45,0,0.0,0,0
Andy_Lonergan_579,0,0,0,0,0.0,11948,40,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2022/23,40,0,0.0,0,0
Angelo_Ogbonna_577,0,4,217,4,35.2,40669,44,0.07,0.33,0.26,20.42,19,0,27.4,212.8,1234,0,0,0,0,0,2022/23,45,13,24.0,44,0
Anthony_Elanga_378,1,0,53,2,78.8,449434,46,0.98,1.63,0.65,4.79,2,0,28.7,52.4,417,0,0,0,0,0,2022/23,50,5,162.0,23,0
Anthony_Gordon_412,0,5,186,4,226.6,232826,51,1.29,6.02,4.73,25.18,18,4,108.8,311.2,1574,0,0,0,0,0,2022/23,55,16,550.0,68,7
Anthony_Knockaert_273,0,0,0,0,0.0,83543,47,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2022/23,50,0,0.0,0,0
Anthony_Martial_390,3,4,230,7,179.5,148225,63,1.46,7.49,6.03,13.57,8,6,85.5,305.6,970,0,0,0,0,0,2022/23,70,11,376.0,66,0
Antoine_Semenyo_82,0,1,56,0,26.5,437730,50,0.02,0.38,0.36,7.7,6,1,10.7,50.0,250,0,0,0,0,0,2022/23,50,2,32.0,18,0
Antonee_Robinson_283,2,5,558,9,427.4,169528,44,1.68,1.75,0.07,55.11,44,0,106.3,573.2,3088,0,0,0,0,0,2022/23,45,35,61.0,93,8
Antony Matheus_dos Santos_372,2,4,262,12,421.0,467169,73,2.42,9.07,6.65,25.37,21,4,137.1,322.0,1803,0,0,0,0,0,2022/23,75,23,633.0,82,5
Armando_Broja_193,1,0,56,1,18.2,440323,52,0.06,0.9,0.84,4.49,5,1,19.7,64.6,285,0,0,0,0,0,2022/23,55,2,113.0,21,0
Arnaut_Danjuma Groeneveld_601,0,0,43,0,25.1,220307,61,0.07,0.91,0.84,2.31,5,1,14.8,53.2,162,0,0,0,0,0,2022/23,65,1,71.0,15,0
Ashley_Young_588,0,8,388,9,223.4,18892,43,0.78,1.24,0.46,31.81,28,1,68.7,380.2,2031,0,0,0,0,0,2022/23,45,23,81.0,87,7
Aymeric_Laporte_357,0,3,210,4,111.2,146941,56,0.44,0.93,0.49,11.77,10,0,36.6,183.0,992,0,0,0,0,0,2022/23,60,11,73.0,40,0
Bashir_Humphreys_671,0,0,0,0,0.0,461188,45,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2022/23,45,0,0.0,0,0
Ben_Chilwell_195,3,4,302,4,382.6,172850,56,2.49,4.06,1.57,18.25,19,2,84.2,283.4,1402,0,0,0,0,0,2022/23,60,15,178.0,70,3
Ben_Davies_495,3,3,470,9,291.8,115556,47,1.47,2.48,1.01,26.59,33,2,89.9,434.0,2284,0,0,0,0,0,2022/23,50,26,172.0,99,4
Ben_Doak_628,0,0,4,0,1.4,496208,45,0.0,0.0,0.0,0.96,1,0,1.2,5.6,23,0,0,0,0,0,2022/23,45,0,4.0,2,0
Ben_Godfrey_252,1,0,101,1,42.3,198826,43,0.08,1.32,1.24,18.17,18,0,23.6,146.8,801,0,0,0,0,0,2022/23,45,10,46.0,18,2
Ben_Greenwood_619,0,0,0,0,0.0,474772,40,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2022/23,40,0,0.0,0,0
Ben_Johnson_536,0,1,164,2,76.8,222018,44,0.4,0.46,0.06,15.66,13,0,25.9,161.6,860,0,0,0,0,0,2022/23,45,9,20.0,29,0
Ben_Mee_109,2,11,643,12,103.1,51927,48,0.74,3.93,3.19,46.31,40,3,122.2,780.6,3269,0,0,0,0,0,2022/23,45,37,336.0,143,2
Ben_Pearson_79,0,0,32,1,6.4,156687,44,0.02,0.07,0.05,5.92,10,0,3.7,21.0,282,0,0,0,0,0,2022/23,45,3,9.0,9,1
Benjamin_White_29,5,12,734,15,492.5,198869,50,3.6,4.85,1.25,37.23,35,2,130.8,655.4,3054,0,0,0,0,0,2022/23,45,36,159.0,156,5
Benoît_Badiashile_191,0,2,209,4,49.1,242880,50,0.2,1.46,1.26,12.31,9,1,35.1,219.8,904,0,0,0,0,0,2022/23,50,10,81.0,40,2
Bernardo_Veiga de Carvalho e Silva_344,6,9,427,7,515.0,165809,67,3.83,5.92,2.09,23.24,24,4,143.1,492.0,2196,0,0,0,0,0,2022/23,70,24,424.0,106,5
Bernd_Leno_275,0,17,766,8,10.0,80201,46,0.0,0.0,0.0,62.75,51,0,116.6,1154.8,3240,0,0,1,0,144,2022/23,45,36,0.0,142,3
Bertrand_Traoré_59,0,1,57,1,30.7,110504,49,0.12,0.87,0.75,1.65,1,2,19.0,82.0,226,0,0,0,0,0,2022/23,50,1,79.0,20,1
Billy_Gilmour_133,1,0,105,2,56.5,243568,42,0.8,1.3,0.5,9.35,8,0,15.8,67.6,502,0,0,0,0,0,2022/23,45,7,33.0,21,1
Bobby_Clark_627,0,0,1,0,0.3,491970,45,0.09,0.09,0.0,0.0,0,0,0.2,0.0,7,0,0,0,0,0,2022/23,45,0,2.0,1,0
Bobby_De Cordova-Reid_270,1,3,289,8,326.6,96994,54,1.49,5.4,3.91,46.78,40,4,119.7,365.2,2473,0,0,0,0,0,2022/23,55,29,508.0,90,8
Boubacar_Kamara_47,1,0,235,3,124.7,226944,48,0.92,1.07,0.15,33.05,30,0,45.7,288.2,1773,0,0,0,0,0,2022/23,50,21,43.0,44,4
Boubacar_Traoré_574,1,0,44,0,16.9,476502,43,0.06,0.13,0.07,7.62,9,0,7.9,54.4,405,0,0,0,0,0,2022/23,45,4,7.0,14,2
Braian_Ojeda Rodríguez_459,0,0,0,0,0.0,437476,45,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2022/23,45,0,0.0,0,0
Brandon_Austin_491,0,0,0,0,0.0,214572,39,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2022/23,40,0,0.0,0,0
Brandon_Williams_374,0,0,0,0,0.0,232937,37,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2022/23,40,0,0.0,0,0
Brennan_Johnson_450,5,15,384,7,374.4,242898,55,2.0,10.39,8.39,53.79,54,8,158.1,480.6,2930,0,2,0,0,0,2022/23,60,33,733.0,122,6
Bruno_Borges Fernandes_373,9,23,748,18,1603.7,141746,95,10.7,20.03,9.33,49.13,39,8,359.3,1004.2,3317,0,0,0,0,0,2022/23,100,37,982.0,176,6
Bruno_Guimarães Rodriguez Moura_406,5,5,438,12,646.1,208706,55,3.72,6.54,2.82,29.82,25,4,156.6,630.8,2727,0,0,0,0,0,2022/23,60,32,286.0,107,7
Bryan_Gil Salvatierra_494,1,0,22,1,27.5,436234,50,0.08,0.18,0.1,0.9,1,0,8.5,30.4,146,0,0,0,0,0,2022/23,50,2,27.0,9,1
Bryan_Mbeumo_108,9,19,556,10,808.6,446008,57,5.53,15.01,9.48,41.96,39,9,239.5,692.6,2905,0,0,0,0,0,2022/23,60,36,895.0,150,5
Bukayo_Saka_19,12,19,678,12,1106.1,223340,80,5.97,17.46,11.49,39.66,42,14,333.4,1014.2,3183,0,1,0,0,0,2022/23,80,37,1214.0,202,6
