name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,saves_per_game,last_season_clean_sheet_probability,last_season_total_saves,last_season_expected_goals_conceded,next_week_points
Jason Steele,Brighton,Luton,2023-08-12,True,90,1,1.45,2,0,2,0,0,0.0,1,2.0,0,90.0,0.0,2.0,0.4,37,23.46,3.0
Jason Steele,Brighton,Wolverhampton,2023-08-19,False,90,1,2.06,4,0,3,0,0,0.0,1,2.5,0,90.0,0.0,3.0,0.4,37,23.46,0.0
Jason Steele,Brighton,West Ham,,True,0,0,0.0,0,0,0,0,0,,0,1.67,0,60.0,0.0,3.0,0.4,37,23.46,0.0
Jason Steele,Brighton,Newcastle United,,True,0,0,0.0,0,0,0,0,0,,0,1.25,0,45.0,0.0,3.0,0.4,37,23.46,3.0
Jason Steele,Brighton,Manchester United,2023-09-16,False,90,1,0.96,3,0,3,0,0,0.0,1,1.6,0,54.0,0.0,3.0,0.4,37,23.46,0.0
Jason Steele,Brighton,Bournemouth,,True,0,0,0.0,0,0,0,0,0,,0,1.2,0,45.0,0.0,3.0,0.4,37,23.46,0.0
Jason Steele,Brighton,Aston Villa,2023-09-30,False,90,6,1.58,4,0,0,0,0,0.0,1,0.6,0,51.43,0.0,3.25,0.4,37,23.46,0.0
Jason Steele,Brighton,Liverpool,,True,0,0,0.0,0,0,0,0,0,,0,0.6,0,45.0,0.0,3.25,0.4,37,23.46,2.0
Jason Steele,Brighton,Manchester City,2023-10-21,False,90,2,0.75,3,0,2,0,0,0.0,1,1.0,0,50.0,0.0,3.2,0.4,37,23.46,3.0
Jason Steele,Brighton,Fulham,2023-10-29,True,90,1,0.71,4,0,3,0,0,0.0,1,1.0,0,54.0,0.0,3.33,0.4,37,23.46,0.0
Jason Steele,Brighton,Everton,,False,0,0,0.0,0,0,0,0,0,,0,1.0,0,49.09,0.0,3.33,0.4,37,23.46,2.0
Jason Steele,Brighton,Sheffield,2023-11-12,True,90,1,1.32,1,0,2,0,0,0.0,1,1.4,0,52.5,0.0,3.0,0.4,37,23.46,0.0
Jason Steele,Brighton,Nottingham Forest,,False,0,0,0.0,0,0,0,0,0,,0,1.4,0,48.46,0.0,3.0,0.4,37,23.46,1.0
Jason Steele,Brighton,Chelsea,2023-12-03,False,90,3,1.93,2,0,1,0,0,0.0,1,1.2,0,51.43,0.0,2.88,0.4,37,23.46,2.0
Jason Steele,Brighton,Brentford,2023-12-06,True,90,1,1.33,0,0,2,0,0,0.0,1,1.0,0,54.0,0.0,2.56,0.4,37,23.46,0.0
Jason Steele,Brighton,Burnley,,True,0,0,0.0,0,0,0,0,0,,0,1.0,0,50.62,0.0,2.56,0.4,37,23.46,0.0
Jason Steele,Brighton,Arsenal,,False,0,0,0.0,0,0,0,0,0,,0,0.6,0,47.65,0.0,2.56,0.4,37,23.46,0.0
Jason Steele,Brighton,Crystal Palace,,False,0,0,0.0,0,0,0,0,0,,0,0.6,0,45.0,0.0,2.56,0.4,37,23.46,1.0
Jason Steele,Brighton,Tottenham,2023-12-28,True,90,2,2.48,1,0,1,0,0,0.0,1,0.6,0,47.37,0.0,2.4,0.4,37,23.46,8.0
Jason Steele,Brighton,West Ham,2024-01-02,False,90,0,0.68,2,0,8,2,1,0.0,1,1.8,0,49.5,0.09,2.36,0.4,37,23.46,10.0
Jason Steele,Brighton,Wolverhampton,2024-01-22,True,90,0,1.38,3,0,10,3,1,0.0,1,3.8,0,51.43,0.17,2.42,0.4,37,23.46,1.0
Jason Steele,Brighton,Luton,2024-01-30,False,90,4,2.89,4,0,1,0,0,0.0,1,4.0,0,53.18,0.15,2.54,0.4,37,23.46,0.0
Jason Steele,Brighton,Crystal Palace,,True,0,0,0.0,0,0,0,0,0,,0,4.0,0,50.87,0.15,2.54,0.4,37,23.46,2.0
