name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,saves_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Altay Bayindir,Man Utd,Arsenal,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,True,Brighton,-1.31,-0.66
Altay Bayindir,Man Utd,Brighton,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,False,Burnley,-0.03,0.0
Altay Bayindir,Man Utd,Burnley,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,True,Crystal Palace,-0.62,0.88
Altay Bayindir,Man Utd,Crystal Palace,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,True,Brentford,-1.66,0.79
Altay Bayindir,Man Utd,Brentford,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,False,Sheffield,,-0.61
Altay Bayindir,Man Utd,Sheffield,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,True,Manchester City,-1.29,-0.96
Altay Bayindir,Man Utd,Manchester City,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,False,Fulham,-3.44,0.86
Altay Bayindir,Man Utd,Fulham,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,True,Luton,,
Altay Bayindir,Man Utd,Luton,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,False,Everton,0.29,-0.24
Altay Bayindir,Man Utd,Everton,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,False,Newcastle United,1.53,-0.41
Altay Bayindir,Man Utd,Newcastle United,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,True,Chelsea,-2.84,-0.25
Altay Bayindir,Man Utd,Chelsea,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,True,Bournemouth,-3.39,1.22
Altay Bayindir,Man Utd,Bournemouth,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,False,Liverpool,4.73,-1.01
Altay Bayindir,Man Utd,Liverpool,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,False,West Ham,1.21,-0.22
Altay Bayindir,Man Utd,West Ham,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,True,Aston Villa,-0.0,0.64
Altay Bayindir,Man Utd,Aston Villa,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,False,Nottingham Forest,-2.13,-0.55
Altay Bayindir,Man Utd,Nottingham Forest,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,True,Tottenham,-2.65,0.69
Altay Bayindir,Man Utd,Tottenham,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,False,Wolverhampton,-0.28,-0.52
Altay Bayindir,Man Utd,Wolverhampton,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,True,West Ham,-1.53,0.49
Altay Bayindir,Man Utd,West Ham,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,False,Aston Villa,0.57,0.29
Altay Bayindir,Man Utd,Aston Villa,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,False,Luton,,
Altay Bayindir,Man Utd,Luton,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,True,Fulham,,-0.13
Altay Bayindir,Man Utd,Fulham,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,False,Manchester City,-0.11,-1.32
Altay Bayindir,Man Utd,Manchester City,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,True,Everton,1.78,0.53
Altay Bayindir,Man Utd,Everton,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,False,Brentford,5.05,-0.53
Altay Bayindir,Man Utd,Brentford,2024-03-30,False,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,Man Utd,False,Chelsea,0.38,-0.85
Altay Bayindir,Man Utd,Chelsea,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,True,Liverpool,0.14,0.18
Altay Bayindir,Man Utd,Liverpool,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,False,Bournemouth,,0.19
Altay Bayindir,Man Utd,Bournemouth,2024-04-13,False,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,Man Utd,True,Sheffield,,0.68
Altay Bayindir,Man Utd,Sheffield,2024-04-24,True,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,Man Utd,True,Burnley,-3.36,0.39
Altay Bayindir,Man Utd,Burnley,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,False,Crystal Palace,-0.01,0.38
Altay Bayindir,Man Utd,Crystal Palace,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,True,Arsenal,-3.39,-0.11
Altay Bayindir,Man Utd,Arsenal,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,True,Newcastle United,-1.49,0.55
Altay Bayindir,Man Utd,Newcastle United,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Man Utd,False,Brighton,,-0.6
Altay Bayindir,Man Utd,Brighton,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,,Man Utd,True,Fulham,,-0.13
