name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Felipe Augusto de Almeida Monteiro,Nott'm Forest,Leicester City,True,0,0,0.0,0,0,0,0.0,False,1.0,Nott'm Forest,False,Fulham,,1.37
Felipe Augusto de Almeida Monteiro,Nott'm Forest,Fulham,False,83,1,2.4,0,0,2,1.62,False,2.0,Nott'm Forest,True,Manchester City,,-1.17
Felipe Augusto de Almeida Monteiro,Nott'm Forest,Manchester City,True,90,2,3.4,0,0,1,2.54,True,0.0,Nott'm Forest,False,West Ham,,0.14
Felipe Augusto de Almeida Monteiro,Nott'm Forest,West Ham,False,90,0,5.4,0,0,4,2.73,True,0.0,Nott'm Forest,True,Everton,,0.34
Felipe Augusto de Almeida Monteiro,Nott'm Forest,Everton,True,90,0,2.4,0,0,2,1.7,True,4.0,Nott'm Forest,False,Tottenham,,-0.03
Felipe Augusto de Almeida Monteiro,Nott'm Forest,Tottenham,False,90,4,5.6,0,0,3,2.05,True,1.0,Nott'm Forest,True,Newcastle United,,0.73
Felipe Augusto de Almeida Monteiro,Nott'm Forest,Newcastle United,True,90,1,4.1,0,0,2,2.42,True,2.0,Nott'm Forest,True,Wolverhampton,,-0.48
Felipe Augusto de Almeida Monteiro,Nott'm Forest,Wolverhampton,True,90,2,4.6,0,0,1,0.47,True,0.0,Nott'm Forest,False,Leicester City,,-0.05
Felipe Augusto de Almeida Monteiro,Nott'm Forest,Leicester City,False,90,0,4.1,0,0,2,1.94,True,1.0,Nott'm Forest,False,Aston Villa,,0.59
Felipe Augusto de Almeida Monteiro,Nott'm Forest,Aston Villa,False,90,1,2.3,0,0,2,1.37,True,1.0,Nott'm Forest,True,Manchester United,,0.38
Felipe Augusto de Almeida Monteiro,Nott'm Forest,Manchester United,True,90,1,3.9,0,0,2,3.49,True,1.0,Nott'm Forest,False,Liverpool,,-1.33
Felipe Augusto de Almeida Monteiro,Nott'm Forest,Liverpool,False,86,1,4.4,0,0,3,2.6,True,1.0,Nott'm Forest,True,Brighton,,-0.71
Felipe Augusto de Almeida Monteiro,Nott'm Forest,Brighton,True,90,1,2.6,0,0,1,2.37,True,0.0,Nott'm Forest,False,Brentford,,-0.55
Felipe Augusto de Almeida Monteiro,Nott'm Forest,Brentford,False,90,0,1.5,0,0,2,1.63,True,1.0,Nott'm Forest,True,Southampton,,-0.38
Felipe Augusto de Almeida Monteiro,Nott'm Forest,Southampton,True,90,1,3.0,0,0,3,3.23,True,1.0,Nott'm Forest,False,Chelsea,,-0.72
Felipe Augusto de Almeida Monteiro,Nott'm Forest,Chelsea,False,90,1,5.9,0,0,2,1.14,True,9.0,Nott'm Forest,True,Arsenal,,0.36
Felipe Augusto de Almeida Monteiro,Nott'm Forest,Arsenal,True,78,9,3.4,3,1,0,0.53,True,0.0,Nott'm Forest,False,Crystal Palace,,0.13
Felipe Augusto de Almeida Monteiro,Nott'm Forest,Crystal Palace,False,0,0,0.0,0,0,0,0.0,False,,Man City,False,Burnley,-1.6,0.0
