name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty
Vladimir Coufal,West Ham,Liverpool,2023-04-26,True,DR,90,0.0,0.0,0.0,0.0,1,0.0,0.0,0.6,0,0,2,2.0,True,3.8,0.2,54.33,0.19,0,0,0,0,-1.0,West Ham,False,Crystal Palace,
Vladimir Coufal,West Ham,Crystal Palace,2023-04-29,False,DR,90,0.0,0.0,0.0,0.01,-1,0.0,1.0,2.7,0,0,4,2.13,True,4.0,0.2,55.61,0.18,0,0,0,0,2.0,West Ham,False,Manchester City,3.95
Vladimir Coufal,West Ham,Manchester City,2023-05-03,False,DR,61,0.0,0.01,0.0,0.3,2,1.0,1.0,2.5,0,0,1,1.42,True,3.6,0.2,55.79,0.17,0,0,0,0,0.0,West Ham,True,Manchester United,2.79
Vladimir Coufal,West Ham,Manchester United,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,2.8,0.2,53.93,0.17,0,0,0,0,0.0,West Ham,False,Brentford,
Vladimir Coufal,West Ham,Brentford,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,2.6,0.2,52.19,0.17,0,0,0,0,2.0,West Ham,True,Leicester City,
Vladimir Coufal,West Ham,Leicester City,2023-05-21,True,DR,90,0.0,0.0,0.0,0.06,2,0.0,1.0,3.7,0,0,1,0.9,True,0.4,0.0,53.38,0.16,0,0,0,0,1.0,West Ham,False,Leeds United,
Vladimir Coufal,West Ham,Leeds United,2023-05-28,False,DR,90,0.0,0.0,0.0,0.09,1,0.0,3.0,0.0,0,0,2,1.44,True,0.6,0.0,54.48,0.15,0,0,0,0,6.0,West Ham,False,Aston Villa,-2.62
Vladimir Coufal,West Ham,Aston Villa,2022-08-28,False,Sub,67,0.0,0.0,0.0,0.0,6,0.0,0.0,1.0,0,1,0,0.0,False,1.0,0.0,54.85,0.19,0,0,0,0,2.0,West Ham,True,Tottenham,-2.08
Vladimir Coufal,West Ham,Tottenham,2022-08-31,True,DR,90,0.0,0.0,0.0,0.16,2,0.0,2.0,4.9,0,0,1,0.0,False,1.8,0.0,55.86,0.18,0,0,0,0,1.0,West Ham,False,Chelsea,-1.22
Vladimir Coufal,West Ham,Chelsea,2022-09-03,False,DR,90,0.0,0.0,0.0,0.0,1,0.0,0.0,1.3,0,0,2,0.0,False,2.2,0.0,56.81,0.17,0,0,0,0,2.0,West Ham,False,Everton,-0.01
Vladimir Coufal,West Ham,Everton,2022-09-18,False,DR,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.8,0,0,1,0.0,False,2.4,0.0,57.7,0.17,0,0,0,0,0.0,West Ham,True,Wolverhampton,-3.77
Vladimir Coufal,West Ham,Wolverhampton,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,2.4,0.0,56.18,0.17,0,0,0,0,,West Ham,False,Bournemouth,
