name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points
Ben Johnson,West Ham,Manchester City,2022-08-07,True,DC,90,0,0.0,0,0.0,1,0,0,1.8,0,0,2,0.0,False,0.0,0.0,90.0,0.0,0,0,0,0,2
Ben Johnson,West Ham,Southampton,2022-10-16,False,DC,90,0,0.0,0,0.0,2,0,0,2.3,0,0,1,0.0,False,1.0,0.0,90.0,0.0,0,0,0,0,2
Ben Johnson,West Ham,Liverpool,2022-10-19,False,DR,90,0,0.0,0,0.0,2,0,0,2.3,0,0,1,0.0,False,1.5,0.0,90.0,0.0,0,0,0,0,7
Ben Johnson,West Ham,Bournemouth,2022-10-24,True,DR,90,0,0.0,0,0.09,7,0,1,3.9,1,1,0,0.0,False,1.67,0.0,90.0,0.25,0,0,0,0,2
Ben Johnson,West Ham,Nottingham Forest,2022-08-14,False,DC,90,0,0.0,0,0.0,2,0,0,1.4,0,0,1,0.0,False,3.0,0.0,90.0,0.2,0,0,0,0,1
Ben Johnson,West Ham,Everton,2023-01-21,True,Sub,9,0,0.0,0,0.05,1,0,1,2.2,0,0,0,0.0,False,2.8,0.0,76.5,0.2,0,0,0,0,1
Ben Johnson,West Ham,Newcastle United,2023-02-04,False,Sub,45,0,0.0,0,0.0,1,0,0,0.6,0,0,0,0.44,False,2.8,0.0,72.0,0.2,0,0,0,0,1
Ben Johnson,West Ham,Chelsea,2023-02-11,True,Sub,10,0,0.0,0,0.0,1,0,0,0.6,0,0,0,0.04,False,2.6,0.0,64.25,0.2,0,0,0,0,1
Ben Johnson,West Ham,Tottenham,2023-02-19,False,Sub,9,0,0.0,0,0.0,1,0,0,0.1,0,0,0,0.0,False,2.4,0.0,58.11,0.2,0,0,0,0,6
Ben Johnson,West Ham,Nottingham Forest,2023-02-25,True,DL,90,0,0.02,0,0.0,6,1,0,2.3,0,1,0,0.42,True,1.2,0.0,61.3,0.33,0,0,0,0,0
Ben Johnson,West Ham,Brighton,2023-03-04,False,DR,90,0,0.0,0,0.0,0,0,0,1.8,0,0,4,3.56,True,2.0,0.0,63.91,0.29,0,0,0,0,1
Ben Johnson,West Ham,Brighton,2022-08-21,True,Sub,15,0,0.0,0,0.1,1,0,1,2.5,0,0,0,0.0,False,1.8,0.0,59.83,0.29,0,0,0,0,0
Ben Johnson,West Ham,Manchester City,2023-05-03,False,Sub,28,0,0.0,0,0.0,0,0,0,0.1,0,0,2,0.9,False,1.8,0.0,57.38,0.29,0,0,0,0,1
Ben Johnson,West Ham,Manchester United,2023-05-07,True,Sub,1,0,0.0,0,0.0,1,0,0,0.0,0,0,0,0.15,False,1.6,0.0,53.36,0.29,0,0,0,0,1
Ben Johnson,West Ham,Brentford,2023-05-14,False,DR,90,0,0.06,0,0.0,1,1,0,3.5,0,0,2,3.62,True,1.6,0.0,55.8,0.25,0,0,0,0,1
Ben Johnson,West Ham,Leicester City,2023-05-21,True,Sub,1,0,0.0,0,0.0,1,0,0,0.0,0,0,0,0.03,False,0.6,0.01,52.38,0.25,0,0,0,0,1
Ben Johnson,West Ham,Aston Villa,2022-08-28,False,DMR,22,0,0.0,0,0.0,1,0,0,0.5,0,0,0,0.0,False,0.8,0.01,50.59,0.25,0,0,0,0,1
