name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty
Diogo Dalot Teixeira,Man Utd,Brighton,True,90,1,10.1,0,0,2,0.0,False,2.0,Man Utd,False,Everton,-1.18
Diogo Dalot Teixeira,Man Utd,Everton,False,90,2,4.3,0,0,1,0.0,False,9.0,Man Utd,True,Newcastle United,-0.79
Diogo Dalot Teixeira,Man Utd,Newcastle United,True,90,9,4.9,3,1,0,0.0,False,6.0,Man Utd,True,Tottenham,-2.02
Diogo Dalot Teixeira,Man Utd,Tottenham,True,90,6,8.7,0,1,0,0.0,False,2.0,Man Utd,False,Chelsea,0.93
Diogo Dalot Teixeira,Man Utd,Chelsea,False,90,2,3.3,0,0,1,0.0,False,9.0,Man Utd,True,West Ham,-1.52
Diogo Dalot Teixeira,Man Utd,West Ham,True,90,9,9.1,3,1,0,0.0,False,0.0,Man Utd,False,Aston Villa,-0.18
Diogo Dalot Teixeira,Man Utd,Aston Villa,False,90,0,2.4,0,0,3,0.0,False,0.0,Man Utd,False,Fulham,-1.5
Diogo Dalot Teixeira,Man Utd,Fulham,False,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,True,Nottingham Forest,-0.7
Diogo Dalot Teixeira,Man Utd,Nottingham Forest,True,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,False,Wolverhampton,-0.7
Diogo Dalot Teixeira,Man Utd,Wolverhampton,False,0,0,0.0,0,0,0,0.0,False,1.0,Man Utd,True,Bournemouth,1.4
Diogo Dalot Teixeira,Man Utd,Bournemouth,True,21,1,4.4,0,0,0,0.1265,False,0.0,Man Utd,False,Brentford,1.16
Diogo Dalot Teixeira,Man Utd,Brentford,False,90,0,7.1,0,0,4,0.0,False,0.0,Man Utd,True,Manchester City,0.86
Diogo Dalot Teixeira,Man Utd,Manchester City,True,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,False,Crystal Palace,2.45
Diogo Dalot Teixeira,Man Utd,Crystal Palace,False,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,False,Arsenal,1.27
Diogo Dalot Teixeira,Man Utd,Arsenal,False,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,True,Crystal Palace,1.05
Diogo Dalot Teixeira,Man Utd,Crystal Palace,True,0,0,0.0,0,0,0,0.0,False,6.0,Man Utd,True,Leicester City,-2.87
Diogo Dalot Teixeira,Man Utd,Leicester City,True,81,6,5.9,2,0,2,0.61,True,6.0,Man Utd,False,Leicester City,-2.1
Diogo Dalot Teixeira,Man Utd,Leicester City,False,72,6,0.8,0,1,0,1.44,True,6.0,Man Utd,True,Leeds United,-2.34
Diogo Dalot Teixeira,Man Utd,Leeds United,True,90,6,4.0,0,1,0,1.42,True,-1.0,Man Utd,False,Liverpool,2.76
Diogo Dalot Teixeira,Man Utd,Liverpool,False,90,-1,8.1,0,0,7,2.65,True,0.0,Man Utd,True,Southampton,-0.88
Diogo Dalot Teixeira,Man Utd,Southampton,True,0,0,0.0,0,0,0,0.0,False,1.0,Man Utd,False,Newcastle United,1.36
Diogo Dalot Teixeira,Man Utd,Newcastle United,False,90,1,2.9,0,0,2,3.57,True,6.0,Man Utd,True,Brentford,-1.08
Diogo Dalot Teixeira,Man Utd,Brentford,True,90,6,3.4,0,1,0,0.63,True,1.0,Man Utd,True,Liverpool,0.35
Diogo Dalot Teixeira,Man Utd,Liverpool,True,85,1,5.1,0,0,1,0.0,False,0.0,Man Utd,True,Everton,-1.71
Diogo Dalot Teixeira,Man Utd,Everton,True,0,0,0.0,0,0,0,0.0,False,14.0,Man Utd,False,Nottingham Forest,-0.09
Diogo Dalot Teixeira,Man Utd,Nottingham Forest,False,90,14,9.3,2,1,0,0.68,True,1.0,Man Utd,False,Tottenham,0.11
Diogo Dalot Teixeira,Man Utd,Tottenham,False,90,1,0.0,0,0,2,2.24,True,9.0,Man Utd,True,Aston Villa,-0.23
Diogo Dalot Teixeira,Man Utd,Aston Villa,True,90,9,2.3,3,1,0,0.56,True,1.0,Man Utd,False,Brighton,0.65
Diogo Dalot Teixeira,Man Utd,Brighton,False,90,1,0.8,0,0,1,2.29,True,1.0,Man Utd,False,West Ham,2.3
Diogo Dalot Teixeira,Man Utd,West Ham,False,3,1,0.1,0,0,0,0.02,False,0.0,Man Utd,True,Wolverhampton,-0.93
Diogo Dalot Teixeira,Man Utd,Wolverhampton,True,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,False,Bournemouth,-0.31
Diogo Dalot Teixeira,Man Utd,Bournemouth,False,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,True,Chelsea,-2.79
Diogo Dalot Teixeira,Man Utd,Chelsea,True,0,0,0.0,0,0,0,0.0,False,2.0,Man Utd,True,Fulham,0.26
Diogo Dalot Teixeira,Man Utd,Fulham,True,90,2,0.0,0,0,1,1.8,True,11.0,Man Utd,False,Southampton,-0.99
Diogo Dalot Teixeira,Man Utd,Southampton,False,90,11,8.1,3,1,0,0.0,False,8.0,Man Utd,False,Leeds United,0.57
Diogo Dalot Teixeira,Man Utd,Leeds United,False,90,8,3.1,3,1,0,0.0,False,2.0,Man Utd,True,Arsenal,-2.12
Diogo Dalot Teixeira,Man Utd,Arsenal,True,90,2,3.4,0,0,1,0.0,False,-2.0,Man Utd,False,Manchester City,1.48
Diogo Dalot Teixeira,Man Utd,Manchester City,False,90,-2,2.6,0,0,6,0.0,False,,Man City,False,Burnley,-3.25
