name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty
Ethan Ampadu,Chelsea,Everton,False,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,True,Wolverhampton,2.42
Ethan Ampadu,Chelsea,Wolverhampton,True,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,False,Aston Villa,-1.51
Ethan Ampadu,Chelsea,Aston Villa,False,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,False,Brentford,-0.66
Ethan Ampadu,Chelsea,Brentford,False,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,True,Manchester United,-0.06
Ethan Ampadu,Chelsea,Manchester United,True,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,False,Brighton,0.05
Ethan Ampadu,Chelsea,Brighton,False,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,True,Arsenal,5.81
Ethan Ampadu,Chelsea,Arsenal,True,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,False,Newcastle United,-1.55
Ethan Ampadu,Chelsea,Newcastle United,False,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,True,Bournemouth,
Ethan Ampadu,Chelsea,Bournemouth,True,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,False,Nottingham Forest,
Ethan Ampadu,Chelsea,Nottingham Forest,False,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,True,Manchester City,1.05
Ethan Ampadu,Chelsea,Manchester City,True,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,False,Fulham,
Ethan Ampadu,Chelsea,Fulham,False,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,True,Tottenham,-1.77
Ethan Ampadu,Chelsea,Tottenham,True,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,True,Crystal Palace,0.31
Ethan Ampadu,Chelsea,Crystal Palace,True,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,False,Liverpool,0.32
Ethan Ampadu,Chelsea,Liverpool,False,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,True,Fulham,
Ethan Ampadu,Chelsea,Fulham,True,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,False,West Ham,4.47
Ethan Ampadu,Chelsea,West Ham,False,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,True,Southampton,-1.13
Ethan Ampadu,Chelsea,Southampton,True,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,False,Tottenham,-1.69
Ethan Ampadu,Chelsea,Tottenham,False,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,True,Leicester City,1.12
Ethan Ampadu,Chelsea,Leicester City,True,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,False,Leeds United,-3.0
Ethan Ampadu,Chelsea,Leeds United,False,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,True,Everton,1.01
Ethan Ampadu,Chelsea,Everton,True,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,True,Aston Villa,-2.49
Ethan Ampadu,Chelsea,Aston Villa,True,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,True,Liverpool,
Ethan Ampadu,Chelsea,Liverpool,True,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,False,Leicester City,5.06
Ethan Ampadu,Chelsea,Leicester City,False,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,False,Wolverhampton,0.77
Ethan Ampadu,Chelsea,Wolverhampton,False,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,True,Brighton,
Ethan Ampadu,Chelsea,Brighton,True,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,True,Brentford,
Ethan Ampadu,Chelsea,Brentford,True,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,False,Arsenal,-1.77
Ethan Ampadu,Chelsea,Arsenal,False,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,False,Bournemouth,
Ethan Ampadu,Chelsea,Bournemouth,False,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,True,Nottingham Forest,
Ethan Ampadu,Chelsea,Nottingham Forest,True,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,False,Manchester City,
Ethan Ampadu,Chelsea,Manchester City,False,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,False,Manchester United,
Ethan Ampadu,Chelsea,Manchester United,False,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,True,Newcastle United,
Ethan Ampadu,Chelsea,Newcastle United,True,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,True,Leeds United,-3.8
Ethan Ampadu,Chelsea,Leeds United,True,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,False,Southampton,0.63
Ethan Ampadu,Chelsea,Southampton,False,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,True,West Ham,-1.25
Ethan Ampadu,Chelsea,West Ham,True,0,0,0.0,0,0,0,0.0,False,0.0,Chelsea,False,Crystal Palace,-1.84
Ethan Ampadu,Chelsea,Crystal Palace,False,0,0,0.0,0,0,0,0.0,False,,Chelsea,True,Liverpool,
