name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty
Pedro Porro,Spurs,Manchester City,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,0.0,0.0,0,0,0,0,1,Spurs,False,Leeds United,1.25
Pedro Porro,Spurs,Leeds United,2023-02-11,False,DMR,75,0.0,0.0,0.0,0.0,1,0.0,0.0,1.3,0,0,3,1.41,True,0.0,0.0,37.5,0.0,0,0,0,0,0,Spurs,True,West Ham,0.26
Pedro Porro,Spurs,West Ham,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.5,0.0,25.0,0.0,0,0,0,0,1,Spurs,True,Chelsea,2.8
Pedro Porro,Spurs,Chelsea,2023-02-26,True,Sub,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.2,0,0,0,0.08,False,0.33,0.0,19.0,0.0,0,0,0,0,6,Spurs,False,Wolverhampton,0.79
Pedro Porro,Spurs,Wolverhampton,2023-03-04,False,DMR,81,0.0,0.17,0.0,0.06,6,4.0,2.0,4.9,0,1,0,0.25,True,0.5,0.0,31.4,0.5,0,0,0,0,5,Spurs,True,Nottingham Forest,-0.6
Pedro Porro,Spurs,Nottingham Forest,2023-03-11,True,DMR,90,0.0,0.0,1.0,0.2,5,0.0,3.0,6.9,0,0,1,1.57,True,1.6,0.03,41.17,0.33,0,0,0,0,7,Spurs,False,Southampton,-0.37
Pedro Porro,Spurs,Southampton,2023-03-18,False,DMR,85,1.0,0.49,0.0,0.22,7,3.0,3.0,12.6,0,0,2,1.55,True,2.6,0.23,47.43,0.25,0,0,0,0,2,Spurs,False,Everton,0.55
Pedro Porro,Spurs,Everton,2023-04-03,False,DMR,90,0.0,0.06,0.0,0.07,2,2.0,1.0,4.0,0,0,1,0.88,True,3.8,0.33,52.75,0.2,0,0,0,0,2,Spurs,True,Brighton,-0.2
Pedro Porro,Spurs,Brighton,2023-04-08,True,DMR,90,0.0,0.12,0.0,0.0,2,2.0,0.0,2.4,0,0,1,1.43,True,4.2,0.34,56.89,0.17,0,0,0,0,1,Spurs,True,Bournemouth,-1.78
Pedro Porro,Spurs,Bournemouth,2023-04-15,True,DMR,90,0.0,0.02,0.0,0.38,1,1.0,3.0,7.6,0,0,3,0.94,True,4.4,0.37,60.2,0.14,0,0,0,0,-1,Spurs,False,Newcastle United,4.3
Pedro Porro,Spurs,Newcastle United,2023-04-23,False,DR,90,0.0,0.06,0.0,0.12,-1,2.0,2.0,4.5,0,0,6,3.64,True,3.4,0.34,62.91,0.12,0,0,0,0,7,Spurs,True,Manchester United,-0.02
Pedro Porro,Spurs,Manchester United,2023-04-27,True,DMR,76,1.0,0.12,0.0,0.01,7,3.0,1.0,0.0,0,0,2,1.94,True,2.2,0.15,64.0,0.11,0,0,0,0,1,Spurs,False,Liverpool,0.68
Pedro Porro,Spurs,Liverpool,2023-04-30,False,DMR,89,0.0,0.01,0.0,0.08,1,2.0,1.0,6.1,0,0,3,2.0,True,2.2,0.07,65.92,0.1,0,0,0,0,12,Spurs,True,Crystal Palace,-2.03
Pedro Porro,Spurs,Crystal Palace,2023-05-06,True,MR,90,0.0,0.08,1.0,0.65,12,2.0,4.0,11.4,3,1,0,0.37,True,2.0,0.07,67.64,0.18,0,0,0,0,1,Spurs,False,Aston Villa,-2.16
Pedro Porro,Spurs,Aston Villa,2023-05-13,False,DMR,80,0.0,0.0,0.0,0.07,1,0.0,1.0,3.4,0,0,2,1.18,True,4.0,0.26,68.47,0.17,0,0,0,0,1,Spurs,True,Brentford,-1.31
Pedro Porro,Spurs,Brentford,2023-05-20,True,Sub,15,0.0,0.07,0.0,0.1,1,2.0,2.0,5.2,0,0,1,0.68,False,4.0,0.25,65.12,0.17,0,0,0,0,13,Spurs,False,Leicester City,-4.57
Pedro Porro,Spurs,Leicester City,2023-05-28,False,MR,90,1.0,0.21,1.0,0.55,13,2.0,2.0,0.0,2,0,1,1.5,True,4.4,0.26,66.59,0.15,0,0,0,0,0,Spurs,False,Brentford,1.03
