name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty
Ryan Bertrand,Leicester,Brentford,True,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,False,Bournemouth,
Ryan Bertrand,Leicester,Bournemouth,False,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,True,Crystal Palace,-0.43
Ryan Bertrand,Leicester,Crystal Palace,True,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,True,Leicester City,2.25
Ryan Bertrand,Leicester,Leicester City,True,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,False,Wolverhampton,3.01
Ryan Bertrand,Leicester,Wolverhampton,False,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,True,Manchester City,2.25
Ryan Bertrand,Leicester,Manchester City,True,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,False,Everton,1.31
Ryan Bertrand,Leicester,Everton,False,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,False,West Ham,-0.48
Ryan Bertrand,Leicester,West Ham,False,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,True,Newcastle United,2.07
Ryan Bertrand,Leicester,Newcastle United,True,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,False,Liverpool,-0.04
Ryan Bertrand,Leicester,Liverpool,False,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,True,Fulham,
Ryan Bertrand,Leicester,Fulham,True,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,False,Arsenal,-1.31
Ryan Bertrand,Leicester,Arsenal,False,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,False,Nottingham Forest,
Ryan Bertrand,Leicester,Nottingham Forest,False,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,True,Brighton,-0.74
Ryan Bertrand,Leicester,Brighton,True,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,False,Aston Villa,-0.96
Ryan Bertrand,Leicester,Aston Villa,False,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,True,Tottenham,3.95
Ryan Bertrand,Leicester,Tottenham,True,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,False,Manchester United,0.11
Ryan Bertrand,Leicester,Manchester United,False,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,True,Arsenal,-1.32
Ryan Bertrand,Leicester,Arsenal,True,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,False,Southampton,-3.27
Ryan Bertrand,Leicester,Southampton,False,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,True,Chelsea,-2.98
Ryan Bertrand,Leicester,Chelsea,True,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,False,Brentford,-4.9
Ryan Bertrand,Leicester,Brentford,False,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,False,Crystal Palace,2.07
Ryan Bertrand,Leicester,Crystal Palace,False,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,True,Aston Villa,-0.34
Ryan Bertrand,Leicester,Aston Villa,True,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,True,Southampton,1.76
Ryan Bertrand,Leicester,Southampton,True,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,True,Bournemouth,
Ryan Bertrand,Leicester,Bournemouth,True,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,False,Manchester City,1.46
Ryan Bertrand,Leicester,Manchester City,False,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,True,Wolverhampton,-1.75
Ryan Bertrand,Leicester,Wolverhampton,True,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,False,Leicester City,1.46
Ryan Bertrand,Leicester,Leicester City,False,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,True,Everton,4.46
Ryan Bertrand,Leicester,Everton,True,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,False,Fulham,
Ryan Bertrand,Leicester,Fulham,False,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,True,Liverpool,-0.21
Ryan Bertrand,Leicester,Liverpool,True,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,False,Newcastle United,1.84
Ryan Bertrand,Leicester,Newcastle United,False,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,True,West Ham,-0.48
Ryan Bertrand,Leicester,West Ham,True,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,False,Chelsea,-5.34
Ryan Bertrand,Leicester,Chelsea,False,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,True,Manchester United,-2.56
Ryan Bertrand,Leicester,Manchester United,True,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,False,Brighton,-2.14
Ryan Bertrand,Leicester,Brighton,False,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,False,Tottenham,3.38
Ryan Bertrand,Leicester,Tottenham,False,0,0,0.0,0,0,0,0.0,False,0.0,Leicester,True,Nottingham Forest,
Ryan Bertrand,Leicester,Nottingham Forest,True,0,0,0.0,0,0,0,0.0,False,,Brentford,True,Tottenham,-0.38
