name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts
Nathan Aké,Man City,West Ham,2022-08-07,False,DC,90,0,0.0135402996093034,0,0.0,7,1,0,3.1,1,1,0,0.0,False
Nathan Aké,Man City,Southampton,2022-10-08,True,DC,90,0,0.0,0,0.0,6,0,0,1.6,0,1,0,0.0,False
Nathan Aké,Man City,Liverpool,2022-10-16,False,DL,90,0,0.0,0,0.0,2,0,0,2.4,0,0,1,0.0,False
Nathan Aké,Man City,Fulham,2022-11-05,True,DC,90,0,0.0,0,0.0820600017905235,2,0,1,3.2,0,0,1,0.0,False
Nathan Aké,Man City,Leicester City,2022-12-28,False,DL,90,0,0.0,0,0.0346244014799594,2,0,1,3.8,0,0,1,0.5856,True
Nathan Aké,Man City,Everton,2022-12-31,True,DC,90,0,0.0,0,0.0249944999814033,2,0,1,3.9,0,0,1,0.0857,True
Nathan Aké,Man City,Chelsea,2023-01-05,False,DC,90,0,0.0868643969297409,0,0.0,8,1,0,1.7,2,1,0,0.4098,True
Nathan Aké,Man City,Bournemouth,2022-08-13,True,DC,90,0,0.0835421979427337,0,0.0,6,2,0,5.8,0,1,0,0.0,False
Nathan Aké,Man City,Manchester United,2023-01-14,False,DC,90,0,0.0,0,0.0,1,0,0,2.0,0,0,2,1.7499,True
Nathan Aké,Man City,Tottenham,2023-01-19,True,DL,90,0,0.0,0,0.1202609986066818,1,0,1,4.5,0,0,2,0.8393,True
Nathan Aké,Man City,Wolverhampton,2023-01-22,True,Sub,45,0,0.0,0,0.0,1,0,0,2.0,0,0,0,0.829,False
Nathan Aké,Man City,Tottenham,2023-02-05,False,DC,90,0,0.0,0,0.0,2,0,0,2.8,0,0,1,1.48,True
Nathan Aké,Man City,Aston Villa,2023-02-12,True,Sub,5,0,0.0,0,0.0,1,0,0,0.2,0,0,0,0.05,False
Nathan Aké,Man City,Arsenal,2023-02-15,False,DC,90,0,0.5513219833374023,0,0.0,2,1,0,1.9,0,0,1,1.62,True
Nathan Aké,Man City,Nottingham Forest,2023-02-18,False,Sub,1,0,0.0,0,0.0598573014140129,1,0,1,2.3,0,0,0,0.0,False
Nathan Aké,Man City,Bournemouth,2023-02-25,False,DC,79,0,0.1020950004458427,0,0.0,6,2,0,2.6,0,1,0,1.16,True
Nathan Aké,Man City,Newcastle United,2023-03-04,True,DL,90,0,0.0,0,0.0,5,0,0,2.6,0,1,0,0.43,True
Nathan Aké,Man City,Crystal Palace,2023-03-11,False,DL,90,0,0.0,0,0.6118410229682922,6,0,2,4.8,1,1,0,0.17,True
Nathan Aké,Man City,Liverpool,2023-04-01,True,DC,90,0,0.0,0,0.0,2,0,0,3.2,0,0,1,0.33,True
Nathan Aké,Man City,Newcastle United,2022-08-21,False,DC,20,0,0.0,0,0.0,1,0,0,0.1,0,0,0,0.0,False
Nathan Aké,Man City,Southampton,2023-04-08,False,DC,80,0,0.0,0,0.0,2,0,0,1.2,0,0,1,0.35,True
Nathan Aké,Man City,West Ham,2023-05-03,True,DC,76,1,0.5068188309669495,0,0.0,15,2,0,8.9,3,1,0,0.21,True
Nathan Aké,Man City,Leicester City,2023-05-06,True,DC,53,0,0.0,0,0.0,1,0,0,1.7,0,0,0,0.08,True
Nathan Aké,Man City,Brentford,2023-05-28,False,DC,62,0,0.0,0,0.1175507977604866,8,0,1,0.0,2,1,0,0.36,True
Nathan Aké,Man City,Aston Villa,2022-09-03,False,Sub,10,0,0.0,0,0.0,1,0,0,0.4,0,0,0,0.0,False
Nathan Aké,Man City,Manchester United,2022-10-02,True,DC,90,0,0.0,0,0.0393683016300201,1,0,1,3.0,0,0,3,0.0,False
