h_a,xG,xGA,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,time
h,1.18709,0.321701,0.321701,"{'att': 277, 'def': 42}","{'att': 355, 'def': 5}",14.0,3.0,3.0,0.0,2.2037,w,2021-08-14 14:00:00,1.0,0.0,0.0,3.0,0.865389,
a,3.64132,0.630099,0.630099,"{'att': 156, 'def': 15}","{'att': 376, 'def': 23}",19.0,3.0,2.0,0.0,2.8946,w,2021-08-22 15:30:00,1.0,0.0,0.0,3.0,3.011221,
a,0.573638,2.08462,1.32345,"{'att': 309, 'def': 11}","{'att': 211, 'def': 29}",4.0,6.0,1.0,1.0,0.3479,d,2021-08-28 16:30:00,0.0,1.0,0.0,1.0,-0.749812,
h,1.22153,1.17349,1.17349,"{'att': 188, 'def': 19}","{'att': 306, 'def': 31}",3.0,6.0,3.0,0.0,1.3641,w,2021-09-11 16:30:00,1.0,0.0,0.0,3.0,0.04804,
a,2.5869,0.70567,0.70567,"{'att': 298, 'def': 32}","{'att': 298, 'def': 20}",15.0,0.0,3.0,0.0,2.5953,w,2021-09-19 15:30:00,1.0,0.0,0.0,3.0,1.88123,
h,0.194202,1.69244,1.69244,"{'att': 343, 'def': 16}","{'att': 274, 'def': 30}",4.0,9.0,0.0,1.0,0.2603,l,2021-09-25 11:30:00,0.0,0.0,1.0,0.0,-1.498238,
h,3.79243,1.52634,0.765173,"{'att': 175, 'def': 24}","{'att': 341, 'def': 36}",12.0,4.0,3.0,1.0,2.7201000000000004,w,2021-10-02 14:00:00,1.0,0.0,0.0,3.0,3.027257,
a,0.248256,1.62169,1.62169,"{'att': 208, 'def': 15}","{'att': 271, 'def': 19}",8.0,16.0,1.0,0.0,0.3083,w,2021-10-16 16:30:00,1.0,0.0,0.0,3.0,-1.373434,
h,3.10509,0.267429,0.267429,"{'att': 248, 'def': 36}","{'att': 327, 'def': 18}",10.0,0.0,7.0,0.0,2.9177,w,2021-10-23 11:30:00,1.0,0.0,0.0,3.0,2.076501,
a,2.16608,0.157616,0.157616,"{'att': 74, 'def': 19}","{'att': 316, 'def': 15}",14.0,0.0,3.0,0.0,2.8571,w,2021-10-30 14:00:00,1.0,0.0,0.0,3.0,1.247294,
h,3.00585,0.674072,0.674072,"{'att': 136, 'def': 10}","{'att': 334, 'def': 21}",16.0,5.0,1.0,1.0,2.7323000000000004,d,2021-11-06 15:00:00,0.0,1.0,0.0,1.0,2.331778,
a,2.57178,0.499504,0.499504,"{'att': 204, 'def': 23}","{'att': 360, 'def': 36}",8.0,1.0,3.0,0.0,2.733,w,2021-11-20 12:30:00,1.0,0.0,0.0,3.0,2.072276,
h,2.34525,0.563367,0.563367,"{'att': 172, 'def': 32}","{'att': 334, 'def': 20}",5.0,2.0,1.0,1.0,2.6473,d,2021-11-28 16:30:00,0.0,1.0,0.0,1.0,1.020713,
a,0.908574,0.990877,0.990877,"{'att': 126, 'def': 16}","{'att': 202, 'def': 29}",7.0,7.0,2.0,1.0,1.2695999999999998,w,2021-12-01 19:30:00,1.0,0.0,0.0,3.0,-0.082303,
a,1.37049,2.0174,1.25623,"{'att': 189, 'def': 20}","{'att': 252, 'def': 20}",13.0,4.0,2.0,3.0,0.8833,l,2021-12-04 12:30:00,0.0,0.0,1.0,0.0,0.11426,
h,2.74844,1.72934,0.968172,"{'att': 161, 'def': 23}","{'att': 211, 'def': 18}",8.0,1.0,3.0,2.0,2.1049,w,2021-12-11 15:00:00,1.0,0.0,0.0,3.0,0.2579279999999999,
