h_a,xG,xGA,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,time
h,1.67926,3.00939,2.09241,"{'att': 245, 'def': 10}","{'att': 244, 'def': 21}",5.0,10.0,2.0,4.0,0.5491,l,2021-08-15 13:00:00,0.0,0.0,1.0,0.0,-0.4131500000000001,
a,0.63163,1.18426,0.423091,"{'att': 150, 'def': 17}","{'att': 202, 'def': 14}",4.0,5.0,0.0,2.0,0.7396,l,2021-08-21 14:00:00,0.0,0.0,1.0,0.0,0.208539,
h,1.19077,3.46036,2.69919,"{'att': 234, 'def': 24}","{'att': 131, 'def': 17}",6.0,10.0,2.0,2.0,0.1282,d,2021-08-28 14:00:00,0.0,1.0,0.0,1.0,-1.50842,
a,0.622042,2.77326,2.77326,"{'att': 255, 'def': 7}","{'att': 206, 'def': 24}",1.0,11.0,1.0,4.0,0.1559,l,2021-09-11 14:00:00,0.0,0.0,1.0,0.0,-2.151218,
h,1.17668,1.42995,1.42995,"{'att': 338, 'def': 20}","{'att': 144, 'def': 26}",10.0,13.0,1.0,1.0,1.1684,d,2021-09-17 19:00:00,0.0,1.0,0.0,1.0,-0.2532700000000001,
a,2.52338,0.904061,0.904061,"{'att': 184, 'def': 23}","{'att': 156, 'def': 29}",4.0,3.0,1.0,1.0,2.4503,d,2021-09-25 14:00:00,0.0,1.0,0.0,1.0,1.619319,
a,0.865217,1.15849,1.15849,"{'att': 276, 'def': 21}","{'att': 224, 'def': 21}",1.0,3.0,1.0,2.0,1.0174,l,2021-10-02 14:00:00,0.0,0.0,1.0,0.0,-0.293273,
h,0.645658,1.55008,1.55008,"{'att': 370, 'def': 32}","{'att': 183, 'def': 20}",3.0,10.0,2.0,3.0,0.5596,l,2021-10-17 15:30:00,0.0,0.0,1.0,0.0,-0.904422,
a,0.721813,2.25588,2.25588,"{'att': 385, 'def': 15}","{'att': 87, 'def': 17}",4.0,9.0,1.0,1.0,0.3356,d,2021-10-23 14:00:00,0.0,1.0,0.0,1.0,-1.5340669999999998,
h,0.157616,2.16608,1.40491,"{'att': 316, 'def': 15}","{'att': 74, 'def': 19}",0.0,14.0,0.0,3.0,0.0815,l,2021-10-30 14:00:00,0.0,0.0,1.0,0.0,-1.247294,
a,0.227321,1.43123,0.670063,"{'att': 406, 'def': 20}","{'att': 204, 'def': 29}",1.0,6.0,1.0,1.0,0.2857,d,2021-11-06 17:30:00,0.0,1.0,0.0,1.0,-0.4427419999999999,
h,2.18388,1.23275,1.23275,"{'att': 154, 'def': 20}","{'att': 153, 'def': 20}",8.0,6.0,3.0,3.0,2.0485,d,2021-11-20 15:00:00,0.0,1.0,0.0,1.0,0.9511299999999998,
a,0.185383,2.84493,2.84493,"{'att': 318, 'def': 19}","{'att': 190, 'def': 27}",4.0,13.0,0.0,2.0,0.0531,l,2021-11-27 12:30:00,0.0,0.0,1.0,0.0,-2.6595470000000003,
h,1.15636,1.51084,1.51084,"{'att': 293, 'def': 8}","{'att': 128, 'def': 26}",2.0,8.0,1.0,1.0,1.0794,d,2021-11-30 19:30:00,0.0,1.0,0.0,1.0,-1.115653,
h,1.70609,0.604599,0.604599,"{'att': 195, 'def': 12}","{'att': 140, 'def': 21}",4.0,6.0,1.0,0.0,2.2519,w,2021-12-04 15:00:00,1.0,0.0,0.0,3.0,1.1014910000000002,
a,0.511934,2.05771,1.29654,"{'att': 229, 'def': 31}","{'att': 219, 'def': 18}",7.0,8.0,0.0,4.0,0.2635,l,2021-12-12 14:00:00,0.0,0.0,1.0,0.0,-0.784606,
a,0.2064,2.93912,2.93912,"{'att': 353, 'def': 10}","{'att': 128, 'def': 25}",2.0,14.0,1.0,3.0,0.033,l,2021-12-16 20:00:00,0.0,0.0,1.0,0.0,-2.73272,
h,0.174208,3.64686,3.64686,"{'att': 442, 'def': 19}","{'att': 163, 'def': 17}",5.0,11.0,0.0,4.0,0.012,l,2021-12-19 14:15:00,0.0,0.0,1.0,0.0,-3.472652,
h,1.26586,1.75587,1.75587,"{'att': 312, 'def': 22}","{'att': 95, 'def': 17}",5.0,4.0,1.0,1.0,0.9808,d,2021-12-27 20:00:00,0.0,1.0,0.0,1.0,-0.49001,
h,1.03855,1.49623,1.49623,"{'att': 235, 'def': 32}","{'att': 215, 'def': 21}",4.0,7.0,1.0,1.0,1.0046,d,2022-01-15 15:00:00,0.0,1.0,0.0,1.0,-0.4576799999999998,
a,1.15904,1.12992,1.12992,"{'att': 251, 'def': 19}","{'att': 116, 'def': 19}",9.0,11.0,1.0,0.0,1.3516,w,2022-01-22 15:00:00,1.0,0.0,0.0,3.0,0.02912,
h,2.68732,0.823607,0.823607,"{'att': 271, 'def': 39}","{'att': 133, 'def': 25}",3.0,1.0,3.0,1.0,2.6226,w,2022-02-08 19:45:00,1.0,0.0,0.0,3.0,1.863713,
h,0.527571,0.455206,0.455206,"{'att': 223, 'def': 33}","{'att': 103, 'def': 26}",2.0,5.0,1.0,0.0,1.3447,w,2022-02-13 14:00:00,1.0,0.0,0.0,3.0,0.072365,
a,0.932574,0.847948,0.847948,"{'att': 193, 'def': 16}","{'att': 234, 'def': 10}",9.0,7.0,1.0,1.0,1.4255,d,2022-02-19 12:30:00,0.0,1.0,0.0,1.0,0.0846259999999999,
a,2.25373,0.494232,0.494232,"{'att': 107, 'def': 19}","{'att': 244, 'def': 21}",8.0,5.0,2.0,0.0,2.5512,w,2022-02-26 15:00:00,1.0,0.0,0.0,3.0,1.759498,
