h_a,xG,xGA,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,time
a,3.00939,1.67926,1.67926,"{'att': 244, 'def': 21}","{'att': 245, 'def': 10}",10.0,5.0,4.0,2.0,2.2684,w,2021-08-15 13:00:00,1.0,0.0,0.0,3.0,0.4131500000000001,
h,2.28613,0.62676,0.62676,"{'att': 327, 'def': 14}","{'att': 284, 'def': 22}",5.0,5.0,4.0,1.0,2.4983,w,2021-08-23 19:00:00,1.0,0.0,0.0,3.0,1.65937,
h,1.44748,1.67658,1.67658,"{'att': 302, 'def': 27}","{'att': 169, 'def': 19}",11.0,6.0,2.0,2.0,1.1347,d,2021-08-28 14:00:00,0.0,1.0,0.0,1.0,-0.2290999999999998,
a,0.725407,0.692135,0.692135,"{'att': 231, 'def': 30}","{'att': 287, 'def': 12}",1.0,4.0,0.0,0.0,1.3385999999999998,d,2021-09-11 14:00:00,0.0,1.0,0.0,1.0,0.033272,
h,1.6671,1.8954,1.8954,"{'att': 336, 'def': 20}","{'att': 226, 'def': 18}",7.0,7.0,1.0,2.0,1.1842,l,2021-09-19 13:00:00,0.0,0.0,1.0,0.0,-0.989465,
a,1.98962,1.1967,1.1967,"{'att': 244, 'def': 12}","{'att': 191, 'def': 14}",5.0,8.0,2.0,1.0,1.9499,w,2021-09-25 14:00:00,1.0,0.0,0.0,3.0,0.7929199999999998,
h,1.37258,1.30098,1.30098,"{'att': 132, 'def': 22}","{'att': 188, 'def': 14}",8.0,1.0,1.0,2.0,1.3847999999999998,l,2021-10-03 13:00:00,0.0,0.0,1.0,0.0,0.0715999999999998,
a,2.03034,0.854165,0.854165,"{'att': 147, 'def': 13}","{'att': 313, 'def': 17}",9.0,8.0,1.0,0.0,2.28,w,2021-10-17 13:00:00,1.0,0.0,0.0,3.0,1.1761749999999995,
h,1.73468,0.672198,0.672198,"{'att': 367, 'def': 17}","{'att': 226, 'def': 20}",6.0,2.0,1.0,0.0,2.2542,w,2021-10-24 13:00:00,1.0,0.0,0.0,3.0,1.062482,
a,2.66391,0.687551,0.687551,"{'att': 158, 'def': 23}","{'att': 273, 'def': 12}",4.0,3.0,4.0,1.0,2.7567000000000004,w,2021-10-31 16:30:00,1.0,0.0,0.0,3.0,1.976359,
h,1.25298,1.45641,1.45641,"{'att': 309, 'def': 15}","{'att': 146, 'def': 22}",3.0,16.0,3.0,2.0,1.2139,w,2021-11-07 16:30:00,1.0,0.0,0.0,3.0,-0.20343,
a,0.436331,1.31903,1.31903,"{'att': 328, 'def': 28}","{'att': 282, 'def': 13}",7.0,5.0,0.0,1.0,0.6138,l,2021-11-20 15:00:00,0.0,0.0,1.0,0.0,-0.8826989999999999,
