player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title
Son Heung-Min,35,3051,23,16.992173850536346,7,7.84695353731513,86,73,2,0,F M,Tottenham
Mohamed Salah,35,2757,23,24.36429724097252,13,9.79082047007978,139,62,1,0,F S,Liverpool
Cristiano Ronaldo,30,2468,18,17.212839871644974,3,4.424966126680374,110,26,8,0,F S,Manchester United
Harry Kane,37,3229,17,20.685065291821957,9,9.8182877227664,133,48,5,0,F M S,Tottenham
Sadio Mané,34,2833,16,16.82961391285062,2,5.269158786162734,98,39,5,0,F S,Liverpool
Kevin De Bruyne,30,2214,15,5.949964629486203,8,11.260173857212068,78,87,2,0,M S,Manchester City
Jamie Vardy,25,1807,15,9.99194959551096,2,1.605514582246542,54,18,2,0,F S,Leicester
Diogo Jota,35,2401,15,17.347986850887537,4,5.8745966255664825,90,40,3,0,F S,Liverpool
Wilfried Zaha,33,2762,14,10.18411792628467,1,4.893215872347355,69,46,4,1,F M S,Crystal Palace
Raheem Sterling,30,2119,13,15.778135957196357,5,5.024925258010626,58,42,1,0,F M S,Manchester City
Ivan Toney,33,2905,12,12.048584450036287,5,7.34353103581816,88,43,8,0,F S,Brentford
Jarrod Bowen,36,3003,12,12.929430685937405,10,5.819739578291774,80,41,6,0,F M S,West Ham
James Maddison,35,2480,12,6.4967113714665174,8,5.674207331612706,72,48,3,0,F M S,Leicester
Riyad Mahrez,28,1468,11,10.123585989698768,5,3.932822068221867,61,40,0,0,F M S,Manchester City
Bukayo Saka,38,3034,11,9.905908005312083,7,7.631380889564753,97,68,6,0,F M S,Arsenal
Teemu Pukki,37,3278,11,11.449521949514748,3,4.062801269814372,71,27,4,0,F,Norwich
Mason Mount,32,2367,11,8.522425089031458,10,7.2129183523356915,76,58,4,0,F M S,Chelsea
Raphinha,35,2940,11,10.23054277151823,3,6.9391437061131,87,64,7,0,F M S,Leeds
Ollie Watkins,35,2970,11,11.498151116073132,2,2.9976099524646997,77,35,7,0,F S,Aston Villa
Michail Antonio,36,2994,10,12.788623180240393,8,5.767141381278634,83,46,6,1,F S,West Ham
James Ward-Prowse,36,3222,10,5.089495884254575,5,6.395681727677584,55,71,3,1,M,Southampton
Bruno Fernandes,36,3135,10,9.28530883602798,6,8.811853212304413,89,88,10,0,F M S,Manchester United
Richarlison,30,2532,10,10.013772347010672,5,4.383790701627731,74,29,8,0,F M S,Everton
Emile Smith-Rowe,33,1928,10,5.363847864791751,2,3.0330061223357916,40,30,1,0,F M S,Arsenal
Emmanuel Dennis,33,2612,10,7.006807362660766,6,3.959160739555955,60,33,7,1,F M S,Watford
Maxwel Cornet,26,1790,9,6.714043315500021,1,1.7581331059336662,47,15,2,0,F M S,Burnley
Phil Foden,28,2141,9,9.263243041932585,5,6.833740673959255,57,40,1,0,F M S,Manchester City
Ilkay Gündogan,27,1852,8,9.720696449279783,4,4.720961081795394,55,37,1,0,M S,Manchester City
Callum Wilson,18,1401,8,7.041793790645897,0,0.5302162356674671,35,10,4,0,F S,Newcastle United
Romelu Lukaku,26,1571,8,7.02043329924345,0,3.3627563416957855,43,24,1,0,F S,Chelsea
Said Benrahma,32,2208,8,6.155029330402613,6,4.772109419107437,63,32,0,0,F M S,West Ham
Neal Maupay,32,2271,8,8.242075350135565,2,2.442604303359986,61,23,7,0,F S,Brighton
Bernardo Silva,35,2865,8,7.771977243945003,4,6.567136323079467,48,59,6,0,F M S,Manchester City
Kai Havertz,29,1829,8,10.670877020806074,3,2.567780340090394,56,21,3,0,F M S,Chelsea
Gabriel Jesus,28,1885,8,10.153559781610966,8,5.913653578609228,64,38,1,0,F M S,Manchester City
