h_a,xG,xGA,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,time
a,0.580601,2.38863,2.38863,"{'att': 151, 'def': 27}","{'att': 158, 'def': 23}",6.0,4.0,1.0,3.0,0.2455,l,2021-08-14 14:00:00,0.0,0.0,1.0,0.0,-1.808029,
h,0.587526,2.26173,2.26173,"{'att': 275, 'def': 31}","{'att': 136, 'def': 15}",3.0,11.0,1.0,1.0,0.2769,d,2021-08-22 13:00:00,0.0,1.0,0.0,1.0,-1.674204,
a,3.46036,1.19077,1.19077,"{'att': 131, 'def': 17}","{'att': 234, 'def': 24}",10.0,6.0,2.0,2.0,2.7954999999999997,d,2021-08-28 14:00:00,0.0,1.0,0.0,1.0,1.50842,
h,0.692135,0.725407,0.725407,"{'att': 287, 'def': 12}","{'att': 231, 'def': 30}",4.0,1.0,0.0,0.0,1.2896999999999998,d,2021-09-11 14:00:00,0.0,1.0,0.0,1.0,-0.033272,
a,0.490923,1.22451,1.22451,"{'att': 363, 'def': 22}","{'att': 173, 'def': 15}",6.0,6.0,0.0,0.0,0.7269000000000001,d,2021-09-18 14:00:00,0.0,1.0,0.0,1.0,-0.733587,
h,0.909342,0.909833,0.909833,"{'att': 184, 'def': 22}","{'att': 259, 'def': 8}",7.0,3.0,0.0,1.0,1.3033,l,2021-09-26 13:00:00,0.0,0.0,1.0,0.0,-0.000491,
a,1.52634,3.79243,3.79243,"{'att': 341, 'def': 36}","{'att': 175, 'def': 24}",4.0,12.0,1.0,3.0,0.1839,l,2021-10-02 14:00:00,0.0,0.0,1.0,0.0,-3.027257,
h,1.83082,0.446173,0.446173,"{'att': 260, 'def': 34}","{'att': 174, 'def': 31}",4.0,4.0,1.0,0.0,2.4654000000000003,w,2021-10-16 14:00:00,1.0,0.0,0.0,3.0,1.384647,
h,1.42567,0.673195,0.673195,"{'att': 95, 'def': 15}","{'att': 214, 'def': 22}",6.0,4.0,2.0,2.0,2.0092,d,2021-10-23 14:00:00,0.0,1.0,0.0,1.0,0.752475,
a,1.90757,0.852556,0.852556,"{'att': 134, 'def': 19}","{'att': 261, 'def': 26}",11.0,4.0,1.0,0.0,2.2118,w,2021-10-30 14:00:00,1.0,0.0,0.0,3.0,1.055014,
h,0.89818,0.536077,0.536077,"{'att': 131, 'def': 24}","{'att': 245, 'def': 23}",8.0,13.0,1.0,0.0,1.7231999999999998,w,2021-11-05 20:00:00,1.0,0.0,0.0,3.0,0.3621029999999999,
a,1.13118,0.43778,0.43778,"{'att': 132, 'def': 17}","{'att': 301, 'def': 28}",9.0,4.0,1.0,2.0,1.9398,l,2021-11-20 15:00:00,0.0,0.0,1.0,0.0,0.6934,
a,0.966132,3.07278,3.07278,"{'att': 350, 'def': 23}","{'att': 173, 'def': 18}",2.0,14.0,0.0,4.0,0.2162,l,2021-11-27 15:00:00,0.0,0.0,1.0,0.0,-2.106648,
h,1.91169,1.4401,1.4401,"{'att': 262, 'def': 26}","{'att': 159, 'def': 18}",10.0,5.0,2.0,2.0,1.748,d,2021-12-01 19:30:00,0.0,1.0,0.0,1.0,0.4715899999999999,
h,1.34236,1.4872,1.4872,"{'att': 199, 'def': 23}","{'att': 106, 'def': 25}",8.0,6.0,1.0,1.0,1.2105,d,2021-12-04 15:00:00,0.0,1.0,0.0,1.0,-0.14484,
a,0.502215,2.08429,2.08429,"{'att': 300, 'def': 15}","{'att': 171, 'def': 8}",2.0,7.0,0.0,3.0,0.3188999999999999,l,2021-12-11 15:00:00,0.0,0.0,1.0,0.0,-1.582075,
a,0.625183,1.49244,1.49244,"{'att': 248, 'def': 39}","{'att': 128, 'def': 24}",2.0,4.0,2.0,2.0,0.641,d,2021-12-15 19:30:00,0.0,1.0,0.0,1.0,-0.867257,
a,1.35643,1.53745,1.53745,"{'att': 206, 'def': 22}","{'att': 172, 'def': 18}",2.0,10.0,3.0,2.0,1.1727,w,2021-12-26 15:00:00,1.0,0.0,0.0,3.0,-0.942193,
h,0.353043,2.80917,2.048,"{'att': 228, 'def': 28}","{'att': 107, 'def': 14}",0.0,10.0,1.0,1.0,0.1031,d,2021-12-28 15:00:00,0.0,1.0,0.0,1.0,-1.694957,
h,1.59306,0.621466,0.621466,"{'att': 223, 'def': 26}","{'att': 176, 'def': 18}",1.0,3.0,4.0,1.0,2.1879,w,2022-01-11 21:45:00,1.0,0.0,0.0,3.0,0.971594,
a,0.91728,2.29917,1.538,"{'att': 167, 'def': 13}","{'att': 237, 'def': 25}",8.0,4.0,1.0,3.0,0.3762,l,2022-01-15 15:00:00,0.0,0.0,1.0,0.0,-0.62072,
h,1.00222,1.62907,1.62907,"{'att': 356, 'def': 17}","{'att': 147, 'def': 30}",1.0,17.0,1.0,1.0,0.8467,d,2022-01-22 17:30:00,0.0,1.0,0.0,1.0,-0.6268499999999999,
a,1.73293,1.74286,1.74286,"{'att': 237, 'def': 25}","{'att': 206, 'def': 19}",7.0,4.0,3.0,2.0,1.3425000000000002,w,2022-02-09 19:45:00,1.0,0.0,0.0,3.0,-0.0099299999999999,
a,0.677386,2.99207,2.99207,"{'att': 263, 'def': 29}","{'att': 244, 'def': 23}",7.0,8.0,1.0,1.0,0.1409,d,2022-02-12 12:30:00,0.0,1.0,0.0,1.0,-2.3146839999999997,
