Opponent,Home Difficulty,Away Difficulty
Arsenal,-1.6360742155639834,3.4976291903750774
Aston Villa,-1.7391791920799273,-0.3528203318636728
Bournemouth,-4.116167111809898,
Brentford,-3.071625021506685,5.510114163517062
Brighton,2.851184205556377,3.128107726991317
Burnley,-2.6376178481840555,-1.2660225109049814
Chelsea,0.2524960078842019,-0.1584827226124773
Crystal Palace,0.33094479103924357,1.655970595865949
Everton,-2.1834757850264364,-0.44113613390161543
Fulham,1.0216112825857149,1.9774008835532189
Leeds United,-0.39662459248373494,1.7687052884339203
Leicester City,3.6131202175404105,-5.237736629100889
Luton,,1.9940266701495544
Manchester City,-1.6857397533547998,-0.5155675527473795
Manchester United,0.35982925725959614,-0.003805961850357864
Newcastle United,0.08380845024997158,-0.7391737853240363
Norwich,,-1.8115663448614963
Nottingham Forest,-3.3684019402236283,3.7045432094621003
Sheffield,,-0.7866631918019842
Southampton,-2.604868989966293,
Tottenham,,1.5638922777632052
Watford,,-4.8806573332282515
West Ham,-0.060810851432770985,4.916769810003345
Wolverhampton,,-1.4407593590519507
