Opponent,Home Difficulty,Away Difficulty
Arsenal,2.087970147667504,1.1236417860681407
Aston Villa,1.6903713240252334,3.5169115509831164
Bournemouth,-2.121391698901021,
Brentford,-1.524742561140657,0.720960064487175
Burnley,0.18014507955991554,-0.7104196855396759
Chelsea,-6.2093565595904865,0.31117254016477836
Crystal Palace,,0.7208843495060324
Everton,3.8611595810419206,-1.6233286983165225
Fulham,-0.667520448681093,0.06804310195438446
Leeds United,-2.882241690441643,1.3684731094635876
Leicester City,-1.836614402820346,
Liverpool,-2.5359169060686355,-2.599395212518497
Luton,-3.81313341928412,
Manchester City,5.77502335884692,0.5219742541390124
Manchester United,,-2.7100715393885153
Newcastle United,-0.8917218235087621,
Norwich,,1.6263200544881091
Nottingham Forest,-0.004287803428828507,-1.3729314342500083
Sheffield,-1.3925593668086726,
Southampton,,-0.8208514673554205
Tottenham,-2.2442395115757385,
Watford,-3.4729282561387276,
West Ham,4.615051848604007,-1.661191736267933
Wolverhampton,1.3197298242858695,-1.0558359421537187
