Opponent,Home Difficulty,Away Difficulty
Arsenal,2.1048142356605446,0.23820765658874854
Aston Villa,3.880052973076456,
Bournemouth,,0.12264589362162576
Brentford,-6.40723253406253,2.951777152930503
Brighton,-0.513691704662954,-2.1534799465184755
Chelsea,1.5641066953340321,1.0898060770601816
Crystal Palace,1.3476671247900112,
Everton,3.3664600097568704,2.03069977349364
Fulham,,-2.7491822236142216
Leeds United,,0.08985307234584283
Leicester City,-1.9920699117245537,2.2854602664884682
Liverpool,0.13558995515882577,3.663801812497164
Luton,,-0.7302434694606054
Manchester City,2.3594277093155673,1.2896324668255525
Manchester United,0.21598754121179087,4.486864168070877
Newcastle United,,3.2891768917180877
Norwich,0.8464635173771531,
Nottingham Forest,,-1.3281151298445377
Sheffield,-6.2284737165154995,
Southampton,,-0.5105152061187156
Tottenham,2.27126058746732,
Watford,-0.11259738977381131,
West Ham,-0.08383107416464336,
Wolverhampton,,0.3017317488839105
