Opponent,Home Difficulty,Away Difficulty
Arsenal,,4.912912612610072
Aston Villa,,-1.4544520924546356
Bournemouth,3.2823861116361623,
Brentford,-1.3686488666494605,
Brighton,,1.4185577424930518
Burnley,,4.144666233495375
Chelsea,,2.0738528315167897
Crystal Palace,1.217063097601856,
Everton,-0.6459726571787532,
Fulham,,0.8392507102086622
Leeds United,,
Leicester City,,
Liverpool,0.4202729715260024,
Luton,-2.800872114275066,
Manchester City,-0.33634413675945907,
Manchester United,0.5331208822927747,
Newcastle United,7.9617637845885785,
Norwich,,
Nottingham Forest,,1.1886567403480608
Southampton,,
Tottenham,,-1.1348805444881773
Watford,,
West Ham,,2.5923587345966803
Wolverhampton,-0.8633673832502063,
