player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title
Erling Haaland,9,810,11,8.49750679731369,0,0.8076825514435768,43,5,1,0,F,Manchester City
Bryan Mbeumo,9,810,8,3.812891349196434,0,2.4532429575920105,21,17,2,0,F M,Brentford
Chris Wood,9,752,7,4.845912218093872,0,0.7911597471684217,19,4,1,0,F,Nottingham Forest
Cole Palmer,9,786,7,3.9980054683983326,5,5.031857052817941,29,25,3,0,M,Chelsea
Danny Welbeck,9,775,6,4.772736422717571,1,0.5996219962835312,25,9,1,0,F,Brighton
Mohamed Salah,9,790,6,5.647123575210571,5,2.9975260719656944,27,17,0,0,M,Liverpool
Nicolas Jackson,9,730,6,6.293079078197479,3,1.2726969867944715,22,10,3,0,F,Chelsea
Ollie Watkins,9,721,5,5.988040499389172,2,1.4366883859038353,21,9,0,0,F,Aston Villa
Liam Delap,9,653,5,2.810039773583412,0,0.2535342238843441,16,5,2,0,F S,Ipswich
Luis Díaz,9,549,5,3.559749510139227,2,1.8502594074234369,17,11,0,0,M S,Liverpool
Jamie Vardy,9,768,4,3.2877582013607025,0,0.3272589743137359,11,5,3,0,F,Leicester
Raúl Jiménez,9,518,4,4.900685772299767,1,2.5105241760611534,23,9,0,0,F S,Fulham
Kai Havertz,9,810,4,5.9272512048482895,1,1.0634095296263697,28,7,0,0,F,Arsenal
Yoane Wissa,6,404,4,4.085961043834686,1,0.3643055185675621,13,4,1,0,F S,Brentford
Matheus Cunha,9,718,4,2.499624852091074,0,1.8733725771307943,27,15,1,0,F M S,Wolverhampton Wanderers
Noni Madueke,8,651,4,3.0548013374209404,0,0.7366175800561905,25,9,1,0,M,Chelsea
Jhon Durán,9,193,4,2.7376702651381493,0,0.0569250509142875,14,1,1,0,S,Aston Villa
Son Heung-Min,6,521,3,1.2384502831846476,2,2.010490395128727,12,16,0,0,F,Tottenham
Jarrod Bowen,9,794,3,2.2959723006933928,2,3.1964657232165337,19,22,0,0,F M,West Ham
Mateo Kovacic,9,714,3,0.7438249476253986,0,0.3079813122749328,16,9,3,0,M S,Manchester City
Jean-Philippe Mateta,9,577,3,2.3874800857156515,0,0.5090273935347795,10,7,1,0,F S,Crystal Palace
Rayan Ait Nouri,9,762,3,1.723376888781786,2,1.0508314333856106,10,11,4,0,D M,Wolverhampton Wanderers
Harvey Barnes,9,488,3,1.805087935179472,1,1.6165930777788162,16,8,0,0,F S,Newcastle United
Dwight McNeil,9,801,3,0.8971882537007332,3,3.069904730189592,15,24,1,0,M,Everton
Bukayo Saka,8,674,3,3.006971955299377,7,6.073503442108631,27,27,1,0,F M,Arsenal
Brennan Johnson,9,704,3,3.995710924267769,0,0.9397517926990986,29,9,2,0,F S,Tottenham
Jørgen Strand Larsen,9,756,3,1.8294061310589316,1,1.211770048364997,12,4,1,0,F,Wolverhampton Wanderers
Facundo Buonanotte,8,559,3,2.357747584581375,2,1.4535164069384336,17,11,3,0,F M S,Leicester
Antoine Semenyo,9,793,3,3.907608799636364,1,2.1000761333853006,39,10,4,0,F M,Bournemouth
Alex Iwobi,9,774,2,1.444161457940936,1,2.538998426869512,12,14,0,0,D F M,Fulham
John Stones,6,229,2,0.6664973199367523,0,0.0,2,0,1,0,D S,Manchester City
Michael Keane,8,720,2,0.5752278584986925,0,0.1236345618963241,7,1,3,0,D,Everton
Dominic Solanke,7,622,2,4.560365129262209,1,0.6110040321946144,15,4,0,0,F,Tottenham
Alexander Isak,7,588,2,3.2178656570613384,1,1.1182263642549517,21,7,0,0,F,Newcastle United
Dominic Calvert-Lewin,9,776,2,3.932786624878645,1,0.4789971932768821,21,2,1,0,F,Everton
Yves Bissouma,6,367,2,0.1485525518655777,0,0.1525784693658352,2,3,2,0,M S,Tottenham
Gabriel,9,778,2,2.5315187387168407,0,0.3396926820278168,12,2,1,0,D,Arsenal
Dejan Kulusevski,9,688,2,2.052295833826065,1,2.288522010669112,17,24,3,0,F M S,Tottenham
