name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points
Callum Wilson,Newcastle,Nottingham Forest,2022-08-06,True,FW,89,1,0.72,0,0.15,6,4,2,10.9,0,False,0.0,0.0,89.0,8,0,7.05,0.54,0.05,5
Callum Wilson,Newcastle,Brentford,2022-10-08,True,FW,83,0,0.71,1,0.59,5,3,3,7.8,0,False,6.0,0.72,86.0,8,0,7.05,0.54,0.05,2
Callum Wilson,Newcastle,Manchester United,2022-10-16,False,FW,77,0,0.17,0,0.0,2,2,0,1.7,0,False,5.5,1.21,83.0,8,0,7.05,0.54,0.05,2
Callum Wilson,Newcastle,Everton,2022-10-19,True,FW,86,0,0.16,0,0.06,2,2,1,6.2,0,False,4.33,0.87,83.75,8,0,7.05,0.54,0.05,5
Callum Wilson,Newcastle,Tottenham,2022-10-23,False,FW,87,1,0.7,0,0.02,5,4,1,10.4,0,False,3.75,0.69,84.4,8,0,7.05,0.54,0.05,19
Callum Wilson,Newcastle,Aston Villa,2022-10-29,True,FW,85,2,2.04,1,0.12,19,5,2,18.7,3,False,4.0,0.69,84.5,8,0,7.05,0.54,0.05,1
Callum Wilson,Newcastle,Southampton,2022-11-06,False,FW,45,0,0.06,0,0.0,1,1,0,0.6,0,False,6.6,1.16,78.86,8,0,7.05,0.54,0.05,1
Callum Wilson,Newcastle,Chelsea,2022-11-12,True,Sub,14,0,0.0,0,0.0,1,0,0,0.0,0,False,5.8,0.83,70.75,8,0,7.05,0.54,0.05,0
Callum Wilson,Newcastle,Leicester City,2022-12-31,True,Sub,26,0,0.0,0,0.0,0,0,0,0.2,0,False,5.6,0.79,65.78,8,0,7.05,0.54,0.05,1
Callum Wilson,Newcastle,Arsenal,2023-01-03,False,FW,67,0,0.17,0,0.0,1,2,0,1.5,0,True,5.2,0.76,65.9,8,0,7.05,0.54,0.05,2
Callum Wilson,Newcastle,Brighton,2022-08-13,False,FW,86,0,0.0,0,0.04,2,0,1,1.8,0,False,4.4,0.65,67.73,8,0,7.05,0.54,0.05,5
Callum Wilson,Newcastle,Fulham,2023-01-15,True,FW,90,0,0.65,1,0.68,5,7,1,12.2,0,True,1.0,0.05,69.58,8,0,7.05,0.54,0.05,2
Callum Wilson,Newcastle,Crystal Palace,2023-01-21,False,FW,68,0,0.34,0,0.0,2,2,0,3.6,0,True,1.8,0.36,69.46,8,0,7.05,0.54,0.05,7
Callum Wilson,Newcastle,West Ham,2023-02-04,True,FW,90,1,0.6,0,0.06,7,3,1,8.4,1,True,2.0,0.43,70.93,8,0,7.05,0.54,0.05,1
Callum Wilson,Newcastle,Liverpool,2023-02-18,True,Sub,26,0,0.38,0,0.02,1,1,1,3.3,0,False,3.4,0.55,67.93,8,0,7.05,0.54,0.05,2
Callum Wilson,Newcastle,Manchester City,2023-03-04,False,FW,61,0,0.1,0,0.1,2,1,1,1.8,0,True,3.4,0.59,67.5,8,0,7.05,0.54,0.05,1
Callum Wilson,Newcastle,Wolverhampton,2023-03-12,True,Sub,22,0,0.0,0,0.0,1,0,0,0.2,0,False,3.4,0.61,64.82,8,0,7.05,0.54,0.05,6
Callum Wilson,Newcastle,Manchester United,2023-04-02,True,Sub,10,1,0.52,0,0.0,6,1,0,6.7,1,False,2.6,0.28,61.78,8,0,7.05,0.54,0.05,13
Callum Wilson,Newcastle,West Ham,2023-04-05,False,FW,63,2,1.02,0,0.0,13,3,0,11.8,3,True,3.4,0.32,61.84,8,0,7.05,0.54,0.05,6
Callum Wilson,Newcastle,Manchester City,2022-08-21,True,FW,69,1,0.95,0,0.0,6,4,0,11.1,0,False,4.6,0.4,62.2,8,0,7.05,0.54,0.05,4
Callum Wilson,Newcastle,Brentford,2023-04-08,False,Sub,45,0,0.13,1,0.54,4,1,3,6.4,0,False,5.6,0.52,61.38,8,0,7.05,0.54,0.05,1
Callum Wilson,Newcastle,Aston Villa,2023-04-15,False,Sub,34,0,0.0,0,0.0,1,0,0,0.1,0,False,6.0,0.72,60.14,8,0,7.05,0.54,0.05,5
Callum Wilson,Newcastle,Tottenham,2023-04-23,True,Sub,24,1,0.54,0,0.08,5,1,1,6.9,0,False,6.0,0.72,58.57,8,0,7.05,0.54,0.05,13
Callum Wilson,Newcastle,Everton,2023-04-27,False,FW,86,2,0.74,0,0.0,13,4,0,0.0,3,True,5.8,0.73,59.71,8,0,7.05,0.54,0.05,12
Callum Wilson,Newcastle,Southampton,2023-04-30,True,Sub,45,2,2.34,0,0.0,12,6,0,16.0,3,False,5.8,0.67,59.12,8,0,7.05,0.54,0.05,2
Callum Wilson,Newcastle,Arsenal,2023-05-07,True,FW,77,0,0.0,0,0.06,2,0,1,1.5,0,True,7.0,0.95,59.81,8,0,7.05,0.54,0.05,12
Callum Wilson,Newcastle,Leicester City,2023-05-13,False,FW,72,2,1.77,0,0.03,12,5,1,14.7,3,True,6.6,0.72,60.26,8,0,7.05,0.54,0.05,12
Callum Wilson,Newcastle,Brighton,2023-05-18,True,FW,90,1,1.41,1,0.9,12,4,3,14.4,3,True,8.8,1.08,61.32,8,0,7.05,0.54,0.05,2
Callum Wilson,Newcastle,Leeds United,2023-05-22,True,FW,67,0,0.93,0,0.12,2,4,1,2.6,0,True,10.2,1.45,61.52,8,0,7.05,0.54,0.05,1
Callum Wilson,Newcastle,Chelsea,2023-05-28,False,Sub,21,0,0.0,0,0.0,1,0,0,0.0,0,False,8.0,1.49,60.17,8,0,7.05,0.54,0.05,6
Callum Wilson,Newcastle,Fulham,2022-10-01,False,FW,65,1,1.72,0,0.0,6,3,0,7.6,0,False,5.8,1.02,60.32,8,0,7.05,0.54,0.05,5
