name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Patson Daka,Leicester,Brentford,2022-08-07,True,Sub,17,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,False,0.0,0.0,17.0,5.0,3.0,5.09,1.82,0.06,6.0,Leicester,False,Bournemouth,,0.19
Patson Daka,Leicester,Bournemouth,2022-10-08,False,FW,66,1.0,0.76,0.0,0.0,6,2.0,0.0,9.1,0,False,1.0,0.0,41.5,5.0,3.0,5.09,1.82,0.06,2.0,Leicester,True,Crystal Palace,-0.43,0.81
Patson Daka,Leicester,Crystal Palace,2022-10-15,True,FW,64,0.0,0.04,0.0,0.38,2,1.0,1.0,5.2,0,False,3.5,0.38,49.0,5.0,3.0,5.09,1.82,0.06,1.0,Leicester,True,Leicester City,2.25,0.83
Patson Daka,Leicester,Leicester City,2022-10-20,True,Sub,26,0.0,0.0,0.0,0.11,1,0.0,1.0,1.6,0,False,3.0,0.27,43.25,5.0,3.0,5.09,1.82,0.06,2.0,Leicester,False,Wolverhampton,3.01,-0.46
Patson Daka,Leicester,Wolverhampton,2022-10-23,False,FW,60,0.0,0.0,0.0,0.0,2,0.0,0.0,1.4,0,False,2.5,0.2,46.6,5.0,3.0,5.09,1.82,0.06,1.0,Leicester,True,Manchester City,2.25,-1.17
Patson Daka,Leicester,Manchester City,2022-10-29,True,Sub,18,0.0,0.22,0.0,0.0,1,2.0,0.0,4.2,0,False,2.4,0.16,41.83,5.0,3.0,5.09,1.82,0.06,2.0,Leicester,False,Everton,1.31,-0.63
Patson Daka,Leicester,Everton,2022-11-05,False,FW,69,0.0,0.6,0.0,0.16,2,4.0,2.0,7.9,0,False,2.4,0.2,45.71,5.0,3.0,5.09,1.82,0.06,5.0,Leicester,False,West Ham,-0.48,0.14
Patson Daka,Leicester,West Ham,2022-11-12,False,FW,68,0.0,0.06,1.0,0.1,5,1.0,1.0,3.6,0,True,1.6,0.17,48.5,5.0,3.0,5.09,1.82,0.06,1.0,Leicester,True,Newcastle United,2.07,0.73
Patson Daka,Leicester,Newcastle United,2022-12-26,True,FW,45,0.0,0.07,0.0,0.0,1,1.0,0.0,1.2,0,True,2.2,0.38,48.11,5.0,3.0,5.09,1.82,0.06,4.0,Leicester,False,Liverpool,-0.04,-1.33
Patson Daka,Leicester,Liverpool,2022-12-30,False,FW,14,0.0,0.0,1.0,0.29,4,0.0,1.0,2.7,0,True,2.2,0.39,44.7,5.0,3.0,5.09,1.82,0.06,0.0,Leicester,True,Fulham,,-0.3
Patson Daka,Leicester,Fulham,,True,,0,,,,,0,,,0.0,0,False,2.6,0.59,40.64,5.0,3.0,5.09,1.82,0.06,1.0,Leicester,False,Arsenal,-1.31,-0.0
Patson Daka,Leicester,Arsenal,2022-08-13,False,Sub,27,0.0,0.08,0.0,0.0,1,1.0,0.0,3.2,0,False,2.4,0.55,39.5,5.0,3.0,5.09,1.82,0.06,0.0,Leicester,False,Nottingham Forest,,
Patson Daka,Leicester,Nottingham Forest,,False,,0,,,,,0,,,0.0,0,False,2.2,0.44,36.46,5.0,3.0,5.09,1.82,0.06,1.0,Leicester,True,Brighton,-0.74,-0.71
Patson Daka,Leicester,Brighton,2023-01-21,True,Sub,4,0.0,0.0,0.0,0.0,1,0.0,0.0,0.2,0,False,1.2,0.23,34.14,5.0,3.0,5.09,1.82,0.06,0.0,Leicester,False,Aston Villa,-0.96,0.59
Patson Daka,Leicester,Aston Villa,,False,,0,,,,,0,,,0.0,0,False,1.2,0.22,31.87,5.0,3.0,5.09,1.82,0.06,0.0,Leicester,True,Tottenham,3.95,1.07
Patson Daka,Leicester,Tottenham,,True,,0,,,,,0,,,0.0,0,False,0.4,0.02,29.88,5.0,3.0,5.09,1.82,0.06,0.0,Leicester,False,Manchester United,0.11,-0.1
Patson Daka,Leicester,Manchester United,,False,,0,,,,,0,,,0.0,0,False,0.4,0.02,28.12,5.0,3.0,5.09,1.82,0.06,1.0,Leicester,True,Arsenal,-1.32,0.36
Patson Daka,Leicester,Arsenal,2023-02-25,True,Sub,13,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,False,0.2,0.0,27.28,5.0,3.0,5.09,1.82,0.06,0.0,Leicester,False,Southampton,-3.27,-1.07
Patson Daka,Leicester,Southampton,,False,,0,,,,,0,,,0.0,0,False,0.4,0.0,25.84,5.0,3.0,5.09,1.82,0.06,7.0,Leicester,True,Chelsea,-2.98,-0.25
Patson Daka,Leicester,Chelsea,2023-03-11,True,FW,65,1.0,0.02,0.0,0.07,7,1.0,1.0,6.1,1,True,0.2,0.0,27.8,5.0,3.0,5.09,1.82,0.06,2.0,Leicester,False,Brentford,-4.9,-0.55
Patson Daka,Leicester,Brentford,2023-03-18,False,FW,65,0.0,0.56,0.0,0.0,2,3.0,0.0,1.2,0,True,1.6,0.0,29.57,5.0,3.0,5.09,1.82,0.06,2.0,Leicester,False,Crystal Palace,,0.13
Patson Daka,Leicester,Crystal Palace,2023-04-01,False,FW,71,0.0,0.0,0.0,0.1,2,0.0,1.0,1.5,0,True,2.0,0.12,31.45,5.0,3.0,5.09,1.82,0.06,1.0,Leicester,True,Aston Villa,,0.55
