name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Mateo Joseph Fernández,Leeds,Bournemouth,True,0,0,0.0,0,False,1.0,Leeds,False,Tottenham,0.01,-0.03
Mateo Joseph Fernández,Leeds,Tottenham,False,1,1,0.0,0,False,0.0,Leeds,True,Manchester City,2.49,
Mateo Joseph Fernández,Leeds,Manchester City,True,0,0,0.0,0,False,0.0,Leeds,False,Newcastle United,-5.11,
Mateo Joseph Fernández,Leeds,Newcastle United,False,0,0,0.0,0,False,0.0,Leeds,True,West Ham,-2.86,
Mateo Joseph Fernández,Leeds,West Ham,True,0,0,0.0,0,False,0.0,Leeds,False,Aston Villa,-1.61,
Mateo Joseph Fernández,Leeds,Aston Villa,False,0,0,0.0,0,False,0.0,Leeds,True,Brentford,-0.12,0.69
Mateo Joseph Fernández,Leeds,Brentford,True,0,0,0.0,0,False,0.0,Leeds,False,Nottingham Forest,,
Mateo Joseph Fernández,Leeds,Nottingham Forest,False,0,0,0.0,0,False,1.0,Leeds,False,Manchester United,2.58,
Mateo Joseph Fernández,Leeds,Manchester United,False,1,1,0.0,0,False,0.0,Leeds,True,Manchester United,1.66,
Mateo Joseph Fernández,Leeds,Manchester United,True,0,0,0.0,0,False,0.0,Leeds,False,Everton,1.15,-0.63
Mateo Joseph Fernández,Leeds,Everton,False,0,0,0.0,0,False,0.0,Leeds,True,Southampton,-3.43,-0.38
Mateo Joseph Fernández,Leeds,Southampton,True,0,0,0.0,0,False,1.0,Leeds,False,Chelsea,-1.33,-0.72
Mateo Joseph Fernández,Leeds,Chelsea,False,22,1,2.2,0,False,0.0,Leeds,True,Brighton,-4.64,-0.71
Mateo Joseph Fernández,Leeds,Brighton,True,0,0,0.0,0,False,0.0,Leeds,False,Wolverhampton,3.26,-0.46
Mateo Joseph Fernández,Leeds,Wolverhampton,False,0,0,0.0,0,False,0.0,Leeds,False,Arsenal,4.38,-0.0
Mateo Joseph Fernández,Leeds,Arsenal,False,0,0,0.0,0,False,0.0,Leeds,True,Nottingham Forest,,
Mateo Joseph Fernández,Leeds,Nottingham Forest,True,0,0,0.0,0,False,0.0,Leeds,True,Crystal Palace,-4.62,
Mateo Joseph Fernández,Leeds,Crystal Palace,True,0,0,0.0,0,False,0.0,Leeds,True,Liverpool,0.62,-0.53
Mateo Joseph Fernández,Leeds,Liverpool,True,0,0,0.0,0,False,0.0,Leeds,False,Fulham,,1.37
Mateo Joseph Fernández,Leeds,Fulham,False,0,0,0.0,0,False,0.0,Leeds,True,Leeds United,,
Mateo Joseph Fernández,Leeds,Leeds United,True,0,0,0.0,0,False,0.0,Leeds,False,Bournemouth,0.09,0.19
Mateo Joseph Fernández,Leeds,Bournemouth,False,0,0,0.0,0,False,0.0,Leeds,False,Manchester City,4.57,
Mateo Joseph Fernández,Leeds,Manchester City,False,0,0,0.0,0,False,0.0,Leeds,True,Newcastle United,-0.68,
Mateo Joseph Fernández,Leeds,Newcastle United,True,0,0,0.0,0,False,0.0,Leeds,False,West Ham,0.82,
Mateo Joseph Fernández,Leeds,West Ham,False,0,0,0.0,0,False,0.0,Leeds,True,Tottenham,-4.61,1.07
Mateo Joseph Fernández,Leeds,Tottenham,True,0,0,0.0,0,False,,Brentford,True,Tottenham,-0.15,1.07
