name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty
Ellis Simms,Everton,Brighton,2023-01-03,True,Sub,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.3,0,False,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.03,1,Everton,True,Southampton,-2.71
Ellis Simms,Everton,Southampton,2023-01-14,True,Sub,8,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,False,1.0,0.0,7.5,0.0,0.0,0.0,0.0,0.03,0,Everton,False,West Ham,2.5
Ellis Simms,Everton,West Ham,,False,,0,,,,,0,,,0.0,0,False,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.03,0,Everton,True,Arsenal,-2.09
Ellis Simms,Everton,Arsenal,,True,,0,,,,,0,,,0.0,0,False,0.67,0.0,3.75,0.0,0.0,0.0,0.0,0.03,2,Everton,False,Liverpool,1.94
Ellis Simms,Everton,Liverpool,2023-02-13,False,FW,60,0.0,0.04,0.0,0.05,2,1.0,1.0,2.6,0,True,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.03,1,Everton,True,Leicester City,-3.7
Ellis Simms,Everton,Leicester City,2023-02-18,True,Sub,9,0.0,0.0,0.0,0.0,1,0.0,0.0,0.2,0,False,0.8,0.01,14.0,0.0,0.0,0.0,0.0,0.03,1,Everton,True,Aston Villa,1.41
Ellis Simms,Everton,Aston Villa,2023-02-25,True,Sub,14,0.0,0.1,0.0,0.0,1,1.0,0.0,0.3,0,False,0.8,0.01,14.0,0.0,0.0,0.0,0.0,0.03,0,Everton,False,Arsenal,2.52
Ellis Simms,Everton,Arsenal,,False,,0,,,,,0,,,0.0,0,False,0.8,0.03,12.25,0.0,0.0,0.0,0.0,0.03,0,Everton,False,Nottingham Forest,0.07
Ellis Simms,Everton,Nottingham Forest,,False,,0,,,,,0,,,0.0,0,False,0.8,0.03,10.89,0.0,0.0,0.0,0.0,0.03,0,Everton,True,Brentford,-2.0
Ellis Simms,Everton,Brentford,,True,,0,,,,,0,,,0.0,0,False,0.8,0.03,9.8,0.0,0.0,0.0,0.0,0.03,5,Everton,False,Chelsea,1.97
Ellis Simms,Everton,Chelsea,2023-03-18,False,Sub,11,1.0,0.39,0.0,0.0,5,2.0,0.0,5.3,0,False,0.4,0.02,9.91,0.0,0.0,0.0,0.0,0.03,1,Everton,True,Tottenham,-0.33
Ellis Simms,Everton,Tottenham,2023-04-03,True,Sub,13,0.0,0.0,0.0,0.0,1,0.0,0.0,0.3,0,False,1.2,0.1,10.17,0.0,0.0,0.0,0.0,0.03,2,Everton,False,Manchester United,1.96
Ellis Simms,Everton,Manchester United,2023-04-08,False,FW,69,0.0,0.51,0.0,0.03,2,4.0,1.0,3.3,0,True,1.2,0.08,14.69,0.0,0.0,0.0,0.0,0.03,1,Everton,True,Fulham,2.03
Ellis Simms,Everton,Fulham,2023-04-15,True,Sub,16,0.0,0.0,0.0,0.0,1,0.0,0.0,0.6,0,False,1.6,0.18,14.79,0.0,0.0,0.0,0.0,0.03,0,Everton,False,Crystal Palace,-0.42
Ellis Simms,Everton,Crystal Palace,,False,,0,,,,,0,,,0.0,0,False,1.8,0.18,13.8,0.0,0.0,0.0,0.0,0.03,1,Everton,True,Newcastle United,-0.27
Ellis Simms,Everton,Newcastle United,2023-04-27,True,Sub,9,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,False,1.8,0.18,13.5,0.0,0.0,0.0,0.0,0.03,0,Everton,False,Leeds United,-1.47
Ellis Simms,Everton,Leeds United,,False,,0,,,,,0,,,0.0,0,False,1.0,0.1,12.71,0.0,0.0,0.0,0.0,0.03,0,Everton,False,Brighton,-3.42
Ellis Simms,Everton,Brighton,,False,,0,,,,,0,,,0.0,0,False,0.8,0.1,12.0,0.0,0.0,0.0,0.0,0.03,0,Everton,True,Manchester City,1.75
Ellis Simms,Everton,Manchester City,,True,,0,,,,,0,,,0.0,0,False,0.4,0.0,11.37,0.0,0.0,0.0,0.0,0.03,0,Everton,False,Wolverhampton,1.67
Ellis Simms,Everton,Wolverhampton,,False,,0,,,,,0,,,0.0,0,False,0.2,0.0,10.8,0.0,0.0,0.0,0.0,0.03,1,Everton,True,Bournemouth,-4.02
Ellis Simms,Everton,Bournemouth,2023-05-28,True,Sub,3,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,False,0.2,0.0,10.43,0.0,0.0,0.0,0.0,0.03,0,Everton,True,Fulham,2.03
