name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points
Cristiano Ronaldo dos Santos Aveiro,Man Utd,Brighton,2022-08-07,True,Sub,37,0,0.09,0,0.02,1,1,1,3.6,0,False,0.0,0.0,37.0,18,3,17.22,4.42,0.06,9
Cristiano Ronaldo dos Santos Aveiro,Man Utd,Everton,2022-10-09,False,Sub,61,1,0.56,0,0.06,9,3,1,8.7,3,False,1.0,0.09,49.0,18,3,17.22,4.42,0.06,1
Cristiano Ronaldo dos Santos Aveiro,Man Utd,Newcastle United,2022-10-16,True,FW,71,0,0.07,0,0.0,1,1,0,1.0,0,False,5.0,0.33,56.33,18,3,17.22,4.42,0.06,2
Cristiano Ronaldo dos Santos Aveiro,Man Utd,West Ham,2022-10-30,True,FW,90,0,0.55,0,0.0,2,6,0,6.7,0,False,3.67,0.24,64.75,18,3,17.22,4.42,0.06,1
Cristiano Ronaldo dos Santos Aveiro,Man Utd,Aston Villa,2022-11-06,False,FW,90,0,0.39,0,0.0,1,3,0,3.4,0,False,3.25,0.32,69.8,18,3,17.22,4.42,0.06,2
Cristiano Ronaldo dos Santos Aveiro,Man Utd,Brentford,2022-08-13,False,FW,90,0,0.18,0,0.12,2,6,3,6.9,0,False,2.8,0.33,73.17,18,3,17.22,4.42,0.06,1
Cristiano Ronaldo dos Santos Aveiro,Man Utd,Liverpool,2022-08-22,True,Sub,4,0,0.04,0,0.0,1,1,0,0.2,0,False,3.0,0.35,63.29,18,3,17.22,4.42,0.06,1
Cristiano Ronaldo dos Santos Aveiro,Man Utd,Southampton,2022-08-27,False,Sub,22,0,0.0,0,0.0,1,0,0,0.8,0,False,1.4,0.24,58.12,18,3,17.22,4.42,0.06,1
Cristiano Ronaldo dos Santos Aveiro,Man Utd,Leeds United,2022-09-01,False,Sub,22,0,0.11,0,0.11,1,2,1,2.0,0,False,1.4,0.23,54.11,18,3,17.22,4.42,0.06,1
Cristiano Ronaldo dos Santos Aveiro,Man Utd,Arsenal,2022-09-04,True,Sub,32,0,0.15,0,0.0,1,2,0,2.3,0,False,1.2,0.14,51.9,18,3,17.22,4.42,0.06,
