name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Diego Da Silva Costa,Wolves,Chelsea,False,56,1,0.9,0,False,2.0,Wolves,True,Nottingham Forest,,
Diego Da Silva Costa,Wolves,Nottingham Forest,True,81,2,3.9,0,False,2.0,Wolves,False,Crystal Palace,3.09,0.13
Diego Da Silva Costa,Wolves,Crystal Palace,False,74,2,4.0,0,False,2.0,Wolves,True,Leeds United,-1.61,-0.79
Diego Da Silva Costa,Wolves,Leeds United,True,79,2,18.4,0,False,-1.0,Wolves,False,Brentford,-1.55,-0.55
Diego Da Silva Costa,Wolves,Brentford,False,90,-1,4.7,0,False,0.0,Wolves,True,Brighton,5.19,-0.71
Diego Da Silva Costa,Wolves,Brighton,True,0,0,0.0,0,False,0.0,Wolves,True,Arsenal,1.59,0.36
Diego Da Silva Costa,Wolves,Arsenal,True,0,0,0.0,0,False,1.0,Wolves,False,Everton,-1.05,-0.63
Diego Da Silva Costa,Wolves,Everton,False,90,1,3.1,0,True,1.0,Wolves,True,Manchester United,-0.79,0.38
Diego Da Silva Costa,Wolves,Manchester United,True,45,1,3.9,0,True,1.0,Wolves,False,Aston Villa,-2.09,0.59
Diego Da Silva Costa,Wolves,Aston Villa,False,65,1,1.0,0,True,0.0,Wolves,True,West Ham,-2.69,0.63
Diego Da Silva Costa,Wolves,West Ham,True,0,0,0.0,0,False,0.0,Wolves,False,Manchester City,-0.09,-1.26
Diego Da Silva Costa,Wolves,Manchester City,False,0,0,0.0,0,False,0.0,Wolves,True,Liverpool,0.37,-0.53
Diego Da Silva Costa,Wolves,Liverpool,True,0,0,0.0,0,False,1.0,Wolves,False,Southampton,-2.8,-1.07
Diego Da Silva Costa,Wolves,Southampton,False,31,1,2.6,0,False,1.0,Wolves,True,Bournemouth,,1.46
Diego Da Silva Costa,Wolves,Bournemouth,True,20,1,0.5,0,False,1.0,Wolves,False,Fulham,,1.37
Diego Da Silva Costa,Wolves,Fulham,False,6,1,0.1,0,False,1.0,Wolves,False,Liverpool,0.91,-1.33
Diego Da Silva Costa,Wolves,Liverpool,False,11,1,0.2,0,False,1.0,Wolves,True,Tottenham,2.05,1.07
Diego Da Silva Costa,Wolves,Tottenham,True,27,1,0.1,0,True,0.0,Wolves,False,Newcastle United,3.01,-0.34
Diego Da Silva Costa,Wolves,Newcastle United,False,0,0,0.0,0,False,0.0,Wolves,True,Leicester City,2.07,0.83
Diego Da Silva Costa,Wolves,Leicester City,True,0,0,0.0,0,False,1.0,Wolves,False,Nottingham Forest,,
Diego Da Silva Costa,Wolves,Nottingham Forest,False,25,1,1.8,0,False,2.0,Wolves,True,Chelsea,-1.03,-0.25
Diego Da Silva Costa,Wolves,Chelsea,True,62,2,2.1,0,True,9.0,Wolves,True,Brentford,3.23,0.69
Diego Da Silva Costa,Wolves,Brentford,True,72,9,13.0,3,True,1.0,Wolves,False,Leeds United,0.21,-0.8
Diego Da Silva Costa,Wolves,Leeds United,False,57,1,0.0,0,True,1.0,Wolves,True,Crystal Palace,,0.81
Diego Da Silva Costa,Wolves,Crystal Palace,True,88,1,4.7,0,True,1.0,Wolves,False,Brighton,-1.83,-0.39
Diego Da Silva Costa,Wolves,Brighton,False,45,1,0.0,0,True,1.0,Wolves,True,Aston Villa,,0.55
Diego Da Silva Costa,Wolves,Aston Villa,True,82,1,4.5,0,True,1.0,Wolves,False,Manchester United,-0.63,-0.1
Diego Da Silva Costa,Wolves,Manchester United,False,77,1,0.5,0,True,1.0,Wolves,True,Everton,-1.31,0.34
Diego Da Silva Costa,Wolves,Everton,True,20,1,2.2,0,False,0.0,Wolves,False,Arsenal,,-0.0
Diego Da Silva Costa,Wolves,Arsenal,False,0,0,0.0,0,False,0.0,Wolves,True,Manchester City,3.44,-1.17
Diego Da Silva Costa,Wolves,Manchester City,True,0,0,0.0,0,False,1.0,Wolves,False,West Ham,4.15,0.14
Diego Da Silva Costa,Wolves,West Ham,False,32,1,1.1,0,False,,Brentford,True,Tottenham,-0.15,1.07
