name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty
Nathan Butler-Oyedeji,Arsenal,Newcastle United,True,0,0,0.0,0,False,0.0,Arsenal,False,Tottenham,0.46
Nathan Butler-Oyedeji,Arsenal,Tottenham,False,0,0,0.0,0,False,0.0,Arsenal,True,Manchester United,-2.18
Nathan Butler-Oyedeji,Arsenal,Manchester United,True,0,0,0.0,0,False,0.0,Arsenal,False,Everton,1.49
Nathan Butler-Oyedeji,Arsenal,Everton,False,0,0,0.0,0,False,0.0,Arsenal,True,Brentford,-0.02
Nathan Butler-Oyedeji,Arsenal,Brentford,True,0,0,0.0,0,False,0.0,Arsenal,True,Manchester City,0.69
Nathan Butler-Oyedeji,Arsenal,Manchester City,True,0,0,0.0,0,False,0.0,Arsenal,False,Aston Villa,-0.83
Nathan Butler-Oyedeji,Arsenal,Aston Villa,False,0,0,0.0,0,False,0.0,Arsenal,False,Leeds United,-1.65
Nathan Butler-Oyedeji,Arsenal,Leeds United,False,0,0,0.0,0,False,0.0,Arsenal,True,Everton,-2.68
Nathan Butler-Oyedeji,Arsenal,Everton,True,0,0,0.0,0,False,0.0,Arsenal,True,Bournemouth,-1.36
Nathan Butler-Oyedeji,Arsenal,Bournemouth,True,0,0,0.0,0,False,0.0,Arsenal,False,Fulham,-0.97
Nathan Butler-Oyedeji,Arsenal,Fulham,False,0,0,0.0,0,False,0.0,Arsenal,True,Crystal Palace,-2.84
Nathan Butler-Oyedeji,Arsenal,Crystal Palace,True,0,0,0.0,0,False,0.0,Arsenal,True,Leicester City,-3.26
Nathan Butler-Oyedeji,Arsenal,Leicester City,True,0,0,0.0,0,False,0.0,Arsenal,False,Liverpool,0.87
Nathan Butler-Oyedeji,Arsenal,Liverpool,False,0,0,0.0,0,False,0.0,Arsenal,False,West Ham,-2.34
Nathan Butler-Oyedeji,Arsenal,West Ham,False,0,0,0.0,0,False,0.0,Arsenal,True,Southampton,-0.96
Nathan Butler-Oyedeji,Arsenal,Southampton,True,0,0,0.0,0,False,0.0,Arsenal,False,Manchester City,2.4
Nathan Butler-Oyedeji,Arsenal,Manchester City,False,0,0,0.0,0,False,0.0,Arsenal,True,Chelsea,-2.12
Nathan Butler-Oyedeji,Arsenal,Chelsea,True,0,0,0.0,0,False,0.0,Arsenal,False,Newcastle United,0.23
Nathan Butler-Oyedeji,Arsenal,Newcastle United,False,0,0,0.0,0,False,0.0,Arsenal,True,Brighton,0.58
Nathan Butler-Oyedeji,Arsenal,Brighton,True,0,0,0.0,0,False,0.0,Arsenal,False,Nottingham Forest,2.82
Nathan Butler-Oyedeji,Arsenal,Nottingham Forest,False,0,0,0.0,0,False,0.0,Arsenal,True,Wolverhampton,-2.6
Nathan Butler-Oyedeji,Arsenal,Wolverhampton,True,0,0,0.0,0,False,,Brentford,True,Tottenham,-0.38
