name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty
Michail Antonio,West Ham,Manchester City,2022-08-07,True,FW,56,0.0,0.11,0.0,0.0,1,2.0,0.0,2.0,0,False,0.0,0.0,56.0,10.0,8.0,12.77,5.77,0.05,8,West Ham,True,Fulham,-1.16
Michail Antonio,West Ham,Fulham,2022-10-09,True,Sub,10,1.0,0.5,0.0,0.0,8,2.0,0.0,6.8,3,False,1.0,0.11,33.0,10.0,8.0,12.77,5.77,0.05,1,West Ham,False,Southampton,0.62
Michail Antonio,West Ham,Southampton,2022-10-16,False,Sub,3,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,False,4.5,0.31,23.0,10.0,8.0,12.77,5.77,0.05,1,West Ham,False,Liverpool,0.54
Michail Antonio,West Ham,Liverpool,2022-10-19,False,Sub,16,0.0,0.0,0.0,0.06,1,0.0,1.0,1.4,0,False,3.33,0.2,21.25,10.0,8.0,12.77,5.77,0.05,1,West Ham,True,Bournemouth,-1.59
Michail Antonio,West Ham,Bournemouth,2022-10-24,True,Sub,16,0.0,0.0,0.0,0.0,1,0.0,0.0,0.2,0,False,2.75,0.15,20.2,10.0,8.0,12.77,5.77,0.05,1,West Ham,False,Manchester United,1.98
Michail Antonio,West Ham,Manchester United,2022-10-30,False,Sub,33,0.0,0.02,0.0,0.03,1,1.0,1.0,2.4,0,False,2.4,0.12,22.33,10.0,8.0,12.77,5.77,0.05,1,West Ham,True,Crystal Palace,1.39
Michail Antonio,West Ham,Crystal Palace,2022-11-06,True,Sub,45,0.0,0.0,0.0,0.0,1,0.0,0.0,0.6,0,False,2.4,0.1,25.57,10.0,8.0,12.77,5.77,0.05,0,West Ham,True,Leeds United,-1.15
Michail Antonio,West Ham,Leeds United,,True,,0,,,,,0,,,0.0,0,False,1.0,0.0,22.38,10.0,8.0,12.77,5.77,0.05,2,West Ham,False,Arsenal,-0.04
Michail Antonio,West Ham,Arsenal,2022-12-26,False,FW,86,0.0,0.13,0.0,0.0,2,2.0,0.0,2.6,0,True,0.8,0.0,29.44,10.0,8.0,12.77,5.77,0.05,1,West Ham,True,Brentford,1.03
Michail Antonio,West Ham,Brentford,2022-12-30,True,Sub,26,0.0,0.14,0.0,0.0,1,2.0,0.0,2.3,0,False,1.0,0.03,29.1,10.0,8.0,12.77,5.77,0.05,1,West Ham,False,Leicester City,-1.62
Michail Antonio,West Ham,Leicester City,2023-01-04,False,Sub,22,0.0,0.0,0.0,0.0,1,0.0,0.0,0.4,0,False,1.0,0.06,28.45,10.0,8.0,12.77,5.77,0.05,2,West Ham,False,Nottingham Forest,2.77
Michail Antonio,West Ham,Nottingham Forest,2022-08-14,False,FW,68,0.0,0.23,0.0,0.04,2,2.0,2.0,4.3,0,False,1.0,0.05,31.75,10.0,8.0,12.77,5.77,0.05,2,West Ham,False,Wolverhampton,1.36
Michail Antonio,West Ham,Wolverhampton,2023-01-14,False,FW,90,0.0,0.08,0.0,0.05,2,2.0,1.0,3.5,0,True,1.2,0.1,36.23,10.0,8.0,12.77,5.77,0.05,5,West Ham,True,Everton,-1.58
Michail Antonio,West Ham,Everton,2023-01-21,True,FW,71,0.0,0.06,1.0,0.65,5,1.0,2.0,6.3,0,True,1.6,0.11,38.71,10.0,8.0,12.77,5.77,0.05,2,West Ham,False,Newcastle United,-0.16
Michail Antonio,West Ham,Newcastle United,2023-02-04,False,FW,80,0.0,0.05,0.0,0.0,2,1.0,0.0,1.3,0,True,2.2,0.3,41.47,10.0,8.0,12.77,5.77,0.05,2,West Ham,True,Chelsea,-2.62
Michail Antonio,West Ham,Chelsea,2023-02-11,True,FW,66,0.0,0.29,0.0,0.06,2,2.0,1.0,7.2,0,True,2.4,0.28,43.0,10.0,8.0,12.77,5.77,0.05,1,West Ham,False,Tottenham,1.24
Michail Antonio,West Ham,Tottenham,2023-02-19,False,FW,71,0.0,0.0,0.0,0.06,1,0.0,1.0,1.8,0,True,2.6,0.34,44.65,10.0,8.0,12.77,5.77,0.05,5,West Ham,True,Nottingham Forest,-3.27
Michail Antonio,West Ham,Nottingham Forest,2023-02-25,True,Sub,6,1.0,0.61,0.0,0.0,5,1.0,0.0,6.6,0,False,2.4,0.3,42.5,10.0,8.0,12.77,5.77,0.05,0,West Ham,False,Brighton,0.97
Michail Antonio,West Ham,Brighton,,False,,0,,,,,0,,,0.0,0,False,3.0,0.4,40.26,10.0,8.0,12.77,5.77,0.05,0,West Ham,True,Aston Villa,-0.86
