name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty
Antoine Semenyo,Bournemouth,Brighton,2023-02-04,False,FW,90,0.0,0.23,0.0,0.0,2,1.0,0.0,1.3,0,True,0.0,0.0,90.0,0,0,0,0,0,1,Bournemouth,True,Newcastle United,
Antoine Semenyo,Bournemouth,Newcastle United,2023-02-11,True,Sub,11,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,False,2.0,0.23,50.5,0,0,0,0,0,1,Bournemouth,False,Wolverhampton,
Antoine Semenyo,Bournemouth,Wolverhampton,2023-02-18,False,Sub,32,0.0,0.0,0.0,0.04,1,0.0,1.0,1.3,0,False,1.5,0.11,44.33,0,0,0,0,0,0,Bournemouth,True,Manchester City,
Antoine Semenyo,Bournemouth,Manchester City,,True,,0,,,,,0,,,0.0,0,False,1.33,0.08,33.25,0,0,0,0,0,2,Bournemouth,False,Arsenal,
Antoine Semenyo,Bournemouth,Arsenal,2023-03-04,False,ML,63,0.0,0.0,0.0,0.0,2,0.0,0.0,0.9,0,True,1.0,0.06,39.2,0,0,0,0,0,1,Bournemouth,True,Liverpool,
Antoine Semenyo,Bournemouth,Liverpool,2023-03-11,True,Sub,2,0.0,0.05,0.0,0.0,1,1.0,0.0,0.5,0,False,1.2,0.05,33.0,0,0,0,0,0,1,Bournemouth,False,Aston Villa,
Antoine Semenyo,Bournemouth,Aston Villa,2023-03-18,False,Sub,31,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,False,1.0,0.01,32.71,0,0,0,0,0,1,Bournemouth,True,Fulham,
Antoine Semenyo,Bournemouth,Fulham,2023-04-01,True,Sub,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,False,1.0,0.01,28.75,0,0,0,0,0,1,Bournemouth,True,Brighton,
Antoine Semenyo,Bournemouth,Brighton,2023-04-04,True,Sub,5,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,False,1.0,0.01,26.11,0,0,0,0,0,1,Bournemouth,False,Leeds United,
Antoine Semenyo,Bournemouth,Leeds United,2023-04-08,False,Sub,2,0.0,0.0,0.0,0.0,1,0.0,0.0,0.2,0,False,1.2,0.01,23.7,0,0,0,0,0,0,Bournemouth,False,Tottenham,
Antoine Semenyo,Bournemouth,Tottenham,,False,,0,,,,,0,,,0.0,0,False,1.0,0.01,21.55,0,0,0,0,0,0,Bournemouth,True,West Ham,
Antoine Semenyo,Bournemouth,West Ham,,True,,0,,,,,0,,,0.0,0,False,0.8,0.0,19.75,0,0,0,0,0,0,Bournemouth,False,Southampton,
Antoine Semenyo,Bournemouth,Southampton,,False,,0,,,,,0,,,0.0,0,False,0.6,0.0,18.23,0,0,0,0,0,6,Bournemouth,True,Leicester City,
Antoine Semenyo,Bournemouth,Leicester City,2023-04-30,True,Sub,7,1.0,0.09,0.0,0.0,6,1.0,0.0,5.0,1,False,0.4,0.0,17.43,0,0,0,0,0,1,Bournemouth,True,Chelsea,
Antoine Semenyo,Bournemouth,Chelsea,2023-05-06,True,Sub,6,0.0,0.0,0.0,0.04,1,0.0,1.0,1.3,0,False,1.4,0.02,16.67,0,0,0,0,0,0,Bournemouth,False,Crystal Palace,
Antoine Semenyo,Bournemouth,Crystal Palace,,False,,0,,,,,0,,,0.0,0,False,1.4,0.02,15.62,0,0,0,0,0,0,Bournemouth,True,Manchester United,
Antoine Semenyo,Bournemouth,Manchester United,,True,,0,,,,,0,,,0.0,0,False,1.4,0.02,14.71,0,0,0,0,0,0,Bournemouth,False,Everton,
Antoine Semenyo,Bournemouth,Everton,,False,,0,,,,,0,,,0.0,0,False,1.4,0.02,13.89,0,0,0,0,0,4,Bournemouth,True,West Ham,
