name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty
Richarlison de Andrade,Spurs,Southampton,True,0,0,0.0,0,False,1.0,Spurs,False,Brighton,0.26
Richarlison de Andrade,Spurs,Brighton,False,20,1,0.2,0,False,1.0,Spurs,True,Everton,-2.75
Richarlison de Andrade,Spurs,Everton,True,51,1,2.0,0,False,0.0,Spurs,False,Manchester United,2.48
Richarlison de Andrade,Spurs,Manchester United,False,0,0,0.0,0,False,0.0,Spurs,True,Newcastle United,-2.91
Richarlison de Andrade,Spurs,Newcastle United,True,0,0,0.0,0,False,0.0,Spurs,False,Bournemouth,-2.08
Richarlison de Andrade,Spurs,Bournemouth,False,0,0,0.0,0,False,0.0,Spurs,True,Liverpool,-0.19
Richarlison de Andrade,Spurs,Liverpool,True,0,0,0.0,0,False,2.0,Spurs,True,Leicester City,-1.16
Richarlison de Andrade,Spurs,Leicester City,True,68,2,5.8,0,True,0.0,Spurs,False,Brentford,1.03
Richarlison de Andrade,Spurs,Brentford,False,0,0,0.0,0,False,0.0,Spurs,True,Aston Villa,1.75
Richarlison de Andrade,Spurs,Aston Villa,True,0,0,0.0,0,False,0.0,Spurs,False,Crystal Palace,0.96
Richarlison de Andrade,Spurs,Crystal Palace,False,0,0,0.0,0,False,1.0,Spurs,False,Chelsea,1.82
Richarlison de Andrade,Spurs,Chelsea,False,33,1,0.1,0,False,1.0,Spurs,True,Arsenal,-0.34
Richarlison de Andrade,Spurs,Arsenal,True,19,1,2.3,0,False,1.0,Spurs,False,Manchester City,-0.2
Richarlison de Andrade,Spurs,Manchester City,False,12,1,0.8,0,False,1.0,Spurs,False,Fulham,1.2
Richarlison de Andrade,Spurs,Fulham,False,14,1,0.1,0,False,0.0,Spurs,True,Manchester City,-0.27
Richarlison de Andrade,Spurs,Manchester City,True,0,0,0.0,0,False,1.0,Spurs,False,Leeds United,1.25
Richarlison de Andrade,Spurs,Leeds United,False,15,1,0.2,0,False,2.0,Spurs,True,West Ham,0.26
Richarlison de Andrade,Spurs,West Ham,True,67,2,7.2,0,True,2.0,Spurs,True,Chelsea,2.8
Richarlison de Andrade,Spurs,Chelsea,True,88,2,2.8,0,True,1.0,Spurs,False,Wolverhampton,0.79
Richarlison de Andrade,Spurs,Wolverhampton,False,5,1,0.0,0,False,9.0,Spurs,True,Nottingham Forest,-0.6
Richarlison de Andrade,Spurs,Nottingham Forest,True,83,9,7.3,1,True,1.0,Spurs,False,Southampton,-0.37
Richarlison de Andrade,Spurs,Southampton,False,4,1,0.0,0,True,0.0,Spurs,False,Everton,0.55
Richarlison de Andrade,Spurs,Everton,False,0,0,0.0,0,False,1.0,Spurs,True,Wolverhampton,2.72
Richarlison de Andrade,Spurs,Wolverhampton,True,14,1,1.1,0,False,0.0,Spurs,True,Brighton,-0.2
Richarlison de Andrade,Spurs,Brighton,True,0,0,0.0,0,False,1.0,Spurs,True,Bournemouth,-1.78
Richarlison de Andrade,Spurs,Bournemouth,True,13,1,0.5,0,False,1.0,Spurs,False,Newcastle United,4.3
Richarlison de Andrade,Spurs,Newcastle United,False,7,1,1.9,0,False,2.0,Spurs,True,Manchester United,-0.02
Richarlison de Andrade,Spurs,Manchester United,True,60,2,0.0,0,True,4.0,Spurs,False,Liverpool,0.68
Richarlison de Andrade,Spurs,Liverpool,False,6,4,5.0,0,False,2.0,Spurs,True,Crystal Palace,-2.03
Richarlison de Andrade,Spurs,Crystal Palace,True,78,2,1.7,0,True,2.0,Spurs,False,Aston Villa,-2.16
Richarlison de Andrade,Spurs,Aston Villa,False,61,2,0.0,0,True,1.0,Spurs,True,Brentford,-1.31
Richarlison de Andrade,Spurs,Brentford,True,15,1,9.5,0,False,1.0,Spurs,False,Leicester City,-4.57
Richarlison de Andrade,Spurs,Leicester City,False,14,1,0.0,0,False,4.0,Spurs,False,Nottingham Forest,-3.55
Richarlison de Andrade,Spurs,Nottingham Forest,False,16,4,6.2,0,False,0.0,Spurs,False,West Ham,2.47
Richarlison de Andrade,Spurs,West Ham,False,14,0,1.6,0,False,5.0,Spurs,True,Fulham,-2.03
Richarlison de Andrade,Spurs,Fulham,True,90,5,14.0,1,False,1.0,Spurs,True,Leeds United,-3.41
Richarlison de Andrade,Spurs,Leeds United,True,58,1,3.5,0,False,5.0,Spurs,False,Arsenal,1.92
Richarlison de Andrade,Spurs,Arsenal,False,70,5,4.8,0,False,,Sheffield Utd,True,Brighton,
