name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty
Liam Delap,Man City,West Ham,False,0,0,0.0,0,False,0.0,Man City,True,Southampton,-3.23
Liam Delap,Man City,Southampton,True,0,0,0.0,0,False,0.0,Man City,False,Liverpool,0.57
Liam Delap,Man City,Liverpool,False,0,0,0.0,0,False,0.0,Man City,True,Brighton,-2.1
Liam Delap,Man City,Brighton,True,0,0,0.0,0,False,0.0,Man City,False,Leeds United,-0.19
Liam Delap,Man City,Leeds United,False,0,0,0.0,0,False,0.0,Man City,True,Fulham,-1.5
Liam Delap,Man City,Fulham,True,0,0,0.0,0,False,0.0,Man City,True,Brentford,0.69
Liam Delap,Man City,Brentford,True,0,0,0.0,0,False,0.0,Man City,False,Leicester City,-3.74
Liam Delap,Man City,Leicester City,False,0,0,0.0,0,False,0.0,Man City,True,Everton,-1.11
Liam Delap,Man City,Everton,True,0,0,0.0,0,False,0.0,Man City,False,Chelsea,-0.75
Liam Delap,Man City,Chelsea,False,0,0,0.0,0,False,0.0,Man City,True,Bournemouth,-4.45
Liam Delap,Man City,Bournemouth,True,0,0,0.0,0,False,0.0,Man City,False,Manchester United,-1.52
Liam Delap,Man City,Manchester United,False,0,0,0.0,0,False,0.0,Man City,True,Tottenham,1.5
Liam Delap,Man City,Tottenham,True,0,0,0.0,0,False,0.0,Man City,True,Wolverhampton,-3.86
Liam Delap,Man City,Wolverhampton,True,0,0,0.0,0,False,0.0,Man City,False,Tottenham,0.04
Liam Delap,Man City,Tottenham,False,0,0,0.0,0,False,0.0,Man City,True,Aston Villa,-1.8
Liam Delap,Man City,Aston Villa,True,0,0,0.0,0,False,0.0,Man City,False,Arsenal,-1.52
Liam Delap,Man City,Arsenal,False,0,0,0.0,0,False,0.0,Man City,False,Nottingham Forest,0.39
Liam Delap,Man City,Nottingham Forest,False,0,0,0.0,0,False,0.0,Man City,False,Bournemouth,-2.29
Liam Delap,Man City,Bournemouth,False,0,0,0.0,0,False,0.0,Man City,True,Newcastle United,-3.3
Liam Delap,Man City,Newcastle United,True,0,0,0.0,0,False,0.0,Man City,False,Crystal Palace,-1.0
Liam Delap,Man City,Crystal Palace,False,0,0,0.0,0,False,0.0,Man City,True,Liverpool,-1.11
Liam Delap,Man City,Liverpool,True,0,0,0.0,0,False,0.0,Man City,False,Newcastle United,-1.93
Liam Delap,Man City,Newcastle United,False,0,0,0.0,0,False,0.0,Man City,False,Southampton,0.6
Liam Delap,Man City,Southampton,False,0,0,0.0,0,False,0.0,Man City,True,Leeds United,-0.16
Liam Delap,Man City,Leeds United,True,0,0,0.0,0,False,0.0,Man City,True,Arsenal,-3.0
Liam Delap,Man City,Arsenal,True,0,0,0.0,0,False,0.0,Man City,False,Fulham,-3.19
Liam Delap,Man City,Fulham,False,0,0,0.0,0,False,0.0,Man City,True,West Ham,-1.87
Liam Delap,Man City,West Ham,True,0,0,0.0,0,False,0.0,Man City,True,Leicester City,-3.61
Liam Delap,Man City,Leicester City,True,0,0,0.0,0,False,0.0,Man City,False,Everton,-2.05
Liam Delap,Man City,Everton,False,0,0,0.0,0,False,0.0,Man City,True,Chelsea,-0.63
Liam Delap,Man City,Chelsea,True,0,0,0.0,0,False,0.0,Man City,False,Brighton,-3.49
Liam Delap,Man City,Brighton,False,0,0,0.0,0,False,0.0,Man City,False,Brentford,-1.08
Liam Delap,Man City,Brentford,False,0,0,0.0,0,False,0.0,Man City,True,Crystal Palace,1.84
Liam Delap,Man City,Crystal Palace,True,0,0,0.0,0,False,0.0,Man City,True,Nottingham Forest,-4.8
Liam Delap,Man City,Nottingham Forest,True,0,0,0.0,0,False,0.0,Man City,False,Aston Villa,0.61
Liam Delap,Man City,Aston Villa,False,0,0,0.0,0,False,0.0,Man City,False,Wolverhampton,-1.76
Liam Delap,Man City,Wolverhampton,False,0,0,0.0,0,False,0.0,Man City,True,Manchester United,-1.86
Liam Delap,Man City,Manchester United,True,0,0,0.0,0,False,,Chelsea,True,Liverpool,-0.16
