name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty
Harry Kane,Spurs,Southampton,2022-08-06,True,FW,90,0,0.14,0,0.24,2,2,2,7.1,0,False,0.0,0.0,90.0,17.0,9.0,20.69,9.83,0.06,7,Spurs,False,Brighton,0.26
Harry Kane,Spurs,Brighton,2022-10-08,False,FW,89,1,0.62,0,0.01,7,4,1,8.1,2,False,2.0,0.14,89.5,17.0,9.0,20.69,9.83,0.06,9,Spurs,True,Everton,-2.75
Harry Kane,Spurs,Everton,2022-10-15,True,FW,90,1,1.4,0,0.41,9,7,3,21.9,3,False,4.5,0.38,89.67,17.0,9.0,20.69,9.83,0.06,2,Spurs,False,Manchester United,2.48
Harry Kane,Spurs,Manchester United,2022-10-19,False,FW,90,0,0.49,0,0.03,2,3,1,9.1,0,False,6.0,0.72,89.75,17.0,9.0,20.69,9.83,0.06,8,Spurs,True,Newcastle United,-2.91
Harry Kane,Spurs,Newcastle United,2022-10-23,True,FW,90,1,0.72,0,0.46,8,5,3,16.4,2,False,5.0,0.66,89.8,17.0,9.0,20.69,9.83,0.06,1,Spurs,False,Bournemouth,-2.08
Harry Kane,Spurs,Bournemouth,2022-10-29,False,FW,90,0,0.6,0,0.02,1,3,1,6.3,0,False,5.6,0.68,89.83,17.0,9.0,20.69,9.83,0.06,8,Spurs,True,Liverpool,-0.19
Harry Kane,Spurs,Liverpool,2022-11-06,True,FW,90,1,0.16,0,0.04,8,3,1,8.2,2,False,5.4,0.77,89.86,17.0,9.0,20.69,9.83,0.06,11,Spurs,True,Leicester City,-1.16
Harry Kane,Spurs,Leicester City,2022-11-12,True,FW,90,1,0.67,0,0.37,11,3,2,10.7,2,True,5.6,0.68,89.88,17.0,9.0,20.69,9.83,0.06,7,Spurs,False,Brentford,1.03
Harry Kane,Spurs,Brentford,2022-12-26,False,FW,90,1,0.39,0,0.0,7,5,0,9.3,1,True,6.0,0.53,89.89,17.0,9.0,20.69,9.83,0.06,2,Spurs,True,Aston Villa,1.75
Harry Kane,Spurs,Aston Villa,2023-01-01,True,FW,90,0,0.12,0,0.0,2,2,0,2.9,0,True,7.0,0.51,89.9,17.0,9.0,20.69,9.83,0.06,16,Spurs,False,Crystal Palace,0.96
