name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,selected,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty,recent_minutes_3g,recent_minutes_5g,adjusted_fixture_difficulty
Christopher Nkunku,Chelsea,Manchester City,2024-08-18,True,57.0,0.0,0.13,0.0,0.03,1.0,1.0,1.0,3.4,0.0,1.0,1446069.0,1.0,0.13,57.0,1.0,Chelsea,False,Wolverhampton,,-0.53,57.0,57.0,
Christopher Nkunku,Chelsea,Wolverhampton,2024-08-25,False,7.0,0.0,0.0,0.0,0.11,1.0,0.0,1.0,1.4,0.0,0.0,1472829.0,1.0,0.06,32.0,1.0,Chelsea,True,Crystal Palace,,0.88,64.0,64.0,
Christopher Nkunku,Chelsea,Crystal Palace,2024-09-01,True,4.0,0.0,0.0,0.0,0.06,1.0,0.0,1.0,1.8,0.0,0.0,764722.0,1.0,0.04,22.67,7.0,Chelsea,False,Bournemouth,,-0.04,68.0,68.0,
Christopher Nkunku,Chelsea,Bournemouth,2024-09-14,False,11.0,1.0,0.45,0.0,0.0,7.0,1.0,0.0,5.4,1.0,0.0,485267.0,2.5,0.15,19.75,1.0,Chelsea,False,West Ham,,-0.34,22.0,79.0,
Christopher Nkunku,Chelsea,West Ham,2024-09-21,False,26.0,0.0,0.59,0.0,0.0,1.0,1.0,0.0,4.2,0.0,0.0,488660.0,2.2,0.23,21.0,1.0,Chelsea,True,Brighton,,-0.42,41.0,105.0,
Christopher Nkunku,Chelsea,Brighton,2024-09-28,True,11.0,0.0,0.0,0.0,0.07,1.0,0.0,1.0,1.3,0.0,0.0,414287.0,2.2,0.21,19.33,1.0,Chelsea,True,Nottingham Forest,,1.2,48.0,59.0,
Christopher Nkunku,Chelsea,Nottingham Forest,2024-10-06,True,9.0,0.0,0.67,0.0,0.0,1.0,1.0,0.0,2.7,0.0,0.0,353301.0,2.2,0.34,17.86,1.0,Chelsea,False,Liverpool,,-1.08,46.0,61.0,
Christopher Nkunku,Chelsea,Liverpool,2024-10-20,False,14.0,0.0,0.05,0.0,0.0,1.0,1.0,0.0,0.8,0.0,0.0,319440.0,2.2,0.35,17.38,0.0,Chelsea,True,Newcastle United,,0.67,34.0,71.0,
Christopher Nkunku,Chelsea,Newcastle United,2024-10-27,True,12.0,0.0,0.2,0.0,0.0,0.0,2.0,0.0,1.4,0.0,0.0,303846.0,0.8,0.3,16.78,0.0,Chelsea,False,Manchester United,,-0.41,35.0,72.0,
Christopher Nkunku,Chelsea,Manchester United,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,282171.0,0.6,0.19,15.1,1.0,Chelsea,True,Arsenal,,-0.32,26.0,46.0,
Christopher Nkunku,Chelsea,Arsenal,2024-11-10,True,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,268857.0,0.6,0.19,13.91,,Chelsea,False,Leicester City,,-0.22,14.0,37.0,
Christopher Nkunku,Chelsea,,,,,,,,,,,,,,,,,,,,Chelsea,True,Aston Villa,,0.66,2.0,28.0,
Christopher Nkunku,Chelsea,,,,,,,,,,,,,,,,,,,,Chelsea,False,Southampton,,-0.31,2.0,14.0,
