name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,selected,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty,recent_minutes_3g,recent_minutes_5g,adjusted_fixture_difficulty
Enzo Barrenechea,Aston Villa,West Ham,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,4608.0,0.0,0.0,0.0,0.0,Aston Villa,True,Arsenal,,-0.32,0.0,0.0,
Enzo Barrenechea,Aston Villa,Arsenal,2024-08-24,True,0.0,0.0,0.52,0.0,0.02,0.0,1.0,1.0,0.0,0.0,0.0,5246.0,0.0,0.26,0.0,0.0,Aston Villa,False,Leicester City,,-0.22,0.0,0.0,
Enzo Barrenechea,Aston Villa,Leicester City,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,5012.0,0.0,0.17,0.0,0.0,Aston Villa,True,Everton,,0.61,0.0,0.0,
Enzo Barrenechea,Aston Villa,Everton,2024-09-14,True,0.0,1.0,0.61,0.0,0.03,0.0,2.0,1.0,0.0,0.0,0.0,3303.0,0.0,0.28,0.0,0.0,Aston Villa,True,Wolverhampton,,-0.08,0.0,0.0,
Enzo Barrenechea,Aston Villa,Wolverhampton,2024-09-21,True,0.0,0.0,0.66,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2950.0,0.0,0.36,0.0,0.0,Aston Villa,False,Ipswich Town,,,0.0,0.0,
Enzo Barrenechea,Aston Villa,Ipswich Town,2024-09-29,False,0.0,0.0,0.15,0.0,0.05,0.0,3.0,1.0,0.0,0.0,0.0,2681.0,0.0,0.39,0.0,0.0,Aston Villa,True,Manchester United,,0.39,0.0,0.0,
Enzo Barrenechea,Aston Villa,Manchester United,2024-10-06,True,0.0,0.0,0.07,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2491.0,0.0,0.3,0.0,0.0,Aston Villa,False,Fulham,,0.53,0.0,0.0,
Enzo Barrenechea,Aston Villa,Fulham,2024-10-19,False,0.0,1.0,0.54,0.0,0.05,0.0,8.0,2.0,0.0,0.0,0.0,2388.0,0.0,0.41,0.0,0.0,Aston Villa,True,Bournemouth,,0.84,0.0,0.0,
Enzo Barrenechea,Aston Villa,Bournemouth,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,2345.0,0.0,0.28,0.0,0.0,Aston Villa,False,Tottenham,,-0.3,0.0,0.0,
Enzo Barrenechea,Aston Villa,Tottenham,2024-11-03,False,0.0,0.0,0.51,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2288.0,0.0,0.25,0.0,0.0,Aston Villa,False,Liverpool,,-1.08,0.0,0.0,
Enzo Barrenechea,Aston Villa,Liverpool,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,2249.0,0.0,0.22,0.0,,Aston Villa,True,Crystal Palace,,0.88,0.0,0.0,
Enzo Barrenechea,Aston Villa,,,,,,,,,,,,,,,,,,,,Aston Villa,False,Chelsea,,-0.9,0.0,0.0,
Enzo Barrenechea,Aston Villa,,,,,,,,,,,,,,,,,,,,Aston Villa,True,Brentford,,0.54,0.0,0.0,
