name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,selected,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty,recent_minutes_3g,recent_minutes_5g,adjusted_fixture_difficulty
Matt O'Riley,Brighton,Arsenal,2024-08-31,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0,0.0,Brighton,True,Ipswich Town,,,0.0,0.0,
Matt O'Riley,Brighton,Ipswich Town,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,382.0,0.0,0.0,0.0,0.0,Brighton,True,Nottingham Forest,,1.2,0.0,0.0,
Matt O'Riley,Brighton,Nottingham Forest,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,395.0,0.0,0.0,0.0,0.0,Brighton,False,Chelsea,,-0.9,0.0,0.0,
Matt O'Riley,Brighton,Chelsea,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,379.0,0.0,0.0,0.0,0.0,Brighton,True,Tottenham,,0.74,0.0,0.0,
Matt O'Riley,Brighton,Tottenham,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,372.0,0.0,0.0,0.0,0.0,Brighton,False,Newcastle United,,-0.44,0.0,0.0,
Matt O'Riley,Brighton,Newcastle United,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,412.0,0.0,0.0,0.0,0.0,Brighton,True,Wolverhampton,,-0.08,0.0,0.0,
Matt O'Riley,Brighton,Wolverhampton,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,402.0,0.0,0.0,0.0,0.0,Brighton,False,Liverpool,,-1.08,0.0,0.0,
Matt O'Riley,Brighton,Liverpool,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,430.0,0.0,0.0,0.0,8.0,Brighton,True,Manchester City,,-1.18,0.0,0.0,
Matt O'Riley,Brighton,Manchester City,2024-11-09,True,33.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5.5,2.0,0.0,498.0,1.6,0.0,3.67,,Brighton,False,Bournemouth,,-0.04,33.0,33.0,
Matt O'Riley,Brighton,,,,,,,,,,,,,,,,,,,,Brighton,True,Southampton,,0.24,33.0,33.0,
Matt O'Riley,Brighton,,,,,,,,,,,,,,,,,,,,Brighton,False,Fulham,,0.53,33.0,33.0,
