name,position_x,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,starts,total_points,was_home,goals,shots,xG,time,position_y,date,xA,assists,key_passes,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Adam Smith,DEF,Bournemouth,0,0,0.0,0,0.0,2023-08-12,0,West Ham,0,0,0,True,,,,,,,,,,0.0,0.0,0.0,0.0,0.97,1.41,31.78,0.23,1,Bournemouth,True,Burnley,,0.39
Adam Smith,DEF,Bournemouth,0,0,0.6,0,0.2,2023-10-28,5,Burnley,0,0,1,True,0.0,0.0,0.0,2.0,Sub,2023-10-28,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.97,1.41,31.78,0.23,0,Bournemouth,False,Manchester City,1.61,-1.32
Adam Smith,DEF,Bournemouth,0,0,0.0,0,0.0,2023-11-04,0,Manchester City,0,0,0,False,,,,,,,,,,0.5,0.0,1.67,0.0,0.97,1.41,31.78,0.23,1,Bournemouth,True,Newcastle United,-1.09,0.55
Adam Smith,DEF,Bournemouth,0,0,0.21,0,0.3,2023-11-11,22,Newcastle United,0,0,1,True,0.0,0.0,0.0,16.0,Sub,2023-11-11,0.0,0.0,0.0,0.33,0.0,6.75,0.0,0.97,1.41,31.78,0.23,5,Bournemouth,False,Sheffield,,-0.61
Adam Smith,DEF,Bournemouth,0,0,0.81,1,4.9,2023-11-25,90,Sheffield,0,1,5,False,0.0,0.0,0.0,90.0,DR,2023-11-25,0.52,1.0,2.0,0.5,0.0,23.4,0.0,0.97,1.41,31.78,0.23,1,Bournemouth,True,Aston Villa,-2.77,0.64
Adam Smith,DEF,Bournemouth,0,0,0.68,2,1.6,2023-12-03,90,Aston Villa,0,1,1,True,0.0,0.0,0.0,90.0,DR,2023-12-03,0.0,0.0,0.0,1.4,0.2,34.5,0.0,0.97,1.41,31.78,0.23,6,Bournemouth,False,Crystal Palace,3.33,0.38
Adam Smith,DEF,Bournemouth,0,1,0.84,0,5.6,2023-12-06,90,Crystal Palace,0,1,6,False,0.0,0.0,0.0,90.0,DR,2023-12-06,0.04,0.0,1.0,1.6,0.2,42.43,0.33,0.97,1.41,31.78,0.23,6,Bournemouth,False,Manchester United,2.68,-0.63
Adam Smith,DEF,Bournemouth,0,1,1.16,0,1.6,2023-12-09,90,Manchester United,0,1,6,False,0.0,0.0,0.0,90.0,DR,2023-12-09,0.0,0.0,0.0,2.6,0.2,48.38,0.5,0.97,1.41,31.78,0.23,4,Bournemouth,False,Nottingham Forest,-0.1,-0.55
Adam Smith,DEF,Bournemouth,0,0,0.75,2,7.8,2023-12-23,90,Nottingham Forest,0,1,4,False,0.0,0.0,0.0,90.0,DR,2023-12-23,0.06,1.0,2.0,3.8,0.2,53.0,0.4,0.97,1.41,31.78,0.23,6,Bournemouth,True,Fulham,-2.88,-0.13
Adam Smith,DEF,Bournemouth,0,1,0.28,0,1.1,2023-12-26,90,Fulham,0,1,6,True,0.0,0.0,0.0,90.0,DR,2023-12-26,0.0,0.0,0.0,4.4,0.4,56.7,0.5,0.97,1.41,31.78,0.23,0,Bournemouth,False,Liverpool,7.33,-1.01
Adam Smith,DEF,Bournemouth,0,0,0.0,0,0.0,2023-08-19,0,Liverpool,0,0,0,False,,,,,,,,,,4.6,0.2,51.55,0.5,0.97,1.41,31.78,0.23,1,Bournemouth,False,Tottenham,-1.42,-0.36
Adam Smith,DEF,Bournemouth,0,0,1.79,3,2.4,2023-12-31,81,Tottenham,0,1,1,False,0.0,0.0,0.0,90.0,DR,2023-12-31,0.01,0.0,1.0,4.4,0.2,54.0,0.43,0.97,1.41,31.78,0.23,0,Bournemouth,True,Liverpool,-2.32,0.18
Adam Smith,DEF,Bournemouth,0,0,0.0,0,0.0,2024-01-21,0,Liverpool,0,0,0,True,,,,,,,,,,3.4,0.2,49.85,0.43,0.97,1.41,31.78,0.23,2,Bournemouth,False,West Ham,2.67,-0.22
Adam Smith,DEF,Bournemouth,0,0,1.31,1,1.6,2024-02-01,90,West Ham,0,1,2,False,0.0,0.0,0.0,90.0,DR,2024-02-01,0.0,0.0,0.0,2.2,0.2,52.71,0.38,0.97,1.41,31.78,0.23,2,Bournemouth,True,Nottingham Forest,0.51,1.55
Adam Smith,DEF,Bournemouth,0,0,0.56,1,1.4,2024-02-04,90,Nottingham Forest,0,1,2,True,0.0,0.0,0.0,90.0,DR,2024-02-04,0.0,0.0,0.0,1.8,0.0,55.2,0.33,0.97,1.41,31.78,0.23,0,Bournemouth,False,Fulham,-1.43,0.86
Adam Smith,DEF,Bournemouth,0,0,1.55,3,0.2,2024-02-10,84,Fulham,0,1,0,False,0.0,0.0,0.0,90.0,DR,2024-02-10,0.0,0.0,0.0,1.0,0.0,57.0,0.3,0.97,1.41,31.78,0.23,1,Bournemouth,False,Newcastle United,-1.45,-0.41
Adam Smith,DEF,Bournemouth,0,0,2.26,2,0.4,2024-02-17,90,Newcastle United,0,1,1,False,0.0,0.0,0.0,90.0,DR,2024-02-17,0.0,0.0,0.0,1.0,0.0,58.94,0.27,0.97,1.41,31.78,0.23,2,Bournemouth,True,Manchester City,1.02,-0.96
Adam Smith,DEF,Bournemouth,0,0,1.64,1,1.9,2024-02-24,90,Manchester City,0,1,2,True,0.0,0.0,0.0,90.0,DR,2024-02-24,0.0,0.0,0.0,1.0,0.0,60.67,0.25,0.97,1.41,31.78,0.23,5,Bournemouth,False,Burnley,,0.0
Adam Smith,DEF,Bournemouth,0,1,1.53,0,1.3,2024-03-03,90,Burnley,0,1,5,False,0.0,0.0,0.0,90.0,DR,2024-03-03,0.0,0.0,0.0,1.4,0.0,62.21,0.31,0.97,1.41,31.78,0.23,0,Bournemouth,True,Sheffield,,0.68
Adam Smith,DEF,Bournemouth,0,0,1.27,2,3.8,2024-03-09,73,Sheffield,0,1,0,True,0.0,1.0,0.02,78.0,DR,2024-03-09,0.05,0.0,1.0,2.0,0.0,62.75,0.29,0.97,1.41,31.78,0.23,0,Bournemouth,True,Luton,,
Adam Smith,DEF,Bournemouth,0,0,2.06,3,4.1,2024-03-13,70,Luton,0,1,0,True,0.0,0.0,0.0,74.0,DR,2024-03-13,0.1,0.0,2.0,1.6,0.0,63.1,0.27,0.97,1.41,31.78,0.23,0,Bournemouth,True,Tottenham,1.6,0.69
Adam Smith,DEF,Bournemouth,0,0,0.0,0,0.0,2023-08-26,0,Tottenham,0,0,0,True,,,,,,,,,,1.6,0.0,60.23,0.27,0.97,1.41,31.78,0.23,5,Bournemouth,True,Everton,-5.04,0.53
Adam Smith,DEF,Bournemouth,0,0,1.12,1,0.8,2024-03-30,90,Everton,0,1,5,True,0.0,0.0,0.0,90.0,DR,2024-03-30,0.0,0.0,0.0,1.4,0.0,61.52,0.25,0.97,1.41,31.78,0.23,9,Bournemouth,True,Crystal Palace,3.26,0.88
