name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_clean_sheet_probability,last_season_expected_goals_conceded,next_week_points
Joël Veltman,Brighton,Luton,2023-08-12,True,11,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,0,1,1.04,0,1.0,0.0,11.0,0.0,1.34,1.03,0.42,16.4,1.0
Joël Veltman,Brighton,Wolverhampton,2023-08-19,False,33,0.0,0.0,0.0,0.0,1,0.0,0.0,1.6,0,0,1,1.15,0,1.0,0.0,22.0,0.0,1.34,1.03,0.42,16.4,4.0
Joël Veltman,Brighton,West Ham,2023-08-26,True,18,0.0,0.05,1.0,0.03,4,1.0,1.0,4.9,0,0,0,0.53,0,2.0,0.35,20.67,0.0,1.34,1.03,0.42,16.4,2.0
Joël Veltman,Brighton,Newcastle United,2023-09-02,True,90,0.0,0.0,0.0,0.0,2,0.0,0.0,0.7,0,0,1,1.3,1,2.0,0.26,38.0,0.0,1.34,1.03,0.42,16.4,2.0
Joël Veltman,Brighton,Manchester United,2023-09-16,False,90,0.0,0.0,0.0,0.0,2,0.0,0.0,3.5,0,0,1,0.96,1,2.0,0.21,48.4,0.0,1.34,1.03,0.42,16.4,1.0
Joël Veltman,Brighton,Bournemouth,2023-09-24,True,90,0.0,0.0,0.0,0.0,1,0.0,0.0,2.7,0,0,1,1.37,1,2.0,0.21,55.33,0.0,1.34,1.03,0.42,16.4,-1.0
Joël Veltman,Brighton,Aston Villa,2023-09-30,False,90,0.0,0.0,0.0,0.41,-1,0.0,1.0,3.6,0,0,6,1.58,1,1.6,0.21,60.29,0.0,1.34,1.03,0.42,16.4,1.0
Joël Veltman,Brighton,Liverpool,2023-10-08,True,90,0.0,0.0,0.0,0.0,1,0.0,0.0,0.7,0,0,2,2.49,1,1.0,0.0,64.0,0.0,1.34,1.03,0.42,16.4,1.0
Joël Veltman,Brighton,Manchester City,2023-10-21,False,45,0.0,0.0,0.0,0.0,1,0.0,0.0,0.4,0,0,0,0.35,0,0.8,0.0,61.89,0.0,1.34,1.03,0.42,16.4,1.0
Joël Veltman,Brighton,Fulham,2023-10-29,True,19,0.0,0.02,0.0,0.0,1,1.0,0.0,1.9,0,0,0,0.3,0,0.6,0.0,57.6,0.0,1.34,1.03,0.42,16.4,2.0
Joël Veltman,Brighton,Everton,2023-11-04,False,90,0.0,0.0,0.0,0.0,2,0.0,0.0,2.1,0,0,1,0.71,1,0.8,0.0,60.55,0.0,1.34,1.03,0.42,16.4,1.0
Joël Veltman,Brighton,Sheffield,2023-11-12,True,19,0.0,0.0,0.0,0.0,1,0.0,0.0,0.2,0,0,1,0.32,0,1.2,0.0,57.08,0.0,1.34,1.03,0.42,16.4,1.0
Joël Veltman,Brighton,Nottingham Forest,2023-11-25,False,90,0.0,0.07,0.0,0.0,1,1.0,0.0,2.7,0,0,2,1.69,1,1.2,0.02,59.62,0.0,1.34,1.03,0.42,16.4,1.0
Joël Veltman,Brighton,Chelsea,2023-12-03,False,90,0.0,0.0,0.0,0.0,1,0.0,0.0,2.6,0,0,3,1.93,1,1.2,0.02,61.79,0.0,1.34,1.03,0.42,16.4,1.0
Joël Veltman,Brighton,Brentford,2023-12-06,True,17,0.0,0.0,0.0,0.0,1,0.0,0.0,0.6,0,0,0,0.11,0,1.2,0.01,58.8,0.0,1.34,1.03,0.42,16.4,0.0
Joël Veltman,Brighton,Burnley,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.8,0.01,55.12,0.0,1.34,1.03,0.42,16.4,1.0
Joël Veltman,Brighton,Arsenal,2023-12-17,False,26,0.0,0.0,0.0,0.0,1,0.0,0.0,0.2,0,0,0,0.45,1,0.8,0.01,53.41,0.0,1.34,1.03,0.42,16.4,0.0
Joël Veltman,Brighton,Crystal Palace,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.6,0.0,50.44,0.0,1.34,1.03,0.42,16.4,0.0
Joël Veltman,Brighton,Tottenham,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.4,0.0,47.79,0.0,1.34,1.03,0.42,16.4,0.0
Joël Veltman,Brighton,West Ham,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.2,0.0,45.4,0.0,1.34,1.03,0.42,16.4,0.0
Joël Veltman,Brighton,Wolverhampton,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.2,0.0,43.24,0.0,1.34,1.03,0.42,16.4,0.0
Joël Veltman,Brighton,Luton,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,41.27,0.0,1.34,1.03,0.42,16.4,0.0
Joël Veltman,Brighton,Crystal Palace,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,39.48,0.0,1.34,1.03,0.42,16.4,1.0
Joël Veltman,Brighton,Tottenham,2024-02-10,False,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.3,0,0,1,0.35,0,0.2,0.0,38.12,0.0,1.34,1.03,0.42,16.4,0.0
Joël Veltman,Brighton,Sheffield,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.2,0.0,36.6,0.0,1.34,1.03,0.42,16.4,1.0
Joël Veltman,Brighton,Everton,2024-02-24,True,29,0.0,0.0,0.0,0.0,1,0.0,0.0,1.3,0,0,1,0.23,0,0.4,0.0,36.31,0.0,1.34,1.03,0.42,16.4,1.0
Joël Veltman,Brighton,Fulham,2024-03-02,False,90,0.0,0.0,0.0,0.01,1,0.0,1.0,4.3,0,0,3,1.24,1,0.6,0.0,38.3,0.0,1.34,1.03,0.42,16.4,5.0
Joël Veltman,Brighton,Nottingham Forest,2024-03-10,True,90,0.0,0.0,0.0,0.0,5,0.0,0.0,0.8,0,1,0,0.68,1,1.6,0.0,40.14,0.05,1.34,1.03,0.42,16.4,1.0
Joël Veltman,Brighton,Liverpool,2024-03-31,False,90,0.0,0.0,0.0,0.08,1,0.0,1.0,3.2,0,0,2,2.79,1,1.6,0.0,41.86,0.05,1.34,1.03,0.42,16.4,6.0
Joël Veltman,Brighton,Brentford,2024-04-03,False,85,0.0,0.04,0.0,0.0,6,1.0,0.0,2.2,0,1,0,0.5,1,2.8,0.01,43.3,0.09,1.34,1.03,0.42,16.4,0.0
Joël Veltman,Brighton,Arsenal,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,2.6,0.01,41.9,0.09,1.34,1.03,0.42,16.4,1.0
Joël Veltman,Brighton,Burnley,2024-04-13,False,90,0.0,0.0,0.0,0.0,1,0.0,0.0,1.1,0,0,1,1.7,1,2.6,0.01,43.41,0.09,1.34,1.03,0.42,16.4,-1.0
Joël Veltman,Brighton,Manchester City,2024-04-25,True,45,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.4,0,0,3,0.82,1,1.4,0.01,43.45,0.08,1.34,1.03,0.42,16.4,1.0
Joël Veltman,Brighton,Bournemouth,2024-04-28,False,16,0.0,0.0,0.0,0.0,1,0.0,0.0,1.4,0,0,1,0.27,0,1.4,0.01,42.65,0.08,1.34,1.03,0.42,16.4,6.0
Joël Veltman,Brighton,Aston Villa,2024-05-05,True,90,0.0,0.07,0.0,0.0,6,1.0,0.0,1.2,0,1,0,0.06,1,1.4,0.01,44.0,0.12,1.34,1.03,0.42,16.4,7.0
Joël Veltman,Brighton,Newcastle United,2024-05-11,False,39,1.0,0.5,0.0,0.0,7,1.0,0.0,7.1,0,0,0,0.71,1,2.8,0.11,43.86,0.11,1.34,1.03,0.42,16.4,0.0
Joël Veltman,Brighton,Chelsea,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,2.6,0.11,42.68,0.11,1.34,1.03,0.42,16.4,0.0
Joël Veltman,Brighton,Manchester United,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,2.8,0.11,41.55,0.11,1.34,1.03,0.42,16.4,
