name,team,opponent_team,date,was_home,position,minutes,xG,total_points,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Luc De Fougerolles,Fulham,Everton,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,True,Brentford,-2.09,0.79
Luc De Fougerolles,Fulham,Brentford,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,False,Arsenal,0.0,-0.48
Luc De Fougerolles,Fulham,Arsenal,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,False,Manchester City,-0.18,-1.32
Luc De Fougerolles,Fulham,Manchester City,2023-09-02,False,DEF,0,1.67,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,True,Luton,,
Luc De Fougerolles,Fulham,Luton,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,False,Crystal Palace,-3.04,0.38
Luc De Fougerolles,Fulham,Crystal Palace,2023-09-23,False,DEF,0,0.94,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,True,Chelsea,-0.65,-0.25
Luc De Fougerolles,Fulham,Chelsea,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,True,Sheffield,,0.68
Luc De Fougerolles,Fulham,Sheffield,2023-10-07,True,DEF,0,0.96,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,False,Tottenham,1.23,-0.36
Luc De Fougerolles,Fulham,Tottenham,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,False,Brighton,-1.45,-0.6
Luc De Fougerolles,Fulham,Brighton,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,True,Manchester United,2.97,0.38
Luc De Fougerolles,Fulham,Manchester United,2023-11-04,True,DEF,0,1.5,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,False,Aston Villa,1.75,0.29
Luc De Fougerolles,Fulham,Aston Villa,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,True,Wolverhampton,0.25,0.05
