name,position_x,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,starts,total_points,was_home,goals,shots,xG,time,position_y,date,xA,assists,key_passes,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Seamus Coleman,DEF,Everton,0,0,0.05,0,0.0,2024-04-02,1,Newcastle United,0,0,1,False,0.0,0.0,0.0,1.0,Sub,2024-04-02,0.0,0.0,0.0,-0.2,0.0,13.46,0.67,0.27,1.46,23.03,0.28,8.0,Everton,True,Burnley,-3.47,0.39
Seamus Coleman,DEF,Everton,2,1,0.46,0,3.5,2024-04-06,90,Burnley,0,1,8,True,0.0,0.0,0.0,90.0,DR,2024-04-06,0.01,0.0,1.0,0.0,0.0,16.52,0.75,0.27,1.46,23.03,0.28,-1.0,Everton,False,Chelsea,-1.5,-0.85
Seamus Coleman,DEF,Everton,0,0,1.35,4,1.7,2024-04-15,45,Chelsea,0,1,-1,False,0.0,0.0,0.0,51.0,DR,2024-04-15,0.84,0.0,1.0,1.6,0.0,17.62,0.75,0.27,1.46,23.03,0.28,0.0,Everton,True,Nottingham Forest,1.11,1.55
Seamus Coleman,DEF,Everton,0,0,0.0,0,0.0,2024-04-21,0,Nottingham Forest,0,0,0,True,,,,,,,,,,1.4,0.0,16.96,0.75,0.27,1.46,23.03,0.28,0.0,Everton,True,Liverpool,0.76,0.18
Seamus Coleman,DEF,Everton,0,0,0.0,0,0.0,2024-04-24,0,Liverpool,0,0,0,True,,,,,,,,,,1.4,0.0,16.36,0.75,0.27,1.46,23.03,0.28,0.0,Everton,True,Brentford,,0.79
Seamus Coleman,DEF,Everton,0,0,0.0,0,0.0,2024-04-27,0,Brentford,0,0,0,True,,,,,,,,,,1.6,0.0,15.79,0.75,0.27,1.46,23.03,0.28,1.0,Everton,False,Luton,,
Seamus Coleman,DEF,Everton,0,0,0.38,0,0.5,2024-05-03,23,Luton,0,0,1,False,0.0,0.0,0.0,17.0,Sub,2024-05-03,0.0,0.0,0.0,1.4,0.0,16.03,0.75,0.27,1.46,23.03,0.28,7.0,Everton,True,Sheffield,,0.68
Seamus Coleman,DEF,Everton,1,1,0.64,0,3.7,2024-05-11,90,Sheffield,0,1,7,True,0.0,0.0,0.0,90.0,DR,2024-05-11,0.04,0.0,1.0,0.0,0.0,18.42,0.8,0.27,1.46,23.03,0.28,1.0,Everton,False,Arsenal,,-0.48
Seamus Coleman,DEF,Everton,0,0,2.89,2,0.7,2024-05-19,90,Arsenal,0,1,1,False,0.0,0.0,0.0,90.0,DR,2024-05-19,0.0,0.0,0.0,1.6,0.0,20.66,0.67,0.27,1.46,23.03,0.28,0.0,Everton,False,Sheffield,-1.68,-0.61
Seamus Coleman,DEF,Everton,0,0,0.0,0,0.0,2023-09-02,0,Sheffield,0,0,0,False,,,,,,,,,,1.8,0.0,20.03,0.67,0.27,1.46,23.03,0.28,0.0,Everton,True,Arsenal,-1.26,-0.11
Seamus Coleman,DEF,Everton,0,0,0.0,0,0.0,2023-09-17,0,Arsenal,0,0,0,True,,,,,,,,,,1.8,0.0,19.44,0.67,0.27,1.46,23.03,0.28,0.0,Everton,False,Brentford,0.08,-0.53
Seamus Coleman,DEF,Everton,0,0,0.0,0,0.0,2023-09-23,0,Brentford,0,0,0,False,,,,,,,,,,1.8,0.0,18.89,0.67,0.27,1.46,23.03,0.28,0.0,Everton,True,Luton,0.86,
Seamus Coleman,DEF,Everton,0,0,0.0,0,0.0,2023-09-30,0,Luton,0,0,0,True,,,,,,,,,,1.6,0.0,18.36,0.67,0.27,1.46,23.03,0.28,0.0,Everton,True,Bournemouth,-6.26,1.22
Seamus Coleman,DEF,Everton,0,0,0.0,0,0.0,2023-10-07,0,Bournemouth,0,0,0,True,,,,,,,,,,0.2,0.0,17.86,0.67,0.27,1.46,23.03,0.28,0.0,Everton,False,Liverpool,2.03,-1.01
Seamus Coleman,DEF,Everton,0,0,0.0,0,0.0,2023-10-21,0,Liverpool,0,0,0,False,,,,,,,,,,0.0,0.0,17.39,0.67,0.27,1.46,23.03,0.28,,Everton,True,Brighton,0.33,-0.66
