name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Gonzalo Montiel,Nott'm Forest,Manchester United,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,Nott'm Forest,False,Chelsea,-3.01,-0.85
Gonzalo Montiel,Nott'm Forest,Chelsea,2023-09-02,False,18,0.0,0.0,0.0,0.0,1,0.0,0.0,0.4,0,0,0,0.59,0,0.5,0.0,9.0,0.0,0.0,Nott'm Forest,True,Burnley,,0.39
Gonzalo Montiel,Nott'm Forest,Burnley,2023-09-18,True,52,0.0,0.0,0.0,0.0,0,0.0,0.0,0.7,0,0,1,0.19,1,0.33,0.0,23.33,0.0,0.0,Nott'm Forest,False,Manchester City,4.94,-1.32
Gonzalo Montiel,Nott'm Forest,Manchester City,2023-09-23,False,51,0.0,0.0,0.0,0.09,0,0.0,2.0,3.7,0,0,0,0.61,0,0.25,0.0,30.25,0.0,0.0,Nott'm Forest,True,Brentford,0.72,0.79
Gonzalo Montiel,Nott'm Forest,Brentford,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.2,0.0,24.2,0.0,1.0,Nott'm Forest,False,Crystal Palace,-0.74,0.38
Gonzalo Montiel,Nott'm Forest,Crystal Palace,2023-10-07,False,45,0.0,0.08,0.0,0.0,1,2.0,0.0,1.4,0,0,0,0.44,0,0.4,0.02,27.67,0.0,0.0,Nott'm Forest,True,Luton,,
Gonzalo Montiel,Nott'm Forest,Luton,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.2,0.02,23.71,0.0,0.0,Nott'm Forest,False,Liverpool,1.21,-1.01
Gonzalo Montiel,Nott'm Forest,Liverpool,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.2,0.02,20.75,0.0,0.0,Nott'm Forest,True,Aston Villa,-1.24,0.64
Gonzalo Montiel,Nott'm Forest,Aston Villa,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.2,0.02,18.44,0.0,0.0,Nott'm Forest,False,West Ham,5.53,-0.22
Gonzalo Montiel,Nott'm Forest,West Ham,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.2,0.02,16.6,0.0,0.0,Nott'm Forest,True,Brighton,-4.68,-0.66
Gonzalo Montiel,Nott'm Forest,Brighton,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,15.09,0.0,0.0,Nott'm Forest,True,Everton,0.17,0.53
Gonzalo Montiel,Nott'm Forest,Everton,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,13.83,0.0,0.0,Nott'm Forest,False,Fulham,3.69,0.86
Gonzalo Montiel,Nott'm Forest,Fulham,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,12.77,0.0,0.0,Nott'm Forest,False,Wolverhampton,1.27,-0.52
Gonzalo Montiel,Nott'm Forest,Wolverhampton,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,11.86,0.0,0.0,Nott'm Forest,True,Tottenham,5.64,0.69
Gonzalo Montiel,Nott'm Forest,Tottenham,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,11.07,0.0,0.0,Nott'm Forest,True,Bournemouth,0.55,1.22
Gonzalo Montiel,Nott'm Forest,Bournemouth,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,10.38,0.0,1.0,Nott'm Forest,False,Newcastle United,1.35,-0.41
Gonzalo Montiel,Nott'm Forest,Newcastle United,2023-12-26,False,69,0.0,0.0,0.0,0.27,1,0.0,1.0,3.4,0,0,1,1.61,1,0.2,0.0,13.82,0.0,12.0,Nott'm Forest,True,Manchester United,2.69,0.38
Gonzalo Montiel,Nott'm Forest,Manchester United,2023-12-30,True,73,0.0,0.0,1.0,0.35,12,0.0,1.0,4.1,3,1,0,0.24,1,2.6,0.2,17.11,0.17,0.0,Nott'm Forest,False,Brentford,1.0,-0.53
Gonzalo Montiel,Nott'm Forest,Brentford,2024-01-20,False,85,0.0,0.0,0.0,0.0,0,0.0,0.0,2.1,0,0,3,1.29,1,2.6,0.2,20.68,0.14,4.0,Nott'm Forest,True,Arsenal,-2.77,-0.11
Gonzalo Montiel,Nott'm Forest,Arsenal,2024-01-30,True,90,0.0,0.0,1.0,0.33,4,0.0,1.0,5.6,0,0,2,1.23,1,3.4,0.4,24.15,0.12,1.0,Nott'm Forest,False,Bournemouth,1.05,0.19
Gonzalo Montiel,Nott'm Forest,Bournemouth,2024-02-04,False,12,0.0,0.0,0.0,0.0,1,0.0,0.0,0.3,0,0,0,0.0,0,3.6,0.4,23.57,0.11,0.0,Nott'm Forest,True,Newcastle United,,0.55
Gonzalo Montiel,Nott'm Forest,Newcastle United,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,3.4,0.4,22.5,0.11,0.0,Nott'm Forest,True,West Ham,-1.34,0.49
Gonzalo Montiel,Nott'm Forest,West Ham,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,1.0,0.2,21.52,0.11,0.0,Nott'm Forest,False,Aston Villa,,0.29
Gonzalo Montiel,Nott'm Forest,Aston Villa,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,1.0,0.2,20.62,0.11,0.0,Nott'm Forest,True,Liverpool,-3.15,0.18
Gonzalo Montiel,Nott'm Forest,Liverpool,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.2,0.0,19.8,0.11,0.0,Nott'm Forest,False,Brighton,0.45,-0.6
Gonzalo Montiel,Nott'm Forest,Brighton,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,19.04,0.11,0.0,Nott'm Forest,False,Luton,,
Gonzalo Montiel,Nott'm Forest,Luton,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,18.33,0.11,0.0,Nott'm Forest,True,Crystal Palace,-1.59,0.88
Gonzalo Montiel,Nott'm Forest,Crystal Palace,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,17.68,0.11,0.0,Nott'm Forest,True,Fulham,0.28,-0.13
Gonzalo Montiel,Nott'm Forest,Fulham,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,17.07,0.11,1.0,Nott'm Forest,False,Tottenham,,-0.36
Gonzalo Montiel,Nott'm Forest,Tottenham,2024-04-07,False,3,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,0,0,0.02,0,0.2,0.0,16.6,0.1,0.0,Nott'm Forest,True,Wolverhampton,,0.05
Gonzalo Montiel,Nott'm Forest,Wolverhampton,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.2,0.0,16.06,0.1,0.0,Nott'm Forest,False,Everton,0.64,-0.24
Gonzalo Montiel,Nott'm Forest,Everton,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.2,0.0,15.56,0.1,1.0,Nott'm Forest,True,Manchester City,,-0.96
Gonzalo Montiel,Nott'm Forest,Manchester City,2024-04-28,True,55,0.0,0.03,0.0,0.64,1,1.0,2.0,3.9,0,0,1,0.62,0,0.4,0.01,16.76,0.09,1.0,Nott'm Forest,False,Sheffield,,-0.61
Gonzalo Montiel,Nott'm Forest,Sheffield,2024-05-04,False,82,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,0,1,2.15,1,0.6,0.01,18.68,0.08,2.0,Nott'm Forest,True,Chelsea,0.67,-0.25
Gonzalo Montiel,Nott'm Forest,Chelsea,2024-05-11,True,71,0.0,0.0,0.0,0.06,2,0.0,2.0,3.6,0,0,1,1.23,1,0.8,0.01,20.17,0.08,3.0,Nott'm Forest,False,Burnley,,0.0
Gonzalo Montiel,Nott'm Forest,Burnley,2024-05-19,False,90,0.0,0.0,0.0,0.0,3,0.0,0.0,2.5,1,0,1,1.21,1,1.4,0.01,22.11,0.07,,West Ham,True,Aston Villa,,0.64
