name,team,opponent_team,date,was_home,position,minutes,xG,total_points,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_clean_sheet_probability,last_season_expected_goals_conceded,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Rhys Bennett,Man Utd,West Ham,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,9.14,0,0,0.0,0.0,Man Utd,True,Aston Villa,-0.0,0.64
Rhys Bennett,Man Utd,Aston Villa,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,9.14,0,0,0.0,0.0,Man Utd,False,Nottingham Forest,-2.13,-0.55
Rhys Bennett,Man Utd,Nottingham Forest,2023-12-30,False,DEF,0,1.29,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,9.14,0,0,0.0,0.0,Man Utd,True,Tottenham,-2.65,0.69
Rhys Bennett,Man Utd,Tottenham,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,9.14,0,0,0.0,0.0,Man Utd,False,Wolverhampton,-0.28,-0.52
Rhys Bennett,Man Utd,Wolverhampton,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,9.14,0,0,0.0,0.0,Man Utd,True,West Ham,-1.53,0.49
Rhys Bennett,Man Utd,West Ham,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,9.14,0,0,0.0,0.0,Man Utd,False,Aston Villa,0.57,0.29
Rhys Bennett,Man Utd,Aston Villa,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,9.14,0,0,0.0,0.0,Man Utd,False,Luton,,
Rhys Bennett,Man Utd,Luton,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,9.14,0,0,0.0,0.0,Man Utd,True,Fulham,-0.98,-0.13
Rhys Bennett,Man Utd,Fulham,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,9.14,0,0,0.0,0.0,Man Utd,False,Manchester City,1.52,-1.32
Rhys Bennett,Man Utd,Manchester City,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,9.14,0,0,0.0,0.0,Man Utd,True,Everton,-0.73,0.53
Rhys Bennett,Man Utd,Everton,2024-03-09,True,DEF,0,0.73,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,9.14,0,0,0.0,0.0,Man Utd,False,Brentford,1.18,-0.53
Rhys Bennett,Man Utd,Brentford,2024-03-30,False,DEF,0,3.16,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,9.14,0,0,0.0,0.0,Man Utd,False,Chelsea,0.38,-0.85
Rhys Bennett,Man Utd,Chelsea,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,9.14,0,0,0.0,0.0,Man Utd,True,Liverpool,0.14,0.18
Rhys Bennett,Man Utd,Liverpool,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,9.14,0,0,0.0,0.0,Man Utd,False,Bournemouth,-1.28,0.19
Rhys Bennett,Man Utd,Bournemouth,2024-04-13,False,DEF,0,1.09,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,9.14,0,0,0.0,0.0,Man Utd,True,Sheffield,,0.68
Rhys Bennett,Man Utd,Sheffield,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,9.14,0,0,0.0,0.0,Man Utd,True,Burnley,-3.36,0.39
Rhys Bennett,Man Utd,Burnley,2024-04-27,True,DEF,0,0.96,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,9.14,0,0,0.0,0.0,Man Utd,False,Crystal Palace,0.57,0.38
Rhys Bennett,Man Utd,Crystal Palace,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,9.14,0,0,0.0,0.0,Man Utd,True,Arsenal,-3.39,-0.11
Rhys Bennett,Man Utd,Arsenal,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,9.14,0,0,0.0,0.0,Man Utd,True,Newcastle United,-1.49,0.55
Rhys Bennett,Man Utd,Newcastle United,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,9.14,0,0,0.0,0.0,Man Utd,False,Brighton,2.47,-0.6
Rhys Bennett,Man Utd,Brighton,2024-05-19,False,DEF,0,1.7,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,9.14,0,0,0.0,,West Ham,True,Aston Villa,,0.64
