h_a,xG,xGA,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,time
h,0.246188,2.58739,1.82623,"{'att': 520, 'def': 20}","{'att': 153, 'def': 6}",2.0,11.0,0.0,2.0,0.08,l,2022-08-07 15:30:00,0.0,0.0,1.0,0.0,-1.580042,
a,2.08634,1.9717,1.9717,"{'att': 123, 'def': 15}","{'att': 173, 'def': 16}",7.0,4.0,0.0,1.0,1.4451,l,2022-08-14 13:00:00,0.0,0.0,1.0,0.0,-0.64653,
h,0.768634,1.82645,1.06528,"{'att': 261, 'def': 10}","{'att': 264, 'def': 14}",6.0,2.0,0.0,2.0,0.5258,l,2022-08-21 13:00:00,0.0,0.0,1.0,0.0,-0.2966459999999999,
a,0.334589,0.304555,0.304555,"{'att': 351, 'def': 20}","{'att': 243, 'def': 18}",3.0,4.0,1.0,0.0,1.2731,w,2022-08-28 13:00:00,1.0,0.0,0.0,3.0,0.030034,
h,1.52267,0.723285,0.723285,"{'att': 452, 'def': 16}","{'att': 189, 'def': 10}",3.0,6.0,1.0,1.0,2.0176,d,2022-08-31 18:45:00,0.0,1.0,0.0,1.0,0.799385,
a,1.4196,0.707333,0.707333,"{'att': 327, 'def': 14}","{'att': 164, 'def': 17}",1.0,4.0,1.0,2.0,2.1213,l,2022-09-03 14:00:00,0.0,0.0,1.0,0.0,0.712267,
a,0.655351,0.39773,0.39773,"{'att': 239, 'def': 21}","{'att': 201, 'def': 13}",2.0,3.0,0.0,1.0,1.5435,l,2022-09-18 13:15:00,0.0,0.0,1.0,0.0,0.257621,
h,1.03934,0.575988,0.575988,"{'att': 278, 'def': 13}","{'att': 202, 'def': 10}",4.0,10.0,2.0,0.0,1.7294,w,2022-10-01 16:30:00,1.0,0.0,0.0,3.0,0.4633519999999999,
h,3.43676,0.549848,0.549848,"{'att': 277, 'def': 9}","{'att': 269, 'def': 15}",7.0,5.0,3.0,1.0,2.9013,w,2022-10-09 13:00:00,1.0,0.0,0.0,3.0,2.125742,
a,1.70727,0.524479,0.524479,"{'att': 146, 'def': 13}","{'att': 234, 'def': 13}",8.0,2.0,1.0,1.0,2.278,d,2022-10-16 13:00:00,0.0,1.0,0.0,1.0,1.182791,
a,2.48649,2.24066,2.24066,"{'att': 374, 'def': 14}","{'att': 319, 'def': 25}",4.0,8.0,0.0,1.0,1.5733,l,2022-10-19 18:30:00,0.0,0.0,1.0,0.0,-0.5153400000000001,
h,1.97715,0.730443,0.730443,"{'att': 249, 'def': 22}","{'att': 298, 'def': 19}",7.0,4.0,2.0,0.0,2.3783,w,2022-10-24 19:00:00,1.0,0.0,0.0,3.0,0.4855370000000001,
a,1.00033,1.7514,1.7514,"{'att': 247, 'def': 15}","{'att': 243, 'def': 18}",5.0,6.0,0.0,1.0,0.7785,l,2022-10-30 16:15:00,0.0,0.0,1.0,0.0,-0.7510700000000001,
h,0.192579,1.03344,1.03344,"{'att': 325, 'def': 18}","{'att': 282, 'def': 9}",1.0,9.0,1.0,2.0,0.5124,l,2022-11-06 14:00:00,0.0,0.0,1.0,0.0,-0.8408609999999999,
h,0.720721,1.60566,0.844493,"{'att': 257, 'def': 21}","{'att': 268, 'def': 23}",6.0,5.0,0.0,2.0,0.5972,l,2022-11-12 15:00:00,0.0,0.0,1.0,0.0,-0.1237720000000001,
a,1.02652,1.88828,1.88828,"{'att': 371, 'def': 19}","{'att': 197, 'def': 26}",1.0,14.0,1.0,3.0,0.7037,l,2022-12-26 20:00:00,0.0,0.0,1.0,0.0,-1.622933,
h,1.13979,1.51436,1.51436,"{'att': 200, 'def': 20}","{'att': 274, 'def': 9}",5.0,7.0,0.0,2.0,1.0096,l,2022-12-30 19:45:00,0.0,0.0,1.0,0.0,-0.3745699999999998,
a,1.29245,1.2577,1.2577,"{'att': 259, 'def': 27}","{'att': 98, 'def': 23}",3.0,7.0,2.0,2.0,1.4064,d,2023-01-04 19:45:00,0.0,1.0,0.0,1.0,-0.7264160000000001,
a,0.735105,0.806232,0.806232,"{'att': 311, 'def': 21}","{'att': 199, 'def': 13}",7.0,5.0,0.0,1.0,1.2308,l,2023-01-14 15:00:00,0.0,0.0,1.0,0.0,-0.0711269999999999,
h,2.46879,0.286826,0.286826,"{'att': 424, 'def': 20}","{'att': 200, 'def': 19}",3.0,4.0,2.0,0.0,2.8585,w,2023-01-21 15:00:00,1.0,0.0,0.0,3.0,2.181964,
a,1.27831,1.22883,1.22883,"{'att': 275, 'def': 26}","{'att': 161, 'def': 20}",4.0,6.0,1.0,1.0,1.39,d,2023-02-04 17:30:00,0.0,1.0,0.0,1.0,0.0494799999999999,
h,1.07615,0.900465,0.900465,"{'att': 384, 'def': 18}","{'att': 113, 'def': 20}",6.0,10.0,1.0,1.0,1.5019,d,2023-02-11 12:30:00,0.0,1.0,0.0,1.0,0.1756849999999999,
a,0.365173,1.43042,1.43042,"{'att': 303, 'def': 28}","{'att': 178, 'def': 27}",3.0,8.0,0.0,2.0,0.4648,l,2023-02-19 16:30:00,0.0,0.0,1.0,0.0,-1.065247,
h,3.05032,0.350849,0.350849,"{'att': 229, 'def': 22}","{'att': 191, 'def': 13}",13.0,3.0,4.0,0.0,2.9177,w,2023-02-25 15:00:00,1.0,0.0,0.0,3.0,2.699471,
a,0.250045,3.49993,2.73876,"{'att': 426, 'def': 22}","{'att': 199, 'def': 19}",3.0,9.0,0.0,4.0,0.0145999999999999,l,2023-03-04 15:00:00,0.0,0.0,1.0,0.0,-2.488715,
h,2.14634,1.99139,1.99139,"{'att': 334, 'def': 27}","{'att': 230, 'def': 10}",3.0,10.0,1.0,1.0,1.4631999999999998,d,2023-03-12 14:00:00,0.0,1.0,0.0,1.0,-0.60622,
h,1.40363,0.318261,0.318261,"{'att': 332, 'def': 37}","{'att': 225, 'def': 29}",3.0,3.0,1.0,0.0,2.3067,w,2023-04-02 13:00:00,1.0,0.0,0.0,3.0,1.085369,
h,0.83342,2.84091,2.84091,"{'att': 278, 'def': 24}","{'att': 159, 'def': 25}",3.0,11.0,1.0,5.0,0.2293,l,2023-04-05 19:00:00,0.0,0.0,1.0,0.0,-2.00749,
a,1.23261,0.456524,0.456524,"{'att': 315, 'def': 19}","{'att': 77, 'def': 18}",4.0,9.0,1.0,0.0,2.0868,w,2023-04-08 14:00:00,1.0,0.0,0.0,3.0,0.776086,
h,1.96095,2.71782,1.95665,"{'att': 316, 'def': 20}","{'att': 104, 'def': 16}",4.0,10.0,2.0,2.0,0.7921,d,2023-04-16 13:00:00,0.0,1.0,0.0,1.0,-0.7568699999999999,
a,2.52322,0.974687,0.974687,"{'att': 308, 'def': 22}","{'att': 159, 'def': 17}",8.0,8.0,4.0,0.0,2.404199999999999,w,2023-04-23 13:00:00,1.0,0.0,0.0,3.0,1.548533,
h,0.939348,1.7045,1.7045,"{'att': 491, 'def': 19}","{'att': 153, 'def': 32}",2.0,12.0,1.0,2.0,0.7462,l,2023-04-26 18:45:00,0.0,0.0,1.0,0.0,-0.7651519999999999,
a,1.98262,2.31888,1.55771,"{'att': 245, 'def': 28}","{'att': 151, 'def': 20}",1.0,13.0,3.0,4.0,1.1248999999999998,l,2023-04-29 11:30:00,0.0,0.0,1.0,0.0,0.4249100000000001,
