h_a,xG,xGA,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,time
h,0.88917,1.10119,1.10119,"{'att': 325, 'def': 35}","{'att': 181, 'def': 17}",5.0,9.0,2.0,1.0,1.156,w,2022-08-06 14:00:00,1.0,0.0,0.0,3.0,-0.2120199999999998,
a,1.99694,1.40906,1.40906,"{'att': 165, 'def': 34}","{'att': 252, 'def': 19}",9.0,4.0,2.0,2.0,1.8274,d,2022-08-13 14:00:00,0.0,1.0,0.0,1.0,0.58788,
h,2.20971,0.692492,0.692492,"{'att': 274, 'def': 32}","{'att': 139, 'def': 30}",1.0,7.0,3.0,0.0,2.6486,w,2022-08-21 13:00:00,1.0,0.0,0.0,3.0,1.5172179999999995,
a,1.14874,1.60986,1.60986,"{'att': 165, 'def': 30}","{'att': 247, 'def': 20}",5.0,6.0,0.0,1.0,1.0015,l,2022-08-27 14:00:00,0.0,0.0,1.0,0.0,-0.46112,
h,1.04551,1.17189,1.17189,"{'att': 164, 'def': 28}","{'att': 341, 'def': 25}",9.0,3.0,1.0,1.0,1.2206,d,2022-08-30 19:00:00,0.0,1.0,0.0,1.0,-0.1263800000000001,
a,1.796,2.7485,1.98734,"{'att': 104, 'def': 31}","{'att': 201, 'def': 30}",9.0,5.0,2.0,5.0,0.7259,l,2022-09-03 14:00:00,0.0,0.0,1.0,0.0,-0.19134,
h,0.298626,1.89645,1.89645,"{'att': 240, 'def': 18}","{'att': 230, 'def': 24}",6.0,12.0,0.0,0.0,0.2483,d,2022-10-02 15:30:00,0.0,1.0,0.0,1.0,-1.597824,
a,1.06564,1.65194,1.65194,"{'att': 242, 'def': 38}","{'att': 135, 'def': 19}",10.0,5.0,1.0,2.0,0.8978999999999999,l,2022-10-09 13:00:00,0.0,0.0,1.0,0.0,-0.5863,
h,2.02232,0.821757,0.821757,"{'att': 340, 'def': 28}","{'att': 199, 'def': 19}",8.0,5.0,0.0,1.0,2.2682,l,2022-10-16 13:00:00,0.0,0.0,1.0,0.0,0.439393,
a,1.19464,0.655249,0.655249,"{'att': 261, 'def': 30}","{'att': 299, 'def': 28}",5.0,4.0,0.0,2.0,1.8351,l,2022-10-20 19:15:00,0.0,0.0,1.0,0.0,0.539391,
h,1.96384,2.47512,2.47512,"{'att': 181, 'def': 30}","{'att': 279, 'def': 19}",8.0,3.0,2.0,3.0,1.0389000000000002,l,2022-10-23 13:00:00,0.0,0.0,1.0,0.0,-0.51128,
a,1.61271,1.90889,1.90889,"{'att': 410, 'def': 14}","{'att': 131, 'def': 12}",6.0,14.0,2.0,1.0,1.1673,w,2022-10-29 18:45:00,1.0,0.0,0.0,3.0,-0.2961799999999999,
h,2.22532,1.55594,1.55594,"{'att': 157, 'def': 33}","{'att': 200, 'def': 13}",8.0,5.0,4.0,3.0,1.8841,w,2022-11-05 15:00:00,1.0,0.0,0.0,3.0,-0.09179,
a,1.71731,2.58046,2.58046,"{'att': 323, 'def': 15}","{'att': 184, 'def': 11}",6.0,7.0,3.0,4.0,0.8555999999999999,l,2022-11-12 15:00:00,0.0,0.0,1.0,0.0,-0.8631500000000001,
h,0.603751,4.16249,4.16249,"{'att': 459, 'def': 17}","{'att': 158, 'def': 20}",7.0,13.0,1.0,3.0,0.062,l,2022-12-28 20:00:00,0.0,0.0,1.0,0.0,-3.558739,
a,0.517099,2.78846,2.78846,"{'att': 209, 'def': 23}","{'att': 147, 'def': 23}",4.0,9.0,0.0,0.0,0.1804,d,2022-12-31 15:00:00,0.0,1.0,0.0,1.0,-2.271361,
h,1.2577,1.29245,0.531284,"{'att': 98, 'def': 23}","{'att': 259, 'def': 27}",7.0,3.0,2.0,2.0,1.2828,d,2023-01-04 19:45:00,0.0,1.0,0.0,1.0,0.7264160000000001,
a,2.46295,1.64599,1.64599,"{'att': 255, 'def': 41}","{'att': 149, 'def': 20}",1.0,5.0,1.0,2.0,1.9723,l,2023-01-13 20:00:00,0.0,0.0,1.0,0.0,0.8169600000000001,
h,0.374736,0.17114,0.17114,"{'att': 167, 'def': 23}","{'att': 190, 'def': 27}",7.0,5.0,0.0,0.0,1.4442,d,2023-01-22 14:00:00,0.0,1.0,0.0,1.0,0.203596,
a,1.12331,0.3325,0.3325,"{'att': 100, 'def': 30}","{'att': 303, 'def': 21}",7.0,1.0,0.0,1.0,2.1578,l,2023-02-05 14:00:00,0.0,0.0,1.0,0.0,0.79081,
a,0.554798,2.00007,2.00007,"{'att': 330, 'def': 27}","{'att': 113, 'def': 20}",4.0,11.0,2.0,2.0,0.3845,d,2023-02-08 19:00:00,0.0,1.0,0.0,1.0,-1.445272,
h,1.89163,1.30375,1.30375,"{'att': 338, 'def': 30}","{'att': 115, 'def': 20}",5.0,5.0,0.0,2.0,1.8255,l,2023-02-12 14:00:00,0.0,0.0,1.0,0.0,0.58788,
a,0.597403,1.53811,1.53811,"{'att': 206, 'def': 17}","{'att': 193, 'def': 19}",6.0,7.0,0.0,1.0,0.5959,l,2023-02-18 15:00:00,0.0,0.0,1.0,0.0,-0.940707,
h,0.720048,0.391128,0.391128,"{'att': 196, 'def': 36}","{'att': 285, 'def': 26}",10.0,2.0,1.0,0.0,1.6297,w,2023-02-25 15:00:00,1.0,0.0,0.0,3.0,0.32892,
a,0.633995,1.8678,1.8678,"{'att': 340, 'def': 19}","{'att': 211, 'def': 25}",4.0,8.0,0.0,1.0,0.4814,l,2023-03-04 15:00:00,0.0,0.0,1.0,0.0,-1.2338049999999998,
h,0.596738,1.51388,1.51388,"{'att': 339, 'def': 29}","{'att': 197, 'def': 25}",9.0,10.0,2.0,2.0,0.619,d,2023-03-11 15:00:00,0.0,1.0,0.0,1.0,-0.917142,
a,1.6549,2.76358,2.76358,"{'att': 333, 'def': 18}","{'att': 134, 'def': 30}",3.0,11.0,4.0,2.0,0.7138,w,2023-03-18 15:00:00,1.0,0.0,0.0,3.0,-1.10868,
a,0.497609,3.29548,2.53431,"{'att': 336, 'def': 20}","{'att': 152, 'def': 18}",6.0,6.0,1.0,4.0,0.0723999999999999,l,2023-04-01 14:00:00,0.0,0.0,1.0,0.0,-2.036701,
h,2.43248,0.613917,0.613917,"{'att': 151, 'def': 28}","{'att': 240, 'def': 23}",12.0,4.0,2.0,1.0,2.5911,w,2023-04-04 18:45:00,1.0,0.0,0.0,3.0,1.818563,
h,1.02075,3.22687,3.22687,"{'att': 223, 'def': 43}","{'att': 220, 'def': 20}",7.0,6.0,1.0,5.0,0.2087999999999999,l,2023-04-09 13:00:00,0.0,0.0,1.0,0.0,-2.20612,
h,1.16748,2.65476,2.65476,"{'att': 550, 'def': 17}","{'att': 137, 'def': 32}",2.0,13.0,1.0,6.0,0.4553999999999999,l,2023-04-17 19:00:00,0.0,0.0,1.0,0.0,-1.48728,
a,1.07482,1.43763,1.43763,"{'att': 202, 'def': 32}","{'att': 207, 'def': 17}",4.0,1.0,1.0,2.0,0.9746,l,2023-04-22 11:30:00,0.0,0.0,1.0,0.0,-0.3628099999999998,
h,2.09645,2.08594,2.08594,"{'att': 211, 'def': 29}","{'att': 128, 'def': 25}",2.0,7.0,1.0,1.0,1.39,d,2023-04-25 19:00:00,0.0,1.0,0.0,1.0,0.01051,
a,1.33691,2.51723,2.51723,"{'att': 213, 'def': 31}","{'att': 251, 'def': 20}",9.0,8.0,1.0,4.0,0.5937,l,2023-04-30 13:00:00,0.0,0.0,1.0,0.0,-1.18032,
a,0.140924,2.83472,2.07355,"{'att': 434, 'def': 19}","{'att': 90, 'def': 12}",0.0,14.0,1.0,2.0,0.0489,l,2023-05-06 14:00:00,0.0,0.0,1.0,0.0,-1.932626,
h,2.01567,2.35118,0.82884,"{'att': 221, 'def': 28}","{'att': 105, 'def': 29}",5.0,9.0,2.0,2.0,1.0808,d,2023-05-13 11:30:00,0.0,1.0,0.0,1.0,0.4256599999999999,
a,0.645828,2.48001,2.48001,"{'att': 287, 'def': 29}","{'att': 165, 'def': 17}",8.0,15.0,1.0,3.0,0.2746,l,2023-05-21 12:30:00,0.0,0.0,1.0,0.0,-1.834182,
h,1.19151,2.03315,2.03315,"{'att': 252, 'def': 29}","{'att': 206, 'def': 15}",6.0,5.0,1.0,4.0,0.7657999999999999,l,2023-05-28 15:30:00,0.0,0.0,1.0,0.0,-0.8416399999999999,
,47.795965,,,,,,,,,,,,,,,,,
,47.795965,,,,,,,,,,,,,,,,,0.0
